region,version,ip,prefixlength,state,orgsflat
ripencc,ipv4,5.43.64.0,18,allocated,[197687;BA;VMO-AS Telemach d.o.o. Sarajevo][51386;BA;BA-TELEMACH Telemach d.o.o. Sarajevo][50938;BA;BA-TELEMACH-GLOBAL-AS Telemach d.o.o. Sarajevo][43604;BA;AS_Monet_CIP Telemach d.o.o. Sarajevo][42983;BA;BA-GLOBALNET Telemach d.o.o. Sarajevo][42560;BA;BA-TELEMACH-AS Telemach d.o.o. Sarajevo][42450;BA;TELEMACH Telemach d.o.o. Sarajevo]
ripencc,ipv4,5.133.0.0,21,allocated,[198994;BA;NOVABANKA-AS Nova banka AD Banjaluka]
ripencc,ipv4,5.133.128.0,19,allocated,[20875;BA;HPTNET-AS JP HT d.d. Mostar]
ripencc,ipv4,5.149.64.0,20,allocated,[59457;BA;AVAX-Bosnia-AS  AVAX NET  doo za telekomunikacije  racunarski inzenjering  konsalting i promet Lukavac]
ripencc,ipv4,5.149.80.0,21,allocated,[59457;BA;AVAX-Bosnia-AS  AVAX NET  doo za telekomunikacije  racunarski inzenjering  konsalting i promet Lukavac]
ripencc,ipv4,5.149.88.0,22,allocated,[59847;BA;WIRAC WIRAC.NET d.o.o.]
ripencc,ipv4,5.149.92.0,22,allocated,[59457;BA;AVAX-Bosnia-AS  AVAX NET  doo za telekomunikacije  racunarski inzenjering  konsalting i promet Lukavac]
ripencc,ipv4,5.152.232.0,21,allocated,[199051;BA;SCWLAN D.O.O.  Elit M  Biljeljina]
ripencc,ipv4,5.154.168.0,23,allocated,[57869;BA;MISSNET MISS.NET d.o.o.]
ripencc,ipv4,5.154.228.0,23,allocated,[57869;BA;MISSNET MISS.NET d.o.o.]
ripencc,ipv4,5.154.248.0,22,allocated,[57869;BA;MISSNET MISS.NET d.o.o.]
ripencc,ipv4,31.47.0.0,19,allocated,[202632;BA;TXtv TXTV d.o.o. Tuzla]
ripencc,ipv4,31.176.128.0,17,allocated,[9146;BA;BIHNET BH Telecom d.d. Sarajevo]
ripencc,ipv4,31.185.112.0,20,allocated,[197687;BA;VMO-AS Telemach d.o.o. Sarajevo][51386;BA;BA-TELEMACH Telemach d.o.o. Sarajevo][50938;BA;BA-TELEMACH-GLOBAL-AS Telemach d.o.o. Sarajevo][43604;BA;AS_Monet_CIP Telemach d.o.o. Sarajevo][42983;BA;BA-GLOBALNET Telemach d.o.o. Sarajevo][42560;BA;BA-TELEMACH-AS Telemach d.o.o. Sarajevo][42450;BA;TELEMACH Telemach d.o.o. Sarajevo]
ripencc,ipv4,31.216.184.0,21,allocated,[198252;BA;ELTAKABEL-AS Blicnet d.o.o.][42571;BA;TLR-AS Blicnet d.o.o.][21107;BA;BLICNET-AS Blicnet d.o.o.]
ripencc,ipv4,31.223.128.0,19,allocated,[25144;BA;TELEKOM-SRPSKE-AS  Telekomunikacije Republike Srpske  akcionarsko drustvo Banja Luka]
ripencc,ipv4,31.223.208.0,20,allocated,[198252;BA;ELTAKABEL-AS Blicnet d.o.o.][42571;BA;TLR-AS Blicnet d.o.o.][21107;BA;BLICNET-AS Blicnet d.o.o.]
ripencc,ipv4,37.8.128.0,20,allocated,[20875;BA;HPTNET-AS JP HT d.d. Mostar]
ripencc,ipv4,37.203.64.0,18,allocated,[9146;BA;BIHNET BH Telecom d.d. Sarajevo]
ripencc,ipv4,37.205.24.0,21,allocated,[42432;BA;HS-HKB Kablovska Televizija HS d.o.o Sarajevo]
ripencc,ipv4,37.208.32.0,21,allocated,[197687;BA;VMO-AS Telemach d.o.o. Sarajevo][51386;BA;BA-TELEMACH Telemach d.o.o. Sarajevo][50938;BA;BA-TELEMACH-GLOBAL-AS Telemach d.o.o. Sarajevo][43604;BA;AS_Monet_CIP Telemach d.o.o. Sarajevo][42983;BA;BA-GLOBALNET Telemach d.o.o. Sarajevo][42560;BA;BA-TELEMACH-AS Telemach d.o.o. Sarajevo][42450;BA;TELEMACH Telemach d.o.o. Sarajevo]
