region,version,ip,prefixlength,state,orgsflat
apnic,ipv4,14.1.100.0,22,allocated,[139009;BD;WSCL-AS-AP Windstream Communication Limited][59203;BD;WSCL-AS-AP Windstream Communication Limited]
apnic,ipv4,14.128.12.0,22,allocated,[136246;BD;TOMATTOSTL-AS-AP Tomattos Technologies Ltd.]
apnic,ipv4,27.0.96.0,19,allocated,[56115;BD;NGGL-BD New Generation Graphics Limited][37994;BD;BIE-AS-BD Bangladesh Internet Exchange Ltd]
apnic,ipv4,27.54.144.0,22,allocated,[45245;BD;BANGLALINK-AS Banglalink Digital Communications Ltd]
apnic,ipv4,27.54.148.0,22,allocated,[134973;BD;TIGER-AS-AP Tiger Telecommunication Co.]
apnic,ipv4,27.123.252.0,22,allocated,[134113;BD;MCN-BD Kazi Sazzad Hossain TA Millennium Computers & Networking]
apnic,ipv4,27.124.70.0,23,allocated,[152110;BD;SPACEXONLINE-AS-AP SpaceX Online]
apnic,ipv4,27.131.12.0,22,allocated,[150793;BD;DFN-AS-AP Dhaka Fiber Net Ltd][55492;BD;DFN-BD Dhaka Fiber Net Limited]
apnic,ipv4,27.147.128.0,17,allocated,[23688;BD;LINK3-TECH-AS-BD-AP Link3 Technologies Ltd.]
apnic,ipv4,36.50.8.0,23,allocated,[139672;BD;CHERRYENTERPRISE-AS-AP Cherry Enterprise]
apnic,ipv4,36.50.10.0,23,allocated,[152119;BD;STARTREK-AS-AP Startrek Telecom Ltd]
apnic,ipv4,36.50.12.0,23,allocated,[149311;BD;SKYNETATHOME-AS-AP SKY NET@HOME]
apnic,ipv4,36.50.18.0,23,allocated,[152124;BD;SHEFANET-AS-AP Shefa Net]
apnic,ipv4,36.50.22.0,23,allocated,[152122;BD;BORENDROONLINE-AS-AP Borendro Online]
apnic,ipv4,36.50.40.0,23,allocated,[152098;BD;HEXAZN-AS-AP Hexazn]
apnic,ipv4,36.50.51.0,24,allocated,[151960;BD;AREALINKBD-AS-AP Area Link]
apnic,ipv4,36.50.74.0,23,allocated,[137970;BD;AAA-AS-AP Rocket Signal]
apnic,ipv4,36.50.80.0,23,allocated,[152160;BD;GENIOUSNET-AS-AP Geniousnet Bangladesh]
apnic,ipv4,36.50.104.0,23,allocated,[152168;BD;A1NETWORK-AS-AP A1 Network]
apnic,ipv4,36.50.116.0,23,allocated,[152163;BD;FUTUREDOTNET-AS-AP FUTURE DOT NET]
apnic,ipv4,36.50.146.0,24,allocated,[152182;BD;PHC-AS-AP Pori Hoque Cyber]
apnic,ipv4,36.50.179.0,24,allocated,[152182;BD;PHC-AS-AP Pori Hoque Cyber]
apnic,ipv4,36.50.182.0,23,allocated,[152185;BD;WEBEX1-AS-AP Webex Broadband Internet]
apnic,ipv4,36.50.198.0,23,allocated,[152189;BD;UNITEDNETWORK-AS-AP UNITED NETWORK]
apnic,ipv4,36.50.240.0,23,allocated,[133022;BD;MMCOMMUNICATION-AS-AP MM Communication]
apnic,ipv4,36.50.250.0,23,allocated,[152193;BD;BESTONLINE-AS-AP BEST ONLINE]
apnic,ipv4,36.255.52.0,22,allocated,[135092;BD;DHAKATECH-AS-AP Ashraf Uddin ta Dhaka tech]
apnic,ipv4,36.255.68.0,22,allocated,[135095;BD;INTERCLOUDLTD-AS-AP InterCloud ltd][58923;BD;INTERCLOUDLTD-AS-AP InterCloud ltd]
apnic,ipv4,36.255.80.0,22,allocated,[56138;BD;AXIATA-ROBI-AS-AP Axiata Bangladesh Limited][38069;BD;AXIATA-AS-AP Axiata Bangladesh Limited][24432;BD;AXIATA-ROBI-AS-AP TM International Bangladesh Ltd.Internet service Provider Gulshan-1 Dhaka-1212]
apnic,ipv4,37.111.192.0,18,allocated,[24389;BD;GRAMEENPHONE-AS-AP GrameenPhone Ltd.]
apnic,ipv4,42.0.4.0,22,allocated,[56138;BD;AXIATA-ROBI-AS-AP Axiata Bangladesh Limited][38069;BD;AXIATA-AS-AP Axiata Bangladesh Limited][24432;BD;AXIATA-ROBI-AS-AP TM International Bangladesh Ltd.Internet service Provider Gulshan-1 Dhaka-1212]
apnic,ipv4,43.224.108.0,22,allocated,[149472;BD;X-PRESS-HOST-AS-AP X-Press Host][133854;BD;X-PRESS-AS-AP X-press Technologies Limited.]
apnic,ipv4,43.224.112.0,22,allocated,[141440;BD;LEVEL3-BD Level3 Carrier Ltd.][132607;BD;DATA-EDGE-BD Dataedge Limited][132580;BD;BD-4TDC 4 Tire Data Center][58682;BD;LEVEL3-BD Level3 Carrier Ltd.]
apnic,ipv4,43.224.116.0,22,allocated,[133949;BD;NEXT-AS-AP NOL][59350;BD;NEXT-AS-AP Next Online Ltd.][58959;BD;NEXTFONE-AS-AP NextFone][58805;BD;XENIAL-AS-AP Xenial Broadband.][9441;BD;NEXT-BD Next Online Limited.]
apnic,ipv4,43.225.148.0,22,allocated,[133949;BD;NEXT-AS-AP NOL][59350;BD;NEXT-AS-AP Next Online Ltd.][58959;BD;NEXTFONE-AS-AP NextFone][58805;BD;XENIAL-AS-AP Xenial Broadband.][9441;BD;NEXT-BD Next Online Limited.]
apnic,ipv4,43.225.204.0,22,allocated,[58599;BD;CYBERGATE-BD Cybergate Limited]
apnic,ipv4,43.228.208.0,22,allocated,[141440;BD;LEVEL3-BD Level3 Carrier Ltd.][132607;BD;DATA-EDGE-BD Dataedge Limited][132580;BD;BD-4TDC 4 Tire Data Center][58682;BD;LEVEL3-BD Level3 Carrier Ltd.]
apnic,ipv4,43.229.12.0,22,allocated,[63932;BD;BCC-BD Bangladesh Computer Council]
apnic,ipv4,43.229.208.0,22,allocated,[58736;BD;DFLL-BD Dhaka Fiber Link Ltd.]
apnic,ipv4,43.230.120.0,22,allocated,[133954;BD;EXORDONLINE-BD Exord Online]
apnic,ipv4,43.230.210.0,23,allocated,[135881;BD;SPARKNET-AS-AP Md Abul Kashem ta Spark Net]
apnic,ipv4,43.231.20.0,22,allocated,[58688;BD;RADIANT RADIANT COMMUNICATIONS LTD IIG][38555;BD;RADIANT Radiant Communications Ltd][38067;BD;RADIANT Radiant Communications Limited][9926;BD;RADIANT-IIG RADIANT International Internet Gateway IIG][9451;BD;BEN-AS-AP Bhairab Express Net]
