region,version,ip,prefixlength,state,orgsflat
arin,ipv4,153.89.0.0,16,allocated,*
arin,ipv4,192.69.64.0,24,allocated,*
arin,ipv4,199.103.123.0,24,allocated,*
arin,ipv4,199.103.124.0,22,allocated,*
arin,ipv4,204.79.170.0,24,allocated,*
arin,ipv4,204.79.204.0,24,allocated,*
arin,ipv4,204.231.231.0,24,allocated,*
ripencc,ipv4,2.56.171.0,24,allocated,*
ripencc,ipv4,2.57.40.0,22,allocated,[57948;BE;COBALT Cobalt Group BV]
ripencc,ipv4,2.58.108.0,22,allocated,*
ripencc,ipv4,2.59.64.0,22,allocated,*
ripencc,ipv4,5.23.128.0,17,allocated,[206562;BE;NXTBE Telenet BV][44944;BE;BASE-AS Telenet BV][44216;BE;CODITEL Telenet BV][42018;BE;HOSTBASKET-BACKBONE Telenet BV][8227;BE;CODENET-AS Telenet BV][6848;BE;TELENET-AS Telenet BV]
ripencc,ipv4,5.134.0.0,21,allocated,[39234;BE;STONE-IS Combell NV][34762;BE;COMBELL-AS Combell NV][30961;BE;OPENMINDS-AS Combell NV]
ripencc,ipv4,5.149.136.0,22,allocated,[35219;BE;VERIXI-BE VERIXI SA][6696;BE;VERIXI VERIXI SA]
ripencc,ipv4,5.149.140.0,23,allocated,[35219;BE;VERIXI-BE VERIXI SA][6696;BE;VERIXI VERIXI SA]
ripencc,ipv4,5.149.142.0,24,allocated,[35219;BE;VERIXI-BE VERIXI SA][6696;BE;VERIXI VERIXI SA]
ripencc,ipv4,5.149.143.0,24,allocated,[211106;BE;ETNIC-AS L'Entreprise Publique des Technologies Numeriques de l'Information et de la Communication de la Communaute Francaise]
ripencc,ipv4,5.183.52.0,22,allocated,[208406;BE;ASBDP BANK DEGROOF PETERCAM SA]
ripencc,ipv4,5.183.236.0,22,allocated,[212627;BE;lorindus E-Solutions BV][212626;BE;cloudenabler E-Solutions BV][201984;BE;ESOLUTIONS-AS E-Solutions BV]
ripencc,ipv4,5.255.128.0,21,allocated,[201887;BE;SAVACOAS SAVACO NV]
ripencc,ipv4,31.12.64.0,21,allocated,[211945;BE;Targetspot Radionomy SA][202708;BE;RNGROUP Radionomy SA]
ripencc,ipv4,31.14.50.0,23,allocated,[39234;BE;STONE-IS Combell NV][34762;BE;COMBELL-AS Combell NV][30961;BE;OPENMINDS-AS Combell NV]
ripencc,ipv4,31.22.16.0,21,allocated,[56837;BE;TIGRON-AS Tigron bv]
ripencc,ipv4,31.24.112.0,21,allocated,*
ripencc,ipv4,31.24.249.0,24,allocated,[211398;BE;MIKE-AS Mike Marchal][209958;BE;MIKE-AS2 Mike Marchal]
ripencc,ipv4,31.31.128.0,19,allocated,[199095;BE;CITYMESH-AS Citymesh Integrator NV][50857;BE;MACTELECOM-AS Citymesh Integrator NV]
ripencc,ipv4,31.193.40.0,21,allocated,[56675;BE;OAC O.A.C. bvba]
ripencc,ipv4,31.193.176.0,21,allocated,[39234;BE;STONE-IS Combell NV][34762;BE;COMBELL-AS Combell NV][30961;BE;OPENMINDS-AS Combell NV]
ripencc,ipv4,31.216.58.0,24,allocated,*
ripencc,ipv4,37.19.8.0,21,allocated,[35219;BE;VERIXI-BE VERIXI SA][6696;BE;VERIXI VERIXI SA]
ripencc,ipv4,37.44.240.0,22,allocated,[207290;BE;MSC-Belgium Mediterranean Shipping Company Belgium N.V.]
ripencc,ipv4,37.58.40.0,21,allocated,*
ripencc,ipv4,37.62.0.0,16,allocated,[29005;BE;Proximus-AS Proximus NV][28704;BE;Belgacom-AS Proximus NV][5488;BE;Belgacom Proximus NV][5432;BE;PROXIMUS-ISP-AS Proximus NV][3304;BE;SCARLET Proximus NV]
ripencc,ipv4,37.72.160.0,21,allocated,[39234;BE;STONE-IS Combell NV][34762;BE;COMBELL-AS Combell NV][30961;BE;OPENMINDS-AS Combell NV]
ripencc,ipv4,37.123.232.0,21,allocated,[56837;BE;TIGRON-AS Tigron bv]
ripencc,ipv4,37.143.0.0,21,allocated,*
ripencc,ipv4,37.148.176.0,21,allocated,[39234;BE;STONE-IS Combell NV][34762;BE;COMBELL-AS Combell NV][30961;BE;OPENMINDS-AS Combell NV]
ripencc,ipv4,37.184.0.0,15,allocated,[29005;BE;Proximus-AS Proximus NV][28704;BE;Belgacom-AS Proximus NV][5488;BE;Belgacom Proximus NV][5432;BE;PROXIMUS-ISP-AS Proximus NV][3304;BE;SCARLET Proximus NV]
ripencc,ipv4,37.208.56.0,21,allocated,*
ripencc,ipv4,37.208.88.0,21,allocated,[202964;BE;RADIANARCEUROPE Cloudalize NV]
ripencc,ipv4,37.228.72.0,21,allocated,[199796;BE;MEDIAHUIS Mediahuis Technology & Product Studio NV][34106;BE;TELEGRAAF-AS Mediahuis Technology & Product Studio NV]
