region,version,ip,prefixlength,state,orgsflat
ripencc,ipv4,2.56.12.0,22,allocated,*
ripencc,ipv4,2.56.52.0,22,allocated,*
ripencc,ipv4,2.58.92.0,22,allocated,[213355;BG;UNI-PLOVDIV-AS Plovdiv University Paisii Hilendarski][212950;BG;VIDENOV-AS Videnov Group Ltd][210624;BG;VG_Global_JSC VG Global JSC][210211;BG;SUMUP-AS Sumup Limited][209628;BG;MurVal MurVal LTD.][209524;BG;Ballistic_Cell_LTD Ballistic Cell LTD.][209333;LU;Osy_Technologies Osy Technologies S.a r.l.][209274;BG;ELEKTROSFERA-AS Elektrosfera Ltd][208389;BG;FOCUSIT Focus IT Solutions][208224;BG;KAROLL KAROLL][205175;BG;DARKNET-AS DarkNet Ltd][205138;BG;OpenSolutions Dosk ltd.][204469;BG;SANEVIAN Sanevian][203309;BG;VMWARE-AS Vmware Bulgaria Ltd][202129;BG;NET365-AS NET 365 JSC][201360;BG;MYASSETS-AS Neterra Ltd.][200400;BG;Sofia_Municipality Sofia Municipality][200085;US;POTOFGOLD_NETWORK-AS POTOFGOLD NETWORKS LLC][200068;BG;Circles_Bulgaria-AS Circles Bulgaria Ltd][200033;BG;Megalan-AS Megalan EOOD][200024;BG;KENTAVAR-AS Kentavar M LTD.][199958;BG;ALTSCALE-AS Altscale Bulgaria Ltd.][199818;BG;NNINSURANCE-AS ING Pension Insurance Company Jsc][199759;BG;Aviaso-AS Aviaso Bulgaria Ltd][199211;BG;CONTOUR-GLOBAL-MARITZA-IZTOK-3-AS CONTOUR GLOBAL MARITSA EAST 3 AD][199209;BG;InternetSecurities-Bulgaria-AS Internet Securities Bulgaria Ltd.][199173;BG;TECHNOLUX-AS TechnoLux Ltd.][199048;BG;KRAKRA-AS KRAKRA AD][198860;BG;SEPBG-AS System for Electronic Payments Bulgaria / SEP Bulgaria JSC.][198790;BG;BRAVOKONSULT-AS Bravo Konsult Ltd.][198283;BG;APIS-BULGARIA-AS APIS BULGARIA Ltd.][198228;BG;STS-AS Silistra Telecom Solutions Ltd.][197516;BG;ECOCLEANBG-AS Eco Clean BG Ltd][197184;BG;Orbital-AS Orbital Ltd][60859;BG;TeraCom-AS TERA COMMUNICATIONS AD][60784;BG;Iradeum-AS  Iradeum Trading  Ltd.][60701;BG;MammothDB-AS MammothDB EOOD][60590;BG;AS-NAXEX-TECH Naxex Technological Development Ltd][60394;BG;MINOTAVAR-AS Minotavar Computers EOOD][60230;BG;Neterra Neterra Ltd.][60202;BG;KIVITV-AS Kivi TV Ltd.][59546;BG;EON-BULGARIA-AS Energo-Pro Varna LTD][57634;BG;SKAT-POPOVO-AS SKAT POPOVO Ltd.][57463;BG;NetIX NetIX Communications JSC][51189;BG;SHARCOM-AS Sharcom Ltd.][50368;BG;BULSATTV-AS Bulsat Ltd.][49849;BG;MG2002-AS MG 2002 Ltd.][49773;BG;DEIMOS-AS Deimos Ltd.][49330;BG;NIKO-AS ET Nikolay Petrov - Niko][48584;BG;Sarnica-AS Sarnica-Net LTD][48115;BG;DGM-AS DGM EOOD][47174;BG;TUVARNA-AS Technical University of Varna][44796;DE;EUROWEB-AS Euroweb Internet GmbH][44564;BG;EUROSPED-AS Technical Solution Ltd][44309;BG;SATELITTM-AS ET  Satelit TM - Anton Simeonov ][44017;DE;WEBSTYLE-AS Ramona Media GmbH][43068;BG;PLADI-AS Pladi Computers Ltd.][42942;BG;Telecomp-AS Telecomp Ltd.][42878;BG;COMPASBG-AS General Partnership  Compas - Karadjov & Co. ][42446;BG;VISCOMP-AS Viscomp Ltd][42410;BG;PTP-AS Point To Point Ltd.][41624;BG;ElektronikaNS Elektronika NS Ltd.][41352;BG;UNI-SVISHTOV D. A. Tsenov Svishtov Academy of Economics][35756;BG;FASTNET FastNet Ltd.][35448;BG;MultiLink Multilink Ltd.][34577;BG;SKATTV-AS SKAT TV Ltd.][34368;BG;THEZONE  Zonata - Natskovi & Sie  Ltd.][34224;BG;NETERRA-AS Neterra Ltd.][31490;BG;NetIX-MGMT-AS NetIX Communications JSC][31298;BG;AS-ZULU-BG Zulu Ltd.][29030;BG;Telekabel Sa Telecable][25224;BG;STS-HOLDING-AS STS Invest Holding AD][25206;BG;UNACS-AS-BG Unacs - Yuri Jordanov Ltd.][20665;BG;VARNANET-AS Varna Net Ltd.][15871;BG;BGNET Ltd.][12814;BG;DEL-AS Davidov Electric Ltd.][8739;BG;ICDSoft ICDSoft Ltd.]
ripencc,ipv4,2.59.252.0,22,allocated,[213355;BG;UNI-PLOVDIV-AS Plovdiv University Paisii Hilendarski][212950;BG;VIDENOV-AS Videnov Group Ltd][210624;BG;VG_Global_JSC VG Global JSC][210211;BG;SUMUP-AS Sumup Limited][209628;BG;MurVal MurVal LTD.][209524;BG;Ballistic_Cell_LTD Ballistic Cell LTD.][209333;LU;Osy_Technologies Osy Technologies S.a r.l.][209274;BG;ELEKTROSFERA-AS Elektrosfera Ltd][208389;BG;FOCUSIT Focus IT Solutions][208224;BG;KAROLL KAROLL][205175;BG;DARKNET-AS DarkNet Ltd][205138;BG;OpenSolutions Dosk ltd.][204469;BG;SANEVIAN Sanevian][203309;BG;VMWARE-AS Vmware Bulgaria Ltd][202129;BG;NET365-AS NET 365 JSC][201360;BG;MYASSETS-AS Neterra Ltd.][200400;BG;Sofia_Municipality Sofia Municipality][200085;US;POTOFGOLD_NETWORK-AS POTOFGOLD NETWORKS LLC][200068;BG;Circles_Bulgaria-AS Circles Bulgaria Ltd][200033;BG;Megalan-AS Megalan EOOD][200024;BG;KENTAVAR-AS Kentavar M LTD.][199958;BG;ALTSCALE-AS Altscale Bulgaria Ltd.][199818;BG;NNINSURANCE-AS ING Pension Insurance Company Jsc][199759;BG;Aviaso-AS Aviaso Bulgaria Ltd][199211;BG;CONTOUR-GLOBAL-MARITZA-IZTOK-3-AS CONTOUR GLOBAL MARITSA EAST 3 AD][199209;BG;InternetSecurities-Bulgaria-AS Internet Securities Bulgaria Ltd.][199173;BG;TECHNOLUX-AS TechnoLux Ltd.][199048;BG;KRAKRA-AS KRAKRA AD][198860;BG;SEPBG-AS System for Electronic Payments Bulgaria / SEP Bulgaria JSC.][198790;BG;BRAVOKONSULT-AS Bravo Konsult Ltd.][198283;BG;APIS-BULGARIA-AS APIS BULGARIA Ltd.][198228;BG;STS-AS Silistra Telecom Solutions Ltd.][197516;BG;ECOCLEANBG-AS Eco Clean BG Ltd][197184;BG;Orbital-AS Orbital Ltd][60859;BG;TeraCom-AS TERA COMMUNICATIONS AD][60784;BG;Iradeum-AS  Iradeum Trading  Ltd.][60701;BG;MammothDB-AS MammothDB EOOD][60590;BG;AS-NAXEX-TECH Naxex Technological Development Ltd][60394;BG;MINOTAVAR-AS Minotavar Computers EOOD][60230;BG;Neterra Neterra Ltd.][60202;BG;KIVITV-AS Kivi TV Ltd.][59546;BG;EON-BULGARIA-AS Energo-Pro Varna LTD][57634;BG;SKAT-POPOVO-AS SKAT POPOVO Ltd.][57463;BG;NetIX NetIX Communications JSC][51189;BG;SHARCOM-AS Sharcom Ltd.][50368;BG;BULSATTV-AS Bulsat Ltd.][49849;BG;MG2002-AS MG 2002 Ltd.][49773;BG;DEIMOS-AS Deimos Ltd.][49330;BG;NIKO-AS ET Nikolay Petrov - Niko][48584;BG;Sarnica-AS Sarnica-Net LTD][48115;BG;DGM-AS DGM EOOD][47174;BG;TUVARNA-AS Technical University of Varna][44796;DE;EUROWEB-AS Euroweb Internet GmbH][44564;BG;EUROSPED-AS Technical Solution Ltd][44309;BG;SATELITTM-AS ET  Satelit TM - Anton Simeonov ][44017;DE;WEBSTYLE-AS Ramona Media GmbH][43068;BG;PLADI-AS Pladi Computers Ltd.][42942;BG;Telecomp-AS Telecomp Ltd.][42878;BG;COMPASBG-AS General Partnership  Compas - Karadjov & Co. ][42446;BG;VISCOMP-AS Viscomp Ltd][42410;BG;PTP-AS Point To Point Ltd.][41624;BG;ElektronikaNS Elektronika NS Ltd.][41352;BG;UNI-SVISHTOV D. A. Tsenov Svishtov Academy of Economics][35756;BG;FASTNET FastNet Ltd.][35448;BG;MultiLink Multilink Ltd.][34577;BG;SKATTV-AS SKAT TV Ltd.][34368;BG;THEZONE  Zonata - Natskovi & Sie  Ltd.][34224;BG;NETERRA-AS Neterra Ltd.][31490;BG;NetIX-MGMT-AS NetIX Communications JSC][31298;BG;AS-ZULU-BG Zulu Ltd.][29030;BG;Telekabel Sa Telecable][25224;BG;STS-HOLDING-AS STS Invest Holding AD][25206;BG;UNACS-AS-BG Unacs - Yuri Jordanov Ltd.][20665;BG;VARNANET-AS Varna Net Ltd.][15871;BG;BGNET Ltd.][12814;BG;DEL-AS Davidov Electric Ltd.][8739;BG;ICDSoft ICDSoft Ltd.]
ripencc,ipv4,5.32.128.0,22,allocated,[49658;BG;PONBG PON.BG Ltd.]
ripencc,ipv4,5.32.132.0,22,allocated,[57705;BG;LIFOET-AS Lifoet-2007 LLC]
ripencc,ipv4,5.53.128.0,17,allocated,[213357;BG;KAOLIN KAOLIN_AD][210992;BG;dbank D Commerce Bank AD][210853;BG;MOSBG MOS Consult Ltd.][210024;BG;RIA_TOLL_SYSTEM ITA Engineering OOD][209736;BG;WALLTOPIA WALLTOPIA AD][209697;BG;dWare_AS dWare Ltd.][208318;BG;adastra Adastra Bulgaria EOOD][206511;BG;scorpion_shipping Scorpion Shipping OOD][206410;BG;Intellegent-Sys-Bulgaria Intellegent Systems Bulgaria Ltd.][205526;BG;AS_ITR_Services ITR Services Ltd][204270;BG;Sofia-Solutions-ltd Sofia Solutions Ltd.][203917;BG;Hashlink Hashlink OOD][203723;BG;Residence-Control RESIDENCE CONTROL EOOD][203578;BG;Euromaster_Import_Export_Ltd Euromaster Import Export Ltd][203535;BG;WorkBetter-AS  Work Better  LTD][203312;BG;CL-AS Commercial League - National Pfarma Centre JSC][203032;BG;ue-varna University of Economics - Varna][202593;BG;AS_iGaming_Ltd iGaming.com_Limited][202357;BG;SOPHARMA Sopharma Trading Jsc][202209;BG;TVTRYAVNA-AS Erma Consulting Ltd.][201642;BG;NCS-BG-AS NetCom Service ltd][201406;BG;Mobinet-AS Mobinet Bulgaria Ltd.][201326;BG;BGBS-AS BG BUSINESS SOLUTIONS EOOD][200458;BG;VMobile Vmobile AD][200422;BG;Concentrix-Services Concentrix Services Bulgaria EOOD][199898;BG;BG-HAEMIMONT1 Haemimont AD][199282;BG;SOFLAN-AS Sofia Lan EOOD][198941;BG;BIANOR-AS Bianor Services EOOD][198940;BG;FADATABG-AS FADATA EOOD][198938;BG;STONE-AS Stone Computers AD][198868;BG;BGTEL-AS BGTEL OOD][198744;BG;BGPORTS BULGARIAN PORTS INFRASTRUCTURE][198576;BG;BNR-AS Bulgarin National Radio][198280;BG;VFU-AS Varna Free University Chernorizets Hrabar][198003;BG;Proxiad-AS Proxiad Bulgaria EAD][62411;BG;SOLYTRON SOLYTRON - SD - PETAR IVANOV AND GEORGI NAKOV][61321;BG;AIKO-AS AIKO MULTY CONCEPT Ltd.][60092;BG;FIXITY FIXITY LLC][59463;BG;NESEBAR-LAN-AS Vision 2008 Ltd.][56661;BG;SOFICA-AS Sofica group JSC.][56539;BG;MBM-AS Management Business Machine Ltd.][56371;BG;CRBG-AS Creditreform Bulgaria EOOD][51925;BG;SAFECHARGE-AS Safecharge Bulgaria EOOD][51830;BG;C3I-AS C3i Europe EOOD][51581;BG;Profonika-BG Profonika EOOD][51383;BG;SGROUP S Group Bulgaria Jsc][51374;BG;UNICORN-SYSTEMS-AS Unicorn Systems ltd.][50379;BG;ISCNET-AS Internet Services and Communications AD][50194;BG;CORPBANK-BG-AS CORPORATE COMMERCIAL BANK AD][49421;BG;LINUXLTD Linux Ltd.][48745;BG;ICOM-AS ICOM Ltd.][48155;BG;RU-NET-AS University of Ruse  Angel Kanchev ][48064;BG;COMET-AS Comet Electronics - Dimitrov Alipiev CD][47402;BG;MULTIMEDIA-AS Multimedia BG EOOD][44805;BG;NBU-AS New Bulgarian University][44396;BG;RBB-BG Raiffeisenbank Bulgaria EAD][44179;BG;TELERIK-AS Telerik Jsc.][44100;BG;ARIELTV-AS Ariel TV AD][43718;BG;STBG-AS Veriosoft EOOD][43713;BG;MOSTBG-AS MOST Computers Ltd.][43651;BG;GneneraliBG Generali Insurance AD][42844;BG;KBRD-AS Kbrod.net Ltd.][42794;BG;ULTRACOM-AS Ultracom Ltd.][42295;BG;TBROS-AS T BROS Ltd][42157;BG;A1BG A1 Bulgaria EAD][41901;BG;TELELINK-AS TELELINK EAD][41889;BG;BORICA-AS BORICA AD][41799;BG;POSTBANK-AS Eurobank EFG Bulgaria AD][41610;BG;FINITE Finite Software Systems Ltd.][40968;BG;DSC Professional Protection Electronic Ltd.][35621;BG;PERNIK-LAN-AS Alexandria Ltd.][35464;BG;DatamaxBG Datamax JSC][35183;BG;BTA-AS Bulgarian Telegraf Agency][35141;BG;A1BG A1 Bulgaria EAD][34917;BG;ORLANDONET-AS Orlandonet ltd.][33825;BG;BOR-AS Interimpex Ltd.][31534;BG;ING-BANK-AS ING Bank N.V. - Sofia Branch][31522;BG;BTV-BG Balkan News Corporation EAD][31440;BG;DSK-AS DSK Bank EAD][31369;BG;NSSI-AS National Social Security Institute][31308;BG;FIXITY FIXITY LLC][31140;BG;BSE-AS Bulgarian Stock Exchange AD][31014;BG;DELTASTOCK-AS DeltaStock AD][29622;BG;ICONBG-AS ICON Ltd][29580;BG;A1BG A1 Bulgaria EAD][29366;BG;AIIDATAPRO-AS AII Data Processing OOD][29343;BG;AS-AKVANET Akvanet Ltd.][24964;BG;A1BG A1 Bulgaria EAD][21337;BG;UBBNET United Bulgarian Bank AD][16226;BG;NEWGEN Internet & Telecom Solutions Ltd.][16193;BG;BORICA-AD BORICA AD][15534;BG;DatamaxBG Datamax AD][12962;BG;FIBank First Investment Bank AD][12815;BG;MUSALASOFT Musala Soft Ltd][12716;BG;A1_BG_AS12716 A1 Bulgaria EAD][12591;BG;SMARTCOMBG Smartcom Bulgaria AD][8880;BG;AII-AS0 Agency for Investment Information (AII) Ltd][8860;BG;DIRBG-AS DIR.BG AD][8717;BG;A1BG A1 Bulgaria EAD][8672;BG;A1BG A1 Bulgaria EAD][5421;BG;SU-NET-AS Sofia University  St. Kliment Ohridski ][3187;BG;BNPPF-AS BNP Paribas Personal Finance EAD]
ripencc,ipv4,5.61.96.0,20,allocated,[39683;BG;NETPOINT-SERVICES-AS Netpoint Services Ltd.][39183;BG;Micro-Optics-Europe Micro Optics Europe EOOD][35176;BG;Dynamo-Software-Bulgaria-AS Dynamo Software Bulgaria Ltd]
ripencc,ipv4,5.104.160.0,19,allocated,[212677;BG;Terinet Terinet EOOD][212588;BG;DreamRadio Dream Radio EOOD][212416;BG;Proximity Proximity EOOD][212283;BG;ROZA-AS ROZA HOLIDAYS EOOD][212115;BG;IN_TRADE IN TRADE 87 LTD][211330;BG;ISGBG ISGBG EOOD][210473;GR;NOWIRE PANTELIS SPYRIDON trading as NOWIRE][209967;BG;BGO-Cloud BGO Cloud OOD][209696;BG;Nilsat NILSAT Ltd.][209160;BG;Miti2000 Miti 2000 EOOD][208641;BG;GEORGI-SHISHKOV ET  GEORGI SHISHKOV ][207812;BG;DM_AUTO DM AUTO EOOD][207172;BG;PROSTO-INETRA PRO STO][205872;BG;EXTRANET-AS EXTRANET 2010][205128;BG;Trixir-AS Phoenix Media Ltd.][205085;BG;BG-NETPLUSONE NET PLUS ONE Ltd.][204950;BG;BEYONDIX BEYONDIX EOOD][204428;BG;SS-Net SS-Net][203543;BG;RT-Electronics-2015  RT Electronics 2015  EOOD][202968;BG;Credissimo Credissimo JSCo][202325;BG;AS_4Media 4Media Ltd.][202309;BG;Radibase Radibase EOOD][201133;BZ;Verdina Verdina Ltd.][200628;BG;BGO-Cloud BGO Cloud OOD][200523;BG;RDB RDB EOOD][200469;BG;Valvi Valvi Ltd.][200459;BG;Net_Host_Solution Net Host Solutions Ltd.][200391;BG;KREZ999AS KREZ 999 EOOD][199221;BG;TBG-NET-AS TBG OOD][62361;BG;Ntero Ntero Ltd.][59900;BG;Balkan-Internet-Exchange Balkan Internet Exchange Ltd][59484;BG;SiS-NET SiS Net 05 EOOD][57509;BG;LL-Investment-Ltd L&L Investment Ltd.][57344;BG;TELEHOUSE-AS Telehouse EAD][51605;BG;XS-SOFTWARE XS Soft JSCo][51304;BG;DAInternationalGroup DA International Group Ltd.][50360;BG;TAMATIYA-AS Tamatiya EOOD][49699;BG;ICN-BG SuperHosting.BG Ltd.][48982;BG;Valerii Valerii S&M Grup AD][44098;BG;Tesa-Grup  TESA GRUP  LTD][42956;BG;FENIKS-AS Feniks 666 LTD][42805;BG;eMerchantPay eMerchantPay Ltd][42347;BG;Hosting-27 Hosting-27 LTD][41990;BG;NETFINITY-AS NETFINITY JSC][31083;BG;Telepoint Telepoint Ltd][13147;BG;NETINFO Net Info JSCo]
ripencc,ipv4,5.133.92.0,22,allocated,[42293;BG;AVALA-AS ET PAVLIN ILIEV - AVALA][39184;BG;UltraNET-AS UltraNET Ltd]
