region,version,ip,prefixlength,state,orgsflat
ripencc,ipv4,31.217.249.0,24,allocated,[210968;BH;SINNAD-BAH SINNAD W.L.L]
ripencc,ipv4,37.131.0.0,17,allocated,[51375;BH;VIVABH STC BAHRAIN B.S.C CLOSED][39015;BH;VIVABH-AS2 STC BAHRAIN B.S.C CLOSED]
ripencc,ipv4,45.11.72.0,22,allocated,[209004;BH;AMEX-ME-AS AMEX (MIDDLE EAST) B.S.C. (CLOSED)]
ripencc,ipv4,46.42.64.0,18,allocated,[51375;BH;VIVABH STC BAHRAIN B.S.C CLOSED][39015;BH;VIVABH-AS2 STC BAHRAIN B.S.C CLOSED]
ripencc,ipv4,46.184.128.0,17,allocated,[51375;BH;VIVABH STC BAHRAIN B.S.C CLOSED][39015;BH;VIVABH-AS2 STC BAHRAIN B.S.C CLOSED]
ripencc,ipv4,46.235.208.0,21,allocated,[56494;BH;ETISALCOM-CORP Etisalcom Bahrain Company W.L.L.][35457;BH;ETISALCOM-AS Etisalcom Bahrain Company W.L.L.]
ripencc,ipv4,62.209.0.0,19,allocated,[204200;BH;Zain-BH-PRNG ZAIN BAHRAIN B.S.C.][31452;BH;ZAIN-BH-AS ZAIN BAHRAIN B.S.C.]
ripencc,ipv4,77.69.128.0,17,allocated,[209752;BH;Batelco Bahrain Telecommunications Company (BATELCO) B.S.C.][15539;BH;Batelco-Core-IP-Network Bahrain Telecommunications Company (BATELCO) B.S.C.][5416;BH;Bahrain Telecommunications Company (BATELCO) B.S.C.]
ripencc,ipv4,77.83.88.0,22,allocated,[39273;BH;Kalaam-Telecom Kalaam Telecom Bahrain B.S.C.][35443;BH;Kalaam-Telecom-Bahrain Kalaam Telecom Bahrain B.S.C.]
ripencc,ipv4,77.92.160.0,19,allocated,[39273;BH;Kalaam-Telecom Kalaam Telecom Bahrain B.S.C.][35443;BH;Kalaam-Telecom-Bahrain Kalaam Telecom Bahrain B.S.C.]
ripencc,ipv4,78.110.64.0,20,allocated,[39273;BH;Kalaam-Telecom Kalaam Telecom Bahrain B.S.C.][35443;BH;Kalaam-Telecom-Bahrain Kalaam Telecom Bahrain B.S.C.]
ripencc,ipv4,79.171.240.0,21,allocated,[30882;BH;BENEFIT The Benefit Company B.S.C. (C)]
ripencc,ipv4,80.88.240.0,20,allocated,[35313;BH;BH-INFONAS-ASN Infonas W.L.L.]
ripencc,ipv4,80.95.208.0,20,allocated,[56494;BH;ETISALCOM-CORP Etisalcom Bahrain Company W.L.L.][35457;BH;ETISALCOM-AS Etisalcom Bahrain Company W.L.L.]
ripencc,ipv4,80.241.144.0,20,allocated,[35546;BH;NORTHSTAR Northstar Technology Company W.L.L.]
ripencc,ipv4,81.22.16.0,20,allocated,[39273;BH;Kalaam-Telecom Kalaam Telecom Bahrain B.S.C.][35443;BH;Kalaam-Telecom-Bahrain Kalaam Telecom Bahrain B.S.C.]
ripencc,ipv4,82.194.32.0,19,allocated,[209752;BH;Batelco Bahrain Telecommunications Company (BATELCO) B.S.C.][15539;BH;Batelco-Core-IP-Network Bahrain Telecommunications Company (BATELCO) B.S.C.][5416;BH;Bahrain Telecommunications Company (BATELCO) B.S.C.]
ripencc,ipv4,83.136.56.0,21,allocated,[204200;BH;Zain-BH-PRNG ZAIN BAHRAIN B.S.C.][31452;BH;ZAIN-BH-AS ZAIN BAHRAIN B.S.C.]
ripencc,ipv4,84.255.128.0,18,allocated,[209752;BH;Batelco Bahrain Telecommunications Company (BATELCO) B.S.C.][15539;BH;Batelco-Core-IP-Network Bahrain Telecommunications Company (BATELCO) B.S.C.][5416;BH;Bahrain Telecommunications Company (BATELCO) B.S.C.]
ripencc,ipv4,85.158.128.0,21,allocated,[35019;BH;BIX-AS Bahrain Internet Exchange]
ripencc,ipv4,87.236.48.0,21,allocated,[39273;BH;Kalaam-Telecom Kalaam Telecom Bahrain B.S.C.][35443;BH;Kalaam-Telecom-Bahrain Kalaam Telecom Bahrain B.S.C.]
ripencc,ipv4,87.236.136.0,21,allocated,[35568;BH;TORLOVER Nuetel Communications B.S.C]
ripencc,ipv4,87.237.192.0,21,allocated,[51375;BH;VIVABH STC BAHRAIN B.S.C CLOSED][39015;BH;VIVABH-AS2 STC BAHRAIN B.S.C CLOSED]
ripencc,ipv4,87.252.96.0,21,allocated,[35729;BH;VIACLOUD-AS ViaCloud WLL]
ripencc,ipv4,87.252.104.0,23,allocated,[35729;BH;VIACLOUD-AS ViaCloud WLL]
ripencc,ipv4,87.252.126.0,23,allocated,[35729;BH;VIACLOUD-AS ViaCloud WLL]
ripencc,ipv4,88.201.0.0,17,allocated,[209752;BH;Batelco Bahrain Telecommunications Company (BATELCO) B.S.C.][15539;BH;Batelco-Core-IP-Network Bahrain Telecommunications Company (BATELCO) B.S.C.][5416;BH;Bahrain Telecommunications Company (BATELCO) B.S.C.]
ripencc,ipv4,89.31.192.0,21,allocated,[48109;BH;CIO-AS Information and eGovernment Authority]
ripencc,ipv4,89.148.0.0,18,allocated,[209752;BH;Batelco Bahrain Telecommunications Company (BATELCO) B.S.C.][15539;BH;Batelco-Core-IP-Network Bahrain Telecommunications Company (BATELCO) B.S.C.][5416;BH;Bahrain Telecommunications Company (BATELCO) B.S.C.]
ripencc,ipv4,91.189.188.0,22,allocated,[201998;BH;NBB National Bank of Bahrain]
ripencc,ipv4,93.188.192.0,21,allocated,[51375;BH;VIVABH STC BAHRAIN B.S.C CLOSED][39015;BH;VIVABH-AS2 STC BAHRAIN B.S.C CLOSED]
ripencc,ipv4,94.76.0.0,18,allocated,[51375;BH;VIVABH STC BAHRAIN B.S.C CLOSED][39015;BH;VIVABH-AS2 STC BAHRAIN B.S.C CLOSED]
ripencc,ipv4,94.79.192.0,18,allocated,[204200;BH;Zain-BH-PRNG ZAIN BAHRAIN B.S.C.][31452;BH;ZAIN-BH-AS ZAIN BAHRAIN B.S.C.]
ripencc,ipv4,95.84.64.0,18,allocated,[51375;BH;VIVABH STC BAHRAIN B.S.C CLOSED][39015;BH;VIVABH-AS2 STC BAHRAIN B.S.C CLOSED]
ripencc,ipv4,109.63.0.0,17,allocated,[51375;BH;VIVABH STC BAHRAIN B.S.C CLOSED][39015;BH;VIVABH-AS2 STC BAHRAIN B.S.C CLOSED]
ripencc,ipv4,109.161.128.0,17,allocated,[204200;BH;Zain-BH-PRNG ZAIN BAHRAIN B.S.C.][31452;BH;ZAIN-BH-AS ZAIN BAHRAIN B.S.C.]
ripencc,ipv4,178.132.32.0,20,allocated,[51375;BH;VIVABH STC BAHRAIN B.S.C CLOSED][39015;BH;VIVABH-AS2 STC BAHRAIN B.S.C CLOSED]
ripencc,ipv4,185.3.120.0,22,allocated,*
ripencc,ipv4,185.7.8.0,22,allocated,[204200;BH;Zain-BH-PRNG ZAIN BAHRAIN B.S.C.][31452;BH;ZAIN-BH-AS ZAIN BAHRAIN B.S.C.]
ripencc,ipv4,185.33.176.0,22,allocated,[39273;BH;Kalaam-Telecom Kalaam Telecom Bahrain B.S.C.][35443;BH;Kalaam-Telecom-Bahrain Kalaam Telecom Bahrain B.S.C.]
ripencc,ipv4,185.34.228.0,22,allocated,[62123;BH;RT-AS Rapid Telecommunications W.L.L.]
ripencc,ipv4,185.36.88.0,22,allocated,[51375;BH;VIVABH STC BAHRAIN B.S.C CLOSED][39015;BH;VIVABH-AS2 STC BAHRAIN B.S.C CLOSED]
ripencc,ipv4,185.49.160.0,22,allocated,[56494;BH;ETISALCOM-CORP Etisalcom Bahrain Company W.L.L.][35457;BH;ETISALCOM-AS Etisalcom Bahrain Company W.L.L.]
ripencc,ipv4,185.143.124.0,22,allocated,[51375;BH;VIVABH STC BAHRAIN B.S.C CLOSED][39015;BH;VIVABH-AS2 STC BAHRAIN B.S.C CLOSED]
ripencc,ipv4,185.156.236.0,22,allocated,[35019;BH;BIX-AS Bahrain Internet Exchange]
ripencc,ipv4,185.165.176.0,22,allocated,[209752;BH;Batelco Bahrain Telecommunications Company (BATELCO) B.S.C.][15539;BH;Batelco-Core-IP-Network Bahrain Telecommunications Company (BATELCO) B.S.C.][5416;BH;Bahrain Telecommunications Company (BATELCO) B.S.C.]
ripencc,ipv4,185.236.132.0,22,allocated,[35568;BH;TORLOVER Nuetel Communications B.S.C]
ripencc,ipv4,188.116.192.0,18,allocated,[51375;BH;VIVABH STC BAHRAIN B.S.C CLOSED][39015;BH;VIVABH-AS2 STC BAHRAIN B.S.C CLOSED]
