region,version,ip,prefixlength,state,orgsflat
arin,ipv4,45.42.144.0,22,allocated,[399084;BM;HRZN-BDA-01]
arin,ipv4,64.37.32.0,20,allocated,[11618;BM;ACT-ASN]
arin,ipv4,64.89.168.0,22,allocated,[55159;BM;PARADISE-MOBILE-ASN-01]
arin,ipv4,64.147.80.0,20,allocated,[32020;BM;TRANSACT-BM-ASN]
arin,ipv4,66.55.112.0,20,allocated,[13802;BM;LOGIC-BERMUDA-NORTHROCK]
arin,ipv4,66.97.172.0,23,allocated,[395705;BM;CCS-GROUP-LTD]
arin,ipv4,69.17.192.0,19,allocated,[11269;BM;LINKBERMUDA]
arin,ipv4,74.114.240.0,22,allocated,[47060;BM;BMA]
arin,ipv4,76.8.32.0,20,allocated,[16413;BM;TELEBERMUDA]
arin,ipv4,104.218.168.0,21,allocated,[393440;BM;BCV-BM-AS1]
arin,ipv4,142.54.192.0,21,allocated,[393440;BM;BCV-BM-AS1]
arin,ipv4,162.219.233.0,24,allocated,*
arin,ipv4,162.221.212.0,22,allocated,[32020;BM;TRANSACT-BM-ASN]
arin,ipv4,162.255.216.0,21,allocated,[393440;BM;BCV-BM-AS1]
arin,ipv4,192.40.84.0,22,allocated,[26559;BM;BERMUDA-DIGITAL-COMMS]
arin,ipv4,192.156.199.0,24,allocated,*
arin,ipv4,192.219.29.0,24,allocated,*
arin,ipv4,196.1.107.0,24,allocated,*
arin,ipv4,196.12.64.0,18,allocated,*
arin,ipv4,198.182.170.0,24,allocated,[399926;BM;BERMUDA-COLLEGE-AS]
arin,ipv4,198.186.235.0,24,allocated,*
arin,ipv4,198.187.171.0,24,allocated,*
arin,ipv4,198.207.16.0,21,allocated,*
arin,ipv4,199.15.228.0,22,allocated,[19626;BM;EVC-AS]
arin,ipv4,199.16.248.0,22,allocated,[23313;BM;ASN-HIG]
arin,ipv4,199.27.70.0,23,allocated,[394478;BM;FIREMINDS-BERMUDA]
arin,ipv4,199.68.192.0,22,allocated,[19626;BM;EVC-AS]
arin,ipv4,199.87.170.0,23,allocated,[395838;BM;CBL]
arin,ipv4,199.96.64.0,22,allocated,[26559;BM;BERMUDA-DIGITAL-COMMS]
arin,ipv4,199.193.228.0,22,allocated,[11269;BM;LINKBERMUDA]
arin,ipv4,200.1.160.0,24,allocated,[11269;BM;LINKBERMUDA]
arin,ipv4,200.10.165.0,24,allocated,*
arin,ipv4,200.10.166.0,24,allocated,[11269;BM;LINKBERMUDA]
arin,ipv4,204.13.24.0,21,allocated,[393440;BM;BCV-BM-AS1]
arin,ipv4,205.211.8.0,23,allocated,[10388;BM;ONEUNIFIED]
arin,ipv4,206.53.176.0,20,allocated,[16413;BM;TELEBERMUDA]
arin,ipv4,206.188.128.0,19,allocated,[13802;BM;LOGIC-BERMUDA-NORTHROCK]
arin,ipv4,207.2.96.0,21,allocated,[11269;BM;LINKBERMUDA]
arin,ipv4,207.228.128.0,18,allocated,[3855;BM;LOGIC-3855]
arin,ipv4,208.64.0.0,23,allocated,[21958;BM;NL-820-21958]
arin,ipv4,208.64.6.0,23,allocated,[21958;BM;NL-820-21958]
arin,ipv4,208.75.200.0,22,allocated,[26559;BM;BERMUDA-DIGITAL-COMMS]
arin,ipv4,208.82.164.0,22,allocated,[26559;BM;BERMUDA-DIGITAL-COMMS]
arin,ipv4,208.89.228.0,22,allocated,[26559;BM;BERMUDA-DIGITAL-COMMS]
arin,ipv4,209.240.32.0,20,allocated,[32020;BM;TRANSACT-BM-ASN]
arin,ipv4,216.249.32.0,20,allocated,[13802;BM;LOGIC-BERMUDA-NORTHROCK]
arin,ipv6,2001:508::,32,allocated,[32020;BM;TRANSACT-BM-ASN]
arin,ipv6,2604:140::,32,allocated,[395705;BM;CCS-GROUP-LTD]
arin,ipv6,2605:e80::,32,allocated,[11269;BM;LINKBERMUDA]
arin,ipv6,2606:480::,32,allocated,[19626;BM;EVC-AS]
arin,ipv6,2606:b80::,32,allocated,[393440;BM;BCV-BM-AS1]
arin,ipv6,2001:4910::,32,allocated,[13802;BM;LOGIC-BERMUDA-NORTHROCK]
arin,ipv6,2606:1ec0::,32,allocated,[399084;BM;HRZN-BDA-01]
arin,ipv6,2606:9e00::,32,allocated,[16413;BM;TELEBERMUDA]
arin,ipv6,2607:18c0::,32,allocated,[55159;BM;PARADISE-MOBILE-ASN-01]
ripencc,ipv4,31.47.88.0,21,allocated,[206154;BM;abs-me ABS Global Ltd]
ripencc,ipv4,185.198.104.0,22,allocated,[206154;BM;abs-me ABS Global Ltd]
ripencc,ipv6,2a00:1378::,32,allocated,[8513;BM;SKYVISION SkyVision Global Networks Ltd]
ripencc,ipv6,2a0a:1a40::,32,allocated,[206154;BM;abs-me ABS Global Ltd]
