region,version,ip,prefixlength,state,orgsflat
apnic,ipv4,45.127.140.0,22,allocated,*
apnic,ipv4,58.97.144.0,20,allocated,*
apnic,ipv4,61.6.192.0,18,allocated,[133788;BN;UNN-BN Unified National Networks][132395;BN;DST-AS Unified National Networks][131467;BN;EGNC-AS Unified National Networks][10101;BN;SIMPUR-BN UNN-][10094;BN;UNN-BN Unified National Networks][4617;BN;UNN-BN Borneo-IX]
apnic,ipv4,103.20.24.0,22,allocated,[133788;BN;UNN-BN Unified National Networks][132395;BN;DST-AS Unified National Networks][131467;BN;EGNC-AS Unified National Networks][10101;BN;SIMPUR-BN UNN-][10094;BN;UNN-BN Unified National Networks][4617;BN;UNN-BN Borneo-IX]
apnic,ipv4,103.42.208.0,22,allocated,[133788;BN;UNN-BN Unified National Networks][132395;BN;DST-AS Unified National Networks][131467;BN;EGNC-AS Unified National Networks][10101;BN;SIMPUR-BN UNN-][10094;BN;UNN-BN Unified National Networks][4617;BN;UNN-BN Borneo-IX]
apnic,ipv4,103.162.82.0,24,allocated,[133788;BN;UNN-BN Unified National Networks][132395;BN;DST-AS Unified National Networks][131467;BN;EGNC-AS Unified National Networks][10101;BN;SIMPUR-BN UNN-][10094;BN;UNN-BN Unified National Networks][4617;BN;UNN-BN Borneo-IX]
apnic,ipv4,103.170.170.0,24,allocated,[55724;MY;BRUHAAS-MY-AS-AP BruhaasM Sdn Bhd][45259;BN;BRUHAAS-BN Bruhaas B Sdn Bhd]
apnic,ipv4,118.103.248.0,21,allocated,[133788;BN;UNN-BN Unified National Networks][132395;BN;DST-AS Unified National Networks][131467;BN;EGNC-AS Unified National Networks][10101;BN;SIMPUR-BN UNN-][10094;BN;UNN-BN Unified National Networks][4617;BN;UNN-BN Borneo-IX]
apnic,ipv4,119.160.128.0,18,allocated,[133788;BN;UNN-BN Unified National Networks][132395;BN;DST-AS Unified National Networks][131467;BN;EGNC-AS Unified National Networks][10101;BN;SIMPUR-BN UNN-][10094;BN;UNN-BN Unified National Networks][4617;BN;UNN-BN Borneo-IX]
apnic,ipv4,156.31.0.0,16,allocated,[38816;NL;QGC-AS-AP Shell Information Technology International B.V.]
apnic,ipv4,158.161.0.0,16,allocated,[133875;BN;BSPC-NON-AS-AP Brunei Shell Petroleum Company Sdn Bhd]
apnic,ipv4,185.8.100.0,22,allocated,[58810;BN;IZUSCOLTD-BN Britannia House 22 2nd Floor Cator Road]
apnic,ipv4,185.100.40.0,22,allocated,[58810;BN;IZUSCOLTD-BN Britannia House 22 2nd Floor Cator Road]
apnic,ipv4,195.128.4.0,22,allocated,[58810;BN;IZUSCOLTD-BN Britannia House 22 2nd Floor Cator Road]
apnic,ipv4,202.86.24.0,21,allocated,*
apnic,ipv4,202.93.208.0,20,allocated,[133788;BN;UNN-BN Unified National Networks][132395;BN;DST-AS Unified National Networks][131467;BN;EGNC-AS Unified National Networks][10101;BN;SIMPUR-BN UNN-][10094;BN;UNN-BN Unified National Networks][4617;BN;UNN-BN Borneo-IX]
