region,version,ip,prefixlength,state,orgsflat
lacnic,ipv4,138.185.208.0,22,allocated,[28104;BQ;Eutel N.V.]
lacnic,ipv4,143.0.32.0,22,allocated,[27694;BQ;Flamingo TV Bonaire N.V.]
lacnic,ipv4,161.0.80.0,20,allocated,[27745;BQ;Telefonia Bonairiano N.V.]
lacnic,ipv4,186.159.96.0,20,allocated,[27745;BQ;Telefonia Bonairiano N.V.]
lacnic,ipv4,190.4.64.0,20,allocated,[27745;BQ;Telefonia Bonairiano N.V.]
lacnic,ipv4,190.97.112.0,21,allocated,[262188;BQ;Satel NV]
lacnic,ipv4,190.107.248.0,21,allocated,[28104;BQ;Eutel N.V.]
lacnic,ipv4,190.123.16.0,22,allocated,[52389;BQ;SSCS BV]
lacnic,ipv4,200.6.144.0,21,allocated,[27745;BQ;Telefonia Bonairiano N.V.]
lacnic,ipv4,200.71.248.0,21,allocated,[27694;BQ;Flamingo TV Bonaire N.V.]
lacnic,ipv4,200.107.84.0,22,allocated,[27694;BQ;Flamingo TV Bonaire N.V.]
lacnic,ipv6,2800:b00::,32,allocated,[262188;BQ;Satel NV]
lacnic,ipv6,2803:1600::,32,allocated,[52389;BQ;SSCS BV]
lacnic,ipv6,2803:4900::,32,allocated,[28104;BQ;Eutel N.V.]
lacnic,ipv6,2803:a000::,32,allocated,[27745;BQ;Telefonia Bonairiano N.V.]
lacnic,ipv6,2803:f640::,32,allocated,[27694;BQ;Flamingo TV Bonaire N.V.]
ripencc,ipv4,193.17.35.0,24,allocated,[212535;BQ;MSBV MSBV B.V.]
ripencc,ipv6,2a10:cdc0::,29,allocated,[212535;BQ;MSBV MSBV B.V.]
