region,version,ip,prefixlength,state,orgsflat
arin,ipv4,23.128.212.0,24,allocated,[401451;BS;KCG-BAHAMAS - Knowles Consulting Group]
arin,ipv4,23.185.48.0,24,allocated,[397914;BS;AS-CBL-152 - Commonwealth Bank Ltd]
arin,ipv4,23.190.112.0,24,allocated,[22357;BS;SECURE-SHORE-ASN - Secure Shores Data Center]
arin,ipv4,24.51.64.0,18,allocated,[15146;BS;CABLEBAHAMAS - Cable Bahamas]
arin,ipv4,24.206.0.0,19,allocated,[15146;BS;CABLEBAHAMAS - Cable Bahamas]
arin,ipv4,24.231.32.0,19,allocated,[15146;BS;CABLEBAHAMAS - Cable Bahamas]
arin,ipv4,24.244.128.0,18,allocated,[15146;BS;CABLEBAHAMAS - Cable Bahamas]
arin,ipv4,64.66.0.0,20,allocated,[26855;BS;IBL-ASN - IndiGO Networks]
arin,ipv4,64.150.192.0,18,allocated,[15146;BS;CABLEBAHAMAS - Cable Bahamas]
arin,ipv4,65.75.64.0,18,allocated,[15146;BS;CABLEBAHAMAS - Cable Bahamas]
arin,ipv4,66.85.2.0,24,allocated,[394601;BS;GNX-ASN - Global Nexus]
arin,ipv4,66.226.160.0,19,allocated,[19128;BS;TTN - TTN Global Operations Limited]
arin,ipv4,69.4.160.0,20,allocated,[26855;BS;IBL-ASN - IndiGO Networks]
arin,ipv4,104.166.32.0,20,allocated,*
arin,ipv4,108.60.224.0,19,allocated,*
arin,ipv4,141.193.84.0,22,allocated,[19377;BS;CLOUD-CARIB-LTD - Cloud Carib Limited]
arin,ipv4,142.248.248.0,23,allocated,[401451;BS;KCG-BAHAMAS - Knowles Consulting Group]
arin,ipv4,161.199.175.0,24,allocated,[398165;BS;JAROL-01 - Chances]
arin,ipv4,165.140.144.0,22,allocated,[22357;BS;SECURE-SHORE-ASN - Secure Shores Data Center]
arin,ipv4,170.117.211.0,24,allocated,[397914;BS;AS-CBL-152 - Commonwealth Bank Ltd]
arin,ipv4,192.231.36.0,24,allocated,[19377;BS;CLOUD-CARIB-LTD - Cloud Carib Limited]
arin,ipv4,204.236.64.0,18,allocated,*
arin,ipv4,208.87.32.0,21,allocated,[18635;BS;SECUREHOST - Secure Hosting Ltd.]
arin,ipv4,209.126.78.0,24,allocated,[26929;BS;COLINA-INSURANCE-LTD - Colina Insurance Limited]
arin,ipv4,216.137.0.0,20,allocated,*
arin,ipv4,216.181.104.0,23,allocated,[397972;BS;CTF-BM-LTD - Baha Mar]
arin,ipv6,2607:300::,32,allocated,[18635;BS;SECUREHOST - Secure Hosting Ltd.]
arin,ipv6,2610:180::,32,allocated,*
arin,ipv6,2602:fc27::,36,allocated,[22357;BS;SECURE-SHORE-ASN - Secure Shores Data Center]
arin,ipv6,2607:fe68::,32,allocated,[26855;BS;IBL-ASN - IndiGO Networks]
arin,ipv6,2620:cf:2000::,48,allocated,[401451;BS;KCG-BAHAMAS - Knowles Consulting Group]
arin,ipv6,2602:80a:5000::,40,allocated,[397914;BS;AS-CBL-152 - Commonwealth Bank Ltd]
