region,version,ip,prefixlength,state,orgsflat
afrinic,ipv4,41.74.48.0,20,allocated,[36963;BW;OBO]
afrinic,ipv4,41.75.0.0,20,allocated,[33781;BW;OPQ]
afrinic,ipv4,41.76.240.0,21,allocated,[328459;BW;VBN-Services]
afrinic,ipv4,41.77.88.0,21,allocated,[36963;BW;OBO]
afrinic,ipv4,41.79.32.0,22,allocated,[327760;BW;ELECTRO-METIC]
afrinic,ipv4,41.79.136.0,22,allocated,[329078;BW;ABARI-FTTH][37395;BW;ABARI]
afrinic,ipv4,41.87.160.0,19,allocated,[37257;BW;BBI]
afrinic,ipv4,41.138.72.0,21,allocated,[36963;BW;OBO]
afrinic,ipv4,41.190.244.0,22,allocated,[36963;BW;OBO]
afrinic,ipv4,41.191.64.0,22,allocated,[37604;BW;Zebranet-AS]
afrinic,ipv4,41.191.216.0,22,allocated,[37678;BW;BOFINET]
afrinic,ipv4,41.216.208.0,21,allocated,[328459;BW;VBN-Services]
afrinic,ipv4,41.223.72.0,22,allocated,[37014;BW;Mascom-Wireless-Botswana]
afrinic,ipv4,41.223.140.0,22,allocated,[36963;BW;OBO]
afrinic,ipv4,41.223.192.0,22,allocated,[328181;BW;GCSat-Botswana]
afrinic,ipv4,83.143.24.0,21,allocated,[328459;BW;VBN-Services]
afrinic,ipv4,102.134.84.0,22,allocated,[328348;BW;FasttrackLearning-AS]
afrinic,ipv4,102.134.160.0,20,allocated,[327776;BW;Stature-PTY-LTD]
afrinic,ipv4,102.141.112.0,21,allocated,[327830;BW;Concerotel-Botswana]
afrinic,ipv4,102.165.128.0,19,allocated,[329078;BW;ABARI-FTTH][37395;BW;ABARI]
afrinic,ipv4,102.207.236.0,22,allocated,[37604;BW;Zebranet-AS]
afrinic,ipv4,102.208.32.0,22,allocated,[329473;BW;Click-Connect]
afrinic,ipv4,102.208.192.0,22,allocated,*
afrinic,ipv4,102.210.158.0,24,allocated,[329381;BW;FIBRE-SOURCING]
afrinic,ipv4,102.210.252.0,24,allocated,[329339;BW;Smartgae]
afrinic,ipv4,102.211.140.0,22,allocated,[329301;BW;BOTSWANA-RESEARCH-AND-EDUCATION-NETWORK-SOCIETY]
afrinic,ipv4,102.214.126.0,24,allocated,[329185;BW;PNPL1-AS]
afrinic,ipv4,102.215.0.0,22,allocated,[37014;BW;Mascom-Wireless-Botswana]
afrinic,ipv4,102.219.75.0,24,allocated,[328996;BW;BPSL1-AS]
afrinic,ipv4,102.222.8.0,22,allocated,[328737;BW;Netway-Proprietary-Limited]
afrinic,ipv4,102.222.48.0,22,allocated,*
afrinic,ipv4,102.222.173.0,24,allocated,[328757;BW;Donya-Digital-AS]
afrinic,ipv4,105.235.240.0,20,allocated,[36963;BW;OBO]
afrinic,ipv4,129.205.192.0,18,allocated,[37678;BW;BOFINET]
afrinic,ipv4,154.0.16.0,21,allocated,[37711;BW;SeaBreeze]
afrinic,ipv4,154.70.144.0,21,allocated,[327716;BW;Microteck-AS]
afrinic,ipv4,154.73.36.0,22,allocated,[327757;BW;ICT-DYNAMIX]
afrinic,ipv4,154.73.84.0,22,allocated,[327776;BW;Stature-PTY-LTD]
afrinic,ipv4,156.38.4.0,22,allocated,[37014;BW;Mascom-Wireless-Botswana]
afrinic,ipv4,156.38.16.0,20,allocated,[328459;BW;VBN-Services]
afrinic,ipv4,168.167.0.0,16,allocated,[14988;BW;BTC-GATE1]
afrinic,ipv4,169.255.80.0,22,allocated,[327830;BW;Concerotel-Botswana]
afrinic,ipv4,196.45.164.0,22,allocated,[33781;BW;OPQ]
afrinic,ipv4,196.61.208.0,21,allocated,[328070;BW;MTN-Business-Solutions-BW-AS]
afrinic,ipv4,197.231.192.0,22,allocated,[37604;BW;Zebranet-AS]
afrinic,ipv6,2c0f:1340::,32,allocated,[329301;BW;BOTSWANA-RESEARCH-AND-EDUCATION-NETWORK-SOCIETY]
afrinic,ipv6,2c0f:1840::,32,allocated,[37604;BW;Zebranet-AS]
afrinic,ipv6,2c0f:4780::,32,allocated,[37014;BW;Mascom-Wireless-Botswana]
afrinic,ipv6,2c0f:e970::,32,allocated,*
afrinic,ipv6,2c0f:e9d8::,32,allocated,[328737;BW;Netway-Proprietary-Limited]
afrinic,ipv6,2c0f:f160::,32,allocated,[327830;BW;Concerotel-Botswana]
afrinic,ipv6,2c0f:f250::,32,allocated,[37257;BW;BBI]
afrinic,ipv6,2c0f:f328::,32,allocated,[328070;BW;MTN-Business-Solutions-BW-AS]
afrinic,ipv6,2c0f:f678::,32,allocated,[327716;BW;Microteck-AS]
afrinic,ipv6,2c0f:f718::,32,allocated,[37678;BW;BOFINET]
afrinic,ipv6,2c0f:f728::,32,allocated,[327757;BW;ICT-DYNAMIX]
afrinic,ipv6,2c0f:f9c0::,32,allocated,[37711;BW;SeaBreeze]
afrinic,ipv6,2c0f:fac8::,32,allocated,[329078;BW;ABARI-FTTH][37395;BW;ABARI]
afrinic,ipv6,2c0f:ff00::,32,allocated,[14988;BW;BTC-GATE1]
afrinic,ipv4,102.219.206.0,24,assigned,[328869;BW;BGL-AS]
afrinic,ipv4,196.49.24.0,24,assigned,[327696;BW;BINX-MGMT-AS][37771;BW;BINX-Peering]
afrinic,ipv4,196.60.4.0,24,assigned,[327696;BW;BINX-MGMT-AS][37771;BW;BINX-Peering]
afrinic,ipv4,196.216.163.0,24,assigned,[37051;BW;govbw-as0]
afrinic,ipv6,2001:43f8:2a0::,48,assigned,[32279;BW;UBW-WAN]
