region,version,ip,prefixlength,state,orgsflat
lacnic,ipv4,45.70.228.0,22,allocated,[265826;BZ;BROADBAND BELIZE LTD]
lacnic,ipv4,45.70.240.0,22,allocated,[265818;BZ;CORAL CABLE VISION LIMITED]
lacnic,ipv4,45.180.120.0,22,allocated,[267932;BZ;CENTRAL INFORMATION TECHNOLOGY OFFICE CITO]
lacnic,ipv4,45.225.42.0,24,allocated,[264794;BZ;BELIZE CLOUD SERVICES LIMITED]
lacnic,ipv4,45.228.156.0,24,allocated,[266691;BZ;BELIZE INTERNET EXCHANGE POINT]
lacnic,ipv4,45.234.88.0,22,allocated,[266762;BZ;SMART COM BELIZE LIMITED]
lacnic,ipv4,131.161.148.0,22,allocated,[28094;BZ;Southern Cable Network]
lacnic,ipv4,131.255.40.0,22,allocated,[266833;BZ;CHANNEL BROARDCASTING CABLE]
lacnic,ipv4,138.97.156.0,22,allocated,[52449;BZ;My Tech]
lacnic,ipv4,138.99.120.0,22,allocated,[264749;BZ;Datasec Holding Ltd]
lacnic,ipv4,138.99.208.0,22,allocated,*
lacnic,ipv4,138.99.216.0,22,allocated,*
lacnic,ipv4,138.185.76.0,22,allocated,[263824;BZ;Central TV and Internet Limited]
lacnic,ipv4,138.204.168.0,22,allocated,*
lacnic,ipv4,160.238.136.0,22,allocated,[265727;BZ;Infinite Wireless & Networking]
lacnic,ipv4,167.249.200.0,22,allocated,[52449;BZ;My Tech]
lacnic,ipv4,168.90.244.0,22,allocated,[264749;BZ;Datasec Holding Ltd]
lacnic,ipv4,168.195.76.0,22,allocated,[52449;BZ;My Tech]
lacnic,ipv4,168.197.208.0,22,allocated,[264779;BZ;Alliance IP Belize Ltd]
lacnic,ipv4,168.227.36.0,22,allocated,*
lacnic,ipv4,170.0.180.0,22,allocated,[10269;BZ;Belize Telemedia Limited]
lacnic,ipv4,170.247.220.0,22,allocated,[52449;BZ;My Tech]
lacnic,ipv4,170.254.16.0,22,allocated,[263824;BZ;Central TV and Internet Limited]
lacnic,ipv4,179.42.192.0,18,allocated,[10269;BZ;Belize Telemedia Limited]
lacnic,ipv4,179.51.252.0,22,allocated,[263187;BZ;Netking Solutions Limited]
lacnic,ipv4,179.60.144.0,21,allocated,*
lacnic,ipv4,179.63.216.0,21,allocated,[264640;BZ;Alternative Networks Ltd]
lacnic,ipv4,181.177.64.0,18,allocated,[52449;BZ;My Tech]
lacnic,ipv4,181.233.124.0,22,allocated,*
lacnic,ipv4,186.2.160.0,20,allocated,[262254;BZ;DDOS-GUARD CORP.]
lacnic,ipv4,186.65.88.0,22,allocated,[262239;BZ;Speednet Communications Limited]
lacnic,ipv4,190.99.80.0,21,allocated,*
lacnic,ipv4,190.102.96.0,22,allocated,[28078;BZ;PrimeTel Services Inc.]
lacnic,ipv4,190.102.112.0,21,allocated,[28078;BZ;PrimeTel Services Inc.]
lacnic,ipv4,190.115.16.0,20,allocated,[262254;BZ;DDOS-GUARD CORP.]
lacnic,ipv4,190.124.40.0,22,allocated,[28078;BZ;PrimeTel Services Inc.]
lacnic,ipv4,190.197.0.0,18,allocated,[10269;BZ;Belize Telemedia Limited]
lacnic,ipv4,190.197.64.0,18,allocated,[10269;BZ;Belize Telemedia Limited]
lacnic,ipv4,190.211.145.0,24,allocated,[262239;BZ;Speednet Communications Limited]
lacnic,ipv4,190.211.146.0,23,allocated,[262239;BZ;Speednet Communications Limited]
lacnic,ipv4,190.211.148.0,24,allocated,[262239;BZ;Speednet Communications Limited]
lacnic,ipv4,191.97.80.0,21,allocated,[264663;BZ;CENTAUR CABLE]
lacnic,ipv4,200.32.192.0,19,allocated,[10269;BZ;Belize Telemedia Limited]
lacnic,ipv4,200.32.224.0,19,allocated,[10269;BZ;Belize Telemedia Limited]
lacnic,ipv4,200.123.208.0,21,allocated,[28094;BZ;Southern Cable Network]
lacnic,ipv6,2803:80::,32,allocated,[61440;BZ;SENTRIGLOBAL LTD]
lacnic,ipv6,2803:b4::,32,allocated,[264749;BZ;Datasec Holding Ltd]
lacnic,ipv6,2800:410::,32,allocated,[10269;BZ;Belize Telemedia Limited]
lacnic,ipv6,2803:160::,32,allocated,[267932;BZ;CENTRAL INFORMATION TECHNOLOGY OFFICE CITO]
lacnic,ipv6,2803:2280::,32,allocated,[264663;BZ;CENTAUR CABLE]
lacnic,ipv6,2803:2840::,32,allocated,*
lacnic,ipv6,2803:3240::,32,allocated,*
lacnic,ipv6,2803:3d00::,32,allocated,[52449;BZ;My Tech]
lacnic,ipv6,2803:44c0::,32,allocated,[264794;BZ;BELIZE CLOUD SERVICES LIMITED]
lacnic,ipv6,2803:5d80::,32,allocated,*
lacnic,ipv6,2803:6480::,32,allocated,[263187;BZ;Netking Solutions Limited]
lacnic,ipv6,2803:7420::,32,allocated,[265826;BZ;BROADBAND BELIZE LTD]
lacnic,ipv6,2803:7900::,32,allocated,[28094;BZ;Southern Cable Network]
lacnic,ipv6,2803:7f20::,32,allocated,[61440;BZ;SENTRIGLOBAL LTD]
lacnic,ipv6,2803:8780::,32,allocated,[266833;BZ;CHANNEL BROARDCASTING CABLE]
lacnic,ipv6,2803:9880::,32,allocated,[264640;BZ;Alternative Networks Ltd]
lacnic,ipv6,2803:9a00::,32,allocated,[262239;BZ;Speednet Communications Limited]
lacnic,ipv6,2803:9a40::,32,allocated,[263824;BZ;Central TV and Internet Limited]
lacnic,ipv6,2803:a420::,32,allocated,[265818;BZ;CORAL CABLE VISION LIMITED]
lacnic,ipv6,2803:a8c0::,32,allocated,[264779;BZ;Alliance IP Belize Ltd]
lacnic,ipv6,2803:b080::,32,allocated,*
lacnic,ipv6,2803:b720::,32,allocated,[266762;BZ;SMART COM BELIZE LIMITED]
lacnic,ipv6,2803:d000::,32,allocated,[28078;BZ;PrimeTel Services Inc.]
lacnic,ipv6,2803:d520::,32,allocated,[266691;BZ;BELIZE INTERNET EXCHANGE POINT]
lacnic,ipv6,2803:d5c0::,32,allocated,[265727;BZ;Infinite Wireless & Networking]
lacnic,ipv6,2803:e510::,32,allocated,*
lacnic,ipv6,2803:f900::,32,allocated,[262254;BZ;DDOS-GUARD CORP.]
ripencc,ipv4,2.56.44.0,22,allocated,[48074;RO;EVERHOST-AS-NETWORK EVERHOST SRL]
ripencc,ipv4,2.59.8.0,22,allocated,[48074;RO;EVERHOST-AS-NETWORK EVERHOST SRL]
ripencc,ipv4,5.253.160.0,22,allocated,[48074;RO;EVERHOST-AS-NETWORK EVERHOST SRL]
ripencc,ipv4,37.49.224.0,21,allocated,[212411;BZ;MYWEB MYWEB LIMITED][212370;IN;PEENQ PEENQ.NL][211238;SC;DCYBER Dedicated Cyber Limited][204966;AD;VEENCH VEENCH SLU][61254;EE;ESTOXY-NL ESTOXY OU]
ripencc,ipv4,45.67.176.0,22,allocated,[48074;RO;EVERHOST-AS-NETWORK EVERHOST SRL]
ripencc,ipv4,45.136.44.0,22,allocated,[210411;GB;greystar GREYSTAR COMMUNICATIONS LTD.][210334;SC;synertech Synertech Network Inc.][208707;US;TopCdn Wentian Sun trading as TOPCDN LLC][199458;RU;rusbuilding LLC Rusbuilding]
ripencc,ipv4,45.143.220.0,22,allocated,[212411;BZ;MYWEB MYWEB LIMITED][212370;IN;PEENQ PEENQ.NL][211238;SC;DCYBER Dedicated Cyber Limited][204966;AD;VEENCH VEENCH SLU][61254;EE;ESTOXY-NL ESTOXY OU]
ripencc,ipv4,45.145.76.0,22,allocated,*
ripencc,ipv4,45.151.24.0,22,allocated,*
ripencc,ipv4,46.102.152.0,24,allocated,[201630;BG;QHOSTER QHOSTER LTD.]
ripencc,ipv4,46.102.252.0,23,allocated,[201630;BG;QHOSTER QHOSTER LTD.]
ripencc,ipv4,46.183.216.0,21,allocated,[203557;BZ;DATACLUB-NL DataClub S.A.][202920;BZ;DATACLUBv2 DataClub S.A.][60567;BZ;DATACLUB-SE DataClub S.A.][52048;BZ;DATACLUB DataClub S.A.]
ripencc,ipv4,77.81.120.0,23,allocated,[200514;GB;KnownSRV KnownSRV Ltd.][60387;BZ;KNOWNHOLDINGS-AS Known Holdings LTD]
ripencc,ipv4,77.247.108.0,22,allocated,[212411;BZ;MYWEB MYWEB LIMITED][212370;IN;PEENQ PEENQ.NL][211238;SC;DCYBER Dedicated Cyber Limited][204966;AD;VEENCH VEENCH SLU][61254;EE;ESTOXY-NL ESTOXY OU]
ripencc,ipv4,82.115.15.0,24,allocated,[200514;GB;KnownSRV KnownSRV Ltd.][60387;BZ;KNOWNHOLDINGS-AS Known Holdings LTD]
ripencc,ipv4,83.150.236.0,22,allocated,[48074;RO;EVERHOST-AS-NETWORK EVERHOST SRL]
