region,version,ip,prefixlength,state,orgsflat
afrinic,ipv6,2001:42c8::,32,allocated,*
apnic,ipv4,103.21.220.0,23,allocated,*
apnic,ipv4,103.75.116.0,22,allocated,[136258;CA;ONEPROVIDER-AS BrainStorm Network  Inc]
apnic,ipv4,103.79.120.0,22,allocated,[135899;CA;EHCL-AS-AP ELEGANT HOME COOP LTD.]
apnic,ipv4,103.97.203.0,24,allocated,[136258;CA;ONEPROVIDER-AS BrainStorm Network  Inc]
apnic,ipv4,103.106.228.0,22,allocated,[136258;CA;ONEPROVIDER-AS BrainStorm Network  Inc]
apnic,ipv4,103.144.176.0,23,allocated,[139912;CA;GIGIX_ROUTE_SERVERS GigIX is a non-profit initiative to create low-cost Internet Exchange points around the world.][139686;NZ;FRCHI-AS-AP Free Range Cloud Hosting Inc]
apnic,ipv4,103.151.126.0,23,allocated,*
apnic,ipv4,202.91.36.0,22,allocated,[135899;CA;EHCL-AS-AP ELEGANT HOME COOP LTD.]
apnic,ipv4,202.183.64.0,20,allocated,[140911;IN;TCL-AS-IN Tata Communications Ltd.][139309;CA;TCL-AS-AP Tata Communications CANADA Ltd.]
apnic,ipv4,203.9.40.0,21,allocated,[137945;CA;AS-NCHU-AP NUTRIEN CANADA HOLDINGS ULC APAC AS]
apnic,ipv6,2400:b820::,32,allocated,*
apnic,ipv6,2402:5cc0::,32,allocated,*
apnic,ipv6,2403:20c0::,32,allocated,[137945;CA;AS-NCHU-AP NUTRIEN CANADA HOLDINGS ULC APAC AS]
apnic,ipv6,2407:4b80::,32,allocated,[136258;CA;ONEPROVIDER-AS BrainStorm Network  Inc]
arin,ipv4,15.235.0.0,16,allocated,*
arin,ipv4,23.16.0.0,15,allocated,[393217;CA;ASN4-TELUS][54867;CA;SEAVIEW][54759;CA;TELUS-RAFTVIEW][54719;CA;TACE-MCC1320][54359;CA;NETAGO][19190;CA;FASTWIRE-COM][14663;CA;TELUS-3][8013;CA;TELUS-AS-8013][7861;CA;TELUS-7861][7445;CA;TELUS-AS-7445][5765;CA;TELUS-AS-5765][1691;CA;TELUS][852;CA;TELUS Communications]
arin,ipv4,23.29.192.0,19,allocated,[393445;CA;SWIFT-HIGHSPEED][62593;CA;SILO WIRELESS INC][54194;CA;COMMUNITY-NETWORKS-INC][40473;CA;AS-PLATINUM-COMMUNICATIONS][36505;CA;BARR-XPLR-EVRST-ASN][32584;CA;I-NETLINK][31760;CA;F6-EN][30028;CA;MBNETSET][29945;CA;BARRE-2-29945][22995;CA;BARR-XPLR-ASN][22457;CA;CCI][22105;CA;WIBAND-PS-ASN][19792;CA;YOURL-AS][15127;CA;CHATHAM-INTERNET-ACCESS][15102;CA;ASN-WIBAND-1][11991;CA;ASN-WIBAND-2][3397;CA;DAVINCI][3367;CA;F6NET]
arin,ipv4,23.83.208.0,20,allocated,*
arin,ipv4,23.83.224.0,19,allocated,[398288;CA;CL-IPTRANSIT]
arin,ipv4,23.91.80.0,20,allocated,[27168;CA;AS-MAX][7992;CA;COGECOWAVE]
arin,ipv4,23.91.128.0,19,allocated,[20375;CA;TEKSAVVY-WEST][5645;CA;TEKSAVVY]
arin,ipv4,23.91.160.0,19,allocated,[398069;CA;FIBERNETICS-01][36493;CA;295CA-TOR-ASN][26546;CA;NUCLEUS-INC][22404;CA;NUCLEUS-INC-2][13773;CA;TELNETCOMM][7271;CA;LOOKAS][3812;CA;LTVIAS]
arin,ipv4,23.91.224.0,19,allocated,[32580;CA;AS-YAK][21936;CA;DISTRIBUTEL-AS21936][21677;CA;DISTRIBUTEL][14595;CA;DISTRIBUTEL-AS14595][11814;CA;DISTRIBUTEL-AS11814][11175;CA;DISTRIBUTEL-AS11175][10687;CA;DISTRIBUTEL-AS10687][6241;CA;DISTRIBUTEL-AS6241]
arin,ipv4,23.92.128.0,20,allocated,*
arin,ipv4,23.92.144.0,20,allocated,[63159;CA;LINKNET-TELECOMMUNICATIONS-INC]
arin,ipv4,23.94.0.0,15,allocated,[394738;CA;DENETRON][40561;CA;MANAGEDCOM-US1][40092;CA;ONIAAS][36352;CA;AS-COLOCROSSING][32241;CA;ACPANA][23273;CA;HOSTP-LA][19549;CA;SERVERSILO][18650;CA;KORAX][15244;CA;ADD2NET-INC]
arin,ipv4,23.105.192.0,19,allocated,[400981;CA;IT7-IX][25820;CA;IT7NET]
arin,ipv4,23.106.128.0,19,allocated,[400981;CA;IT7-IX][25820;CA;IT7NET]
arin,ipv4,23.111.64.0,20,allocated,[54643;CA;IDIGITAL]
arin,ipv4,23.128.0.0,24,allocated,[393457;CA;HCETELECOM]
arin,ipv4,23.128.80.0,24,allocated,[397372;CA;SPRINGTEL]
arin,ipv4,23.128.82.0,24,allocated,[400170;CA;LITS-AS-1]
arin,ipv4,23.128.160.0,24,allocated,[397181;CA;STACKHARBOR]
arin,ipv4,23.128.184.0,24,allocated,[400200;CA;TOWN-NEWGLASGOW-NS-]
arin,ipv4,23.128.200.0,24,allocated,[399063;CA;RURALNET]
arin,ipv4,23.128.224.0,24,allocated,[11635;CA;AS-ENVI-1]
arin,ipv4,23.128.232.0,24,allocated,[400202;CA;MUNICIPALITY-PICTOUCOUNTY-NS-]
arin,ipv4,23.129.16.0,24,allocated,[46525;CA;RURALWAVE-LTD]
arin,ipv4,23.129.32.0,24,allocated,[53356;CA;FREE RANGE CLOUD]
arin,ipv4,23.129.232.0,24,allocated,*
arin,ipv4,23.130.32.0,24,allocated,*
arin,ipv4,23.130.136.0,24,allocated,*
arin,ipv4,23.130.137.0,24,allocated,*
arin,ipv4,23.130.138.0,24,allocated,*
arin,ipv4,23.130.139.0,24,allocated,*
arin,ipv4,23.130.248.0,24,allocated,[21703;CA;JEFO]
arin,ipv4,23.131.16.0,24,allocated,[32864;CA;CINC-NET-01]
