region,version,ip,prefixlength,state,orgsflat
lacnic,ipv4,24.152.56.0,24,allocated,[269991;CO;STRATEGIC TECHNOLOGICAL DE COLOMBIA SAS STRATECSA]
lacnic,ipv4,24.152.58.0,23,allocated,[270003;CO;CALLTOPBX S.A.S. VIVERCOM]
lacnic,ipv4,45.7.132.0,22,allocated,*
lacnic,ipv4,45.65.136.0,22,allocated,[273001;CO;TELECOMUNICACIONES DEL CATATUMBO S.A.S]
lacnic,ipv4,45.65.232.0,22,allocated,[269822;CO;COLOMBIA MAS TV S.A.S]
lacnic,ipv4,45.70.168.0,22,allocated,[265833;CO;COMUNICACIONES WIFI COLOMBIA S.A.S]
lacnic,ipv4,45.71.180.0,22,allocated,[272093;CO;C & C VISION S.A.S]
lacnic,ipv4,45.162.76.0,22,allocated,[267678;CO;AYA RADIOCOMUNICACIONES SAS]
lacnic,ipv4,45.162.82.0,23,allocated,[267682;CO;WIFAO COLOMBIA S A S]
lacnic,ipv4,45.162.84.0,24,allocated,[267682;CO;WIFAO COLOMBIA S A S]
lacnic,ipv4,45.162.126.0,24,allocated,[267691;CO;ENTER TELECOMUNICACIONES BANDA ANCHA SAS]
lacnic,ipv4,45.163.28.0,23,allocated,[267841;CO;GIGAS HOSTING COLOMBIA S.A.S.]
lacnic,ipv4,45.163.30.0,24,allocated,[267841;CO;GIGAS HOSTING COLOMBIA S.A.S.]
lacnic,ipv4,45.167.124.0,23,allocated,[269804;CO;SEPCOM COMUNICACIONES SAS]
lacnic,ipv4,45.167.126.0,24,allocated,[269804;CO;SEPCOM COMUNICACIONES SAS]
lacnic,ipv4,45.167.248.0,22,allocated,[272929;CO;SINURED SOLUCIONES SAS]
lacnic,ipv4,45.169.98.0,23,allocated,[267790;CO;NET ISP S.A.S]
lacnic,ipv4,45.169.253.0,24,allocated,*
lacnic,ipv4,45.170.124.0,22,allocated,[267755;CO;ASESORIAS Y SERVICIOS EN TECNOLOGIAS DE LA INFORMACION Y COMUNICACIONES S.A.S]
lacnic,ipv4,45.170.132.0,22,allocated,*
lacnic,ipv4,45.170.240.0,22,allocated,[267769;CO;TV CABLE VILLANUEVA S.A.STVIDIGITAL]
lacnic,ipv4,45.171.118.0,24,allocated,*
lacnic,ipv4,45.171.180.0,22,allocated,[267777;CO;FUTURE SOLUTIONS DEVELOPMENT SAS]
lacnic,ipv4,45.172.178.0,23,allocated,[267810;CO;INTERMEGAMUNDO PARTNERS S.A.S.]
lacnic,ipv4,45.172.184.0,22,allocated,[267796;CO;BETEL SOLUCIONES S.A.S]
lacnic,ipv4,45.172.218.0,24,allocated,[267810;CO;INTERMEGAMUNDO PARTNERS S.A.S.]
lacnic,ipv4,45.172.222.0,23,allocated,[267823;CO;ATENEA TELECOMUNICACIONES S.A.S]
lacnic,ipv4,45.173.4.0,22,allocated,*
lacnic,ipv4,45.173.8.0,22,allocated,[272995;CO;M&M INVERSIONES MORENO SAS]
lacnic,ipv4,45.173.12.0,24,allocated,[267823;CO;ATENEA TELECOMUNICACIONES S.A.S]
lacnic,ipv4,45.173.14.0,23,allocated,[267799;CO;TV ISLA LTDA]
lacnic,ipv4,45.173.44.0,24,allocated,[267799;CO;TV ISLA LTDA]
lacnic,ipv4,45.173.68.0,22,allocated,[267807;CO;PSI TELECOMUNICACIONES DE COLOMBIA LTDA]
lacnic,ipv4,45.174.224.0,23,allocated,[267842;CO;REDCON REDES Y CONEXIONES S.A.S.]
lacnic,ipv4,45.175.20.0,24,allocated,[267832;CO;VELONET SAS]
lacnic,ipv4,45.175.139.0,24,allocated,[267834;CO;SERVYCOM COLOMBIA S.A.S]
lacnic,ipv4,45.176.70.0,23,allocated,[269836;CO;TERABYTE COMUNICACIONES S.A.S]
lacnic,ipv4,45.176.193.0,24,allocated,[269836;CO;TERABYTE COMUNICACIONES S.A.S]
lacnic,ipv4,45.176.232.0,22,allocated,[267869;CO;CABLE Y TELECOMUNICACIONES DE COLOMBIA S.A.S CABLETELCO]
lacnic,ipv4,45.177.52.0,23,allocated,[267880;CO;MEGARED TELECOMUNICACIONES S.A.S]
lacnic,ipv4,45.177.54.0,24,allocated,[267880;CO;MEGARED TELECOMUNICACIONES S.A.S]
lacnic,ipv4,45.177.108.0,22,allocated,*
lacnic,ipv4,45.178.4.0,22,allocated,[64122;CO;SWISS GLOBAL SERVICES S.A.S]
lacnic,ipv4,45.178.12.0,22,allocated,[267890;CO;WALIX S.A.S.]
lacnic,ipv4,45.179.160.0,22,allocated,[269743;CO;UNIMOS EMPRESA MUNICIPAL DE TELECOMUNICACIONES DE IPIALES S.A. E.S.P.]
lacnic,ipv4,45.179.200.0,22,allocated,[267919;CO;NET&COM LTDA.]
lacnic,ipv4,45.179.244.0,22,allocated,[267929;CO;GENIONET TELECOMUNICACIONES S.A.S]
lacnic,ipv4,45.180.22.0,23,allocated,[269742;CO;AVIDTEL E.U.]
lacnic,ipv4,45.180.44.0,24,allocated,[269742;CO;AVIDTEL E.U.]
lacnic,ipv4,45.180.82.0,23,allocated,*
lacnic,ipv4,45.180.112.0,24,allocated,*
lacnic,ipv4,45.181.156.0,22,allocated,[269755;CO;ODATA COLOMBIA SAS]
lacnic,ipv4,45.181.188.0,22,allocated,[269735;CO;KALU DE COLOMBIA SAS]
lacnic,ipv4,45.181.204.0,23,allocated,[269746;CO;Tierranet S.A.S.]
