region,version,ip,prefixlength,state,orgsflat
arin,ipv4,23.186.240.0,24,allocated,[399915;DM;EPIC-ASN-01]
arin,ipv4,66.118.36.0,22,allocated,[399915;DM;EPIC-ASN-01]
arin,ipv4,69.12.108.0,22,allocated,[40945;DM;SATTEL]
arin,ipv4,104.153.248.0,22,allocated,[40945;DM;SATTEL]
arin,ipv4,104.245.204.0,22,allocated,[40945;DM;SATTEL]
arin,ipv4,162.213.168.0,22,allocated,[40945;DM;SATTEL]
arin,ipv4,162.253.100.0,22,allocated,[46936;DM;MARPIN2K4]
arin,ipv4,192.243.48.0,20,allocated,*
arin,ipv4,198.101.28.0,22,allocated,[46936;DM;MARPIN2K4]
arin,ipv4,199.127.196.0,22,allocated,[40945;DM;SATTEL]
arin,ipv4,206.53.141.0,24,allocated,[40546;DM;DANIX]
arin,ipv6,2602:fc3a::,36,allocated,[399915;DM;EPIC-ASN-01]
arin,ipv6,2604:8c80::,32,allocated,[46936;DM;MARPIN2K4]
arin,ipv6,2605:d880::,32,allocated,[40945;DM;SATTEL]
arin,ipv6,2001:504:63::,48,allocated,[40546;DM;DANIX]
ripencc,ipv4,45.9.148.0,22,allocated,[49447;DM;NICEIT Nice IT Services Group Inc.]
ripencc,ipv6,2a0e:fa00::,29,allocated,[49447;DM;NICEIT Nice IT Services Group Inc.]
ripencc,ipv4,193.169.160.0,23,assigned,*
ripencc,ipv6,2001:678:a50::,48,assigned,*
