region,version,ip,prefixlength,state,orgsflat
afrinic,ipv4,41.96.0.0,12,allocated,[327712;DZ;ATM][36947;DZ;ALGTEL-AS][33774;DZ;DJAWEB]
afrinic,ipv4,41.200.0.0,15,allocated,[327712;DZ;ATM][36947;DZ;ALGTEL-AS][33774;DZ;DJAWEB]
afrinic,ipv4,41.220.144.0,20,allocated,[327931;DZ;Optimum-Telecom-Algeria]
afrinic,ipv4,41.221.16.0,20,allocated,[327712;DZ;ATM][36947;DZ;ALGTEL-AS][33774;DZ;DJAWEB]
afrinic,ipv4,41.223.236.0,22,allocated,*
afrinic,ipv4,80.88.12.0,22,allocated,[33779;DZ;wataniya-telecom-as]
afrinic,ipv4,80.246.0.0,20,allocated,[21391;DZ;TDA-AS]
afrinic,ipv4,80.249.64.0,20,allocated,[327712;DZ;ATM][36947;DZ;ALGTEL-AS][33774;DZ;DJAWEB]
afrinic,ipv4,102.207.216.0,22,allocated,
afrinic,ipv4,102.213.56.0,22,allocated,[33779;DZ;wataniya-telecom-as]
afrinic,ipv4,102.218.188.0,22,allocated,[328921;DZ;JHTA-AS]
afrinic,ipv4,102.220.28.0,22,allocated,*
afrinic,ipv4,105.96.0.0,12,allocated,[327712;DZ;ATM][36947;DZ;ALGTEL-AS][33774;DZ;DJAWEB]
afrinic,ipv4,105.235.128.0,20,allocated,[33779;DZ;wataniya-telecom-as]
afrinic,ipv4,129.45.0.0,17,allocated,[327931;DZ;Optimum-Telecom-Algeria]
afrinic,ipv4,154.73.92.0,22,allocated,[327877;DZ;EBS]
afrinic,ipv4,154.121.0.0,16,allocated,*
afrinic,ipv4,154.240.0.0,12,allocated,[327712;DZ;ATM][36947;DZ;ALGTEL-AS][33774;DZ;DJAWEB]
afrinic,ipv4,168.253.96.0,20,allocated,[33779;DZ;wataniya-telecom-as]
afrinic,ipv4,193.194.64.0,19,allocated,[3208;DZ;ARN]
afrinic,ipv4,196.20.64.0,18,allocated,[327712;DZ;ATM][36947;DZ;ALGTEL-AS][33774;DZ;DJAWEB]
afrinic,ipv4,196.29.40.0,22,allocated,[327931;DZ;Optimum-Telecom-Algeria]
afrinic,ipv4,196.41.224.0,19,allocated,[36891;DZ;ICOSNET-AS]
afrinic,ipv4,197.112.0.0,13,allocated,[327712;DZ;ATM][36947;DZ;ALGTEL-AS][33774;DZ;DJAWEB]
afrinic,ipv4,197.140.0.0,14,allocated,[36891;DZ;ICOSNET-AS]
afrinic,ipv4,197.200.0.0,13,allocated,[327712;DZ;ATM][36947;DZ;ALGTEL-AS][33774;DZ;DJAWEB]
afrinic,ipv4,213.179.160.0,19,allocated,[3208;DZ;ARN]
afrinic,ipv6,2001:4340::,32,allocated,[3208;DZ;ARN]
afrinic,ipv6,2c0f:e8b0::,32,allocated,*
afrinic,ipv6,2c0f:ea88::,32,allocated,[327931;DZ;Optimum-Telecom-Algeria]
afrinic,ipv6,2c0f:f000::,32,allocated,[36891;DZ;ICOSNET-AS]
afrinic,ipv6,2c0f:f858::,32,allocated,[327712;DZ;ATM][36947;DZ;ALGTEL-AS][33774;DZ;DJAWEB]
afrinic,ipv6,2c0f:f940::,32,allocated,[33779;DZ;wataniya-telecom-as]
afrinic,ipv4,192.52.232.0,24,assigned,[16214;DZ;CERIST]
afrinic,ipv4,192.245.148.0,24,assigned,[16214;DZ;CERIST]
afrinic,ipv4,193.41.146.0,23,assigned,*
afrinic,ipv4,195.24.80.0,21,assigned,*
afrinic,ipv4,195.39.218.0,23,assigned,*
