region,version,ip,prefixlength,state,orgsflat
lacnic,ipv4,27.50.12.0,22,allocated,[264825;EC;TELEALFACOM S.A.S.]
lacnic,ipv4,45.4.88.0,22,allocated,*
lacnic,ipv4,45.4.200.0,22,allocated,[265677;EC;GEDATECU SA.]
lacnic,ipv4,45.6.224.0,22,allocated,[265724;EC;Teneda Corporacion CIA. LTDA]
lacnic,ipv4,45.70.12.0,22,allocated,[271933;EC;AIRMAXTELECOM SOLUCIONES TECNOLOGICAS S.A.]
lacnic,ipv4,45.70.56.0,22,allocated,[271911;EC;Gavilanes Parreno Irene Del Rocio]
lacnic,ipv4,45.70.196.0,22,allocated,*
lacnic,ipv4,45.70.200.0,23,allocated,*
lacnic,ipv4,45.70.202.0,23,allocated,*
lacnic,ipv4,45.70.236.0,22,allocated,*
lacnic,ipv4,45.71.0.0,22,allocated,[266672;EC;SYSNOVELLTEL S.A]
lacnic,ipv4,45.71.36.0,22,allocated,*
lacnic,ipv4,45.71.112.0,22,allocated,*
lacnic,ipv4,45.71.184.0,22,allocated,*
lacnic,ipv4,45.71.200.0,22,allocated,*
lacnic,ipv4,45.71.252.0,22,allocated,[272121;EC;MONTANO VELEZ MARIA TERESA VISIONNET]
lacnic,ipv4,45.161.32.0,22,allocated,[266894;EC;LOJASYSTEM C.A.]
lacnic,ipv4,45.162.72.0,22,allocated,[266904;EC;ALCIVAR ESPIN DANNY ALEXANDER OptiCom]
lacnic,ipv4,45.163.204.0,22,allocated,[267684;EC;VISIONMAGICA SOCIEDAD ANONIMA]
lacnic,ipv4,45.164.64.0,22,allocated,[267699;EC;CUBOTELECOM CIA. LTDA.]
lacnic,ipv4,45.169.144.0,22,allocated,*
lacnic,ipv4,45.170.44.0,22,allocated,[267756;EC;TRANSCORPORACION S.A.]
lacnic,ipv4,45.171.108.0,22,allocated,[267778;EC;LAGONET-TV CIA. LTDA.]
lacnic,ipv4,45.171.120.0,23,allocated,[269853;EC;CBVISION S.A.]
lacnic,ipv4,45.171.160.0,22,allocated,[267787;EC;MENDOZA MENDOZA CARLOS ALFREDOTECGLO TECNOLOGIA GLOBAL]
lacnic,ipv4,45.173.112.0,22,allocated,[264826;EC;POWERNET SD CIA. LTDA.]
lacnic,ipv4,45.173.228.0,22,allocated,*
lacnic,ipv4,45.175.164.0,22,allocated,[267849;EC;RECOMDATA CIA.LTDA.]
lacnic,ipv4,45.177.124.0,22,allocated,[267881;EC;SAOREDES CIA. LTDA. SAOHOSTING]
lacnic,ipv4,45.178.36.0,22,allocated,*
lacnic,ipv4,45.179.140.0,22,allocated,[267916;EC;AGUILAR AGUILAR ASOCIADOS Y COMPANIA]
