region,version,ip,prefixlength,state,orgsflat
ripencc,ipv4,80.73.208.0,21,allocated,[204649;FK;FALK Sure South Atlantic Limited]
ripencc,ipv4,80.73.216.0,23,allocated,[204649;FK;FALK Sure South Atlantic Limited]
ripencc,ipv4,80.73.218.0,24,allocated,[204649;FK;FALK Sure South Atlantic Limited]
ripencc,ipv4,80.73.219.0,24,allocated,[210841;FK;sure-sthelena Sure South Atlantic Limited]
ripencc,ipv4,80.73.220.0,22,allocated,[210841;FK;sure-sthelena Sure South Atlantic Limited]
ripencc,ipv4,91.232.129.0,24,allocated,[210841;FK;sure-sthelena Sure South Atlantic Limited]
ripencc,ipv4,91.232.198.0,24,allocated,[210841;FK;sure-sthelena Sure South Atlantic Limited]
ripencc,ipv4,91.232.208.0,24,allocated,[210841;FK;sure-sthelena Sure South Atlantic Limited]
ripencc,ipv4,91.232.235.0,24,allocated,[210841;FK;sure-sthelena Sure South Atlantic Limited]
ripencc,ipv4,185.87.144.0,22,allocated,[210841;FK;sure-sthelena Sure South Atlantic Limited]
ripencc,ipv4,185.244.12.0,22,allocated,[204649;FK;FALK Sure South Atlantic Limited]
