region,version,ip,prefixlength,state,orgsflat
ripencc,ipv4,46.227.112.0,21,allocated,[20963;FO;NEMAFaroe P/F 20.11.19]
ripencc,ipv4,80.77.128.0,20,allocated,[20963;FO;NEMAFaroe P/F 20.11.19]
ripencc,ipv4,81.18.224.0,20,allocated,[210417;FO;NET2 P/F FT Net][200664;FO;PF-FTNET P/F FT Net][15389;FO;Faroese-Telecom-AS P/F Telefonverkid]
ripencc,ipv4,81.25.176.0,20,allocated,[20963;FO;NEMAFaroe P/F 20.11.19]
ripencc,ipv4,88.85.32.0,19,allocated,[210417;FO;NET2 P/F FT Net][200664;FO;PF-FTNET P/F FT Net][15389;FO;Faroese-Telecom-AS P/F Telefonverkid]
ripencc,ipv4,178.19.192.0,20,allocated,[210417;FO;NET2 P/F FT Net][200664;FO;PF-FTNET P/F FT Net][15389;FO;Faroese-Telecom-AS P/F Telefonverkid]
ripencc,ipv4,185.74.208.0,22,allocated,[210417;FO;NET2 P/F FT Net][200664;FO;PF-FTNET P/F FT Net][15389;FO;Faroese-Telecom-AS P/F Telefonverkid]
ripencc,ipv4,185.88.228.0,22,allocated,[20963;FO;NEMAFaroe P/F 20.11.19]
ripencc,ipv4,185.171.172.0,22,allocated,[206928;FO;pf-elektron P/F Elektron]
ripencc,ipv4,193.34.104.0,22,allocated,[210417;FO;NET2 P/F FT Net][200664;FO;PF-FTNET P/F FT Net][15389;FO;Faroese-Telecom-AS P/F Telefonverkid]
ripencc,ipv4,195.80.36.0,22,allocated,[209175;FO;Kringvarp_Foroya Kringvarp Foroya]
ripencc,ipv4,212.55.32.0,19,allocated,[210417;FO;NET2 P/F FT Net][200664;FO;PF-FTNET P/F FT Net][15389;FO;Faroese-Telecom-AS P/F Telefonverkid]
ripencc,ipv4,217.172.80.0,20,allocated,[210417;FO;NET2 P/F FT Net][200664;FO;PF-FTNET P/F FT Net][15389;FO;Faroese-Telecom-AS P/F Telefonverkid]
ripencc,ipv6,2a02:e90::,29,allocated,[210417;FO;NET2 P/F FT Net][200664;FO;PF-FTNET P/F FT Net][15389;FO;Faroese-Telecom-AS P/F Telefonverkid]
ripencc,ipv6,2a03:ee00::,32,allocated,[20963;FO;NEMAFaroe P/F 20.11.19]
ripencc,ipv6,2a0a:d500::,29,allocated,[206928;FO;pf-elektron P/F Elektron]
ripencc,ipv6,2a0f:38c0::,29,allocated,[209175;FO;Kringvarp_Foroya Kringvarp Foroya]
ripencc,ipv4,198.137.136.0,22,assigned,[210417;FO;NET2 P/F FT Net][200664;FO;PF-FTNET P/F FT Net][15389;FO;Faroese-Telecom-AS P/F Telefonverkid]
