region,version,ip,prefixlength,state,orgsflat
lacnic,ipv4,45.169.164.0,22,allocated,[272128;GF;DIGICEL ANTILLES FRANCAISES GUYANE]
lacnic,ipv4,128.201.88.0,22,allocated,[265745;GF;SOCIETE PUBLIC LOCALE POUR LAMENAGEMENT NUMERIQUE DE LA GUYANE]
lacnic,ipv4,161.22.64.0,18,allocated,*
lacnic,ipv4,170.233.72.0,22,allocated,[264728;GF;DAUPHIN TELECOM GUYANE]
lacnic,ipv4,186.2.244.0,22,allocated,[263175;GF;GUYACOM]
lacnic,ipv4,200.13.136.0,21,allocated,[27806;GF;WAYSCOM]
lacnic,ipv6,2803:3a0::,32,allocated,[272128;GF;DIGICEL ANTILLES FRANCAISES GUYANE]
lacnic,ipv6,2803:1680::,32,allocated,*
lacnic,ipv6,2803:1740::,32,allocated,[264728;GF;DAUPHIN TELECOM GUYANE]
lacnic,ipv6,2803:53c0::,32,allocated,[265745;GF;SOCIETE PUBLIC LOCALE POUR LAMENAGEMENT NUMERIQUE DE LA GUYANE]
lacnic,ipv6,2803:5900::,32,allocated,[263175;GF;GUYACOM]
lacnic,ipv6,2803:c700::,32,allocated,[27806;GF;WAYSCOM]
