region,version,ip,prefixlength,state,orgsflat
apnic,ipv4,45.130.164.0,22,allocated,*
apnic,ipv4,45.151.152.0,22,allocated,*
apnic,ipv4,103.6.168.0,22,allocated,*
apnic,ipv4,103.102.44.0,22,allocated,*
apnic,ipv6,2401:df40::,32,allocated,*
ripencc,ipv4,2.58.8.0,22,allocated,[209924;IE;MLBLTD-AS MLB Limited][208081;IT;BWIN-ITALIA-AS BWIN ITALIA S.R.L.][205772;GI;DIGIBET-AS Entain Corporate Services Limited][47448;GI;PRTY-AS Entain Corporate Services Limited][44129;BG;GBServices-AS GVC Services (Bulgaria) EOOD]
ripencc,ipv4,5.150.152.0,22,allocated,*
ripencc,ipv4,31.222.48.0,20,allocated,[209924;IE;MLBLTD-AS MLB Limited][208081;IT;BWIN-ITALIA-AS BWIN ITALIA S.R.L.][205772;GI;DIGIBET-AS Entain Corporate Services Limited][47448;GI;PRTY-AS Entain Corporate Services Limited][44129;BG;GBServices-AS GVC Services (Bulgaria) EOOD]
ripencc,ipv4,45.88.36.0,22,allocated,[212734;GI;QUADCODE QUAD CODE (GB) LTD][203976;GI;AS_QUADCODE_2 QUAD CODE (GB) LTD]
ripencc,ipv4,45.89.212.0,22,allocated,[202087;GI;AJSEGIB-AS GIBFIBRE LTD]
ripencc,ipv4,45.94.8.0,22,allocated,[202087;GI;AJSEGIB-AS GIBFIBRE LTD]
ripencc,ipv4,62.192.155.0,24,allocated,[212734;GI;QUADCODE QUAD CODE (GB) LTD][203976;GI;AS_QUADCODE_2 QUAD CODE (GB) LTD]
ripencc,ipv4,62.205.128.0,19,allocated,[12792;GI;CINET-AS Netassist Limited]
ripencc,ipv4,80.92.200.0,22,allocated,[212734;GI;QUADCODE QUAD CODE (GB) LTD][203976;GI;AS_QUADCODE_2 QUAD CODE (GB) LTD]
ripencc,ipv4,85.115.128.0,19,allocated,[34803;GI;BGL Broadband Gibraltar Limited]
ripencc,ipv4,85.159.120.0,21,allocated,[34810;GI;MANSION-AS Mansion (Gibraltar) Limited]
ripencc,ipv4,85.208.60.0,22,allocated,*
ripencc,ipv4,91.109.248.0,21,allocated,*
ripencc,ipv4,91.198.133.0,24,allocated,[12792;GI;CINET-AS Netassist Limited]
ripencc,ipv4,92.249.5.0,24,allocated,*
ripencc,ipv4,93.191.192.0,21,allocated,[209924;IE;MLBLTD-AS MLB Limited][208081;IT;BWIN-ITALIA-AS BWIN ITALIA S.R.L.][205772;GI;DIGIBET-AS Entain Corporate Services Limited][47448;GI;PRTY-AS Entain Corporate Services Limited][44129;BG;GBServices-AS GVC Services (Bulgaria) EOOD]
ripencc,ipv4,94.26.93.0,24,allocated,[202087;GI;AJSEGIB-AS GIBFIBRE LTD]
ripencc,ipv4,94.26.95.0,24,allocated,[202087;GI;AJSEGIB-AS GIBFIBRE LTD]
ripencc,ipv4,94.26.97.0,24,allocated,[202087;GI;AJSEGIB-AS GIBFIBRE LTD]
ripencc,ipv4,94.26.98.0,23,allocated,[202087;GI;AJSEGIB-AS GIBFIBRE LTD]
ripencc,ipv4,94.26.101.0,24,allocated,[202087;GI;AJSEGIB-AS GIBFIBRE LTD]
ripencc,ipv4,94.26.103.0,24,allocated,[202087;GI;AJSEGIB-AS GIBFIBRE LTD]
ripencc,ipv4,94.26.109.0,24,allocated,[202087;GI;AJSEGIB-AS GIBFIBRE LTD]
ripencc,ipv4,94.131.0.0,17,allocated,[12792;GI;CINET-AS Netassist Limited]
ripencc,ipv4,94.131.128.0,18,allocated,[12792;GI;CINET-AS Netassist Limited]
ripencc,ipv4,94.131.224.0,20,allocated,[12792;GI;CINET-AS Netassist Limited]
ripencc,ipv4,94.190.196.0,22,allocated,[202087;GI;AJSEGIB-AS GIBFIBRE LTD]
ripencc,ipv4,95.131.184.0,21,allocated,[49061;GI;WHGINTLTD WHG (International) Limited]
ripencc,ipv4,95.164.0.0,16,allocated,[12792;GI;CINET-AS Netassist Limited]
