region,version,ip,prefixlength,state,orgsflat
arin,ipv4,104.250.0.0,19,allocated,*
arin,ipv4,107.191.208.0,20,allocated,*
arin,ipv4,199.91.160.0,22,allocated,[401198;GP;GWADIX][17149;GP;GCN-AS]
arin,ipv4,207.90.254.0,23,allocated,[63351;GP;ASN-SCF-45]
arin,ipv4,208.72.228.0,22,allocated,[401198;GP;GWADIX][17149;GP;GCN-AS]
arin,ipv4,208.79.96.0,22,allocated,[401198;GP;GWADIX][17149;GP;GCN-AS]
arin,ipv4,208.94.168.0,22,allocated,[401198;GP;GWADIX][17149;GP;GCN-AS]
arin,ipv6,2602:faf8::,40,allocated,[29837;GP;SAINT-BARTH-TELECOM]
arin,ipv6,2604:1800::,32,allocated,[401198;GP;GWADIX][17149;GP;GCN-AS]
arin,ipv6,2605:adc0::,32,allocated,*
arin,ipv6,2606:3180::,32,allocated,[63351;GP;ASN-SCF-45]
ripencc,ipv4,5.187.96.0,19,allocated,[21351;GP;CANALPLUSTELECOM Canal + Telecom SAS]
ripencc,ipv4,46.238.128.0,18,allocated,[21351;GP;CANALPLUSTELECOM Canal + Telecom SAS]
ripencc,ipv4,93.121.128.0,17,allocated,[21351;GP;CANALPLUSTELECOM Canal + Telecom SAS]
ripencc,ipv4,95.138.0.0,17,allocated,[21351;GP;CANALPLUSTELECOM Canal + Telecom SAS]
ripencc,ipv4,185.29.48.0,22,allocated,[21351;GP;CANALPLUSTELECOM Canal + Telecom SAS]
ripencc,ipv4,213.16.0.0,19,allocated,[21351;GP;CANALPLUSTELECOM Canal + Telecom SAS]
ripencc,ipv4,213.188.160.0,19,allocated,[21351;GP;CANALPLUSTELECOM Canal + Telecom SAS]
ripencc,ipv6,2a02:1390::,29,allocated,[21351;GP;CANALPLUSTELECOM Canal + Telecom SAS]
ripencc,ipv4,193.218.114.0,24,assigned,*
