region,version,ip,prefixlength,state,orgsflat
lacnic,ipv4,24.152.52.0,22,allocated,[269964;GT;TV CABLE UNIVERSAL S.A]
lacnic,ipv4,45.4.128.0,22,allocated,*
lacnic,ipv4,45.5.116.0,22,allocated,[265684;GT;INVERSIONES GRAJEDA ANDRADE S.A]
lacnic,ipv4,45.164.148.0,22,allocated,[267713;GT;JORGE MARIO  MENDOZA LUX PUNTO-NET]
lacnic,ipv4,45.165.152.0,24,allocated,[267715;GT;RED CENTROAMERICANA DE TELECOMUNICACIONES S.A  SUCURSAL GUATEMALA  SOCIEDAD EXTRANJERA]
lacnic,ipv4,45.166.240.0,22,allocated,[271946;GT;EMPRESA GUATEMALTECA DE TELECOMUNICACIONES - GUATEL]
lacnic,ipv4,45.171.64.0,22,allocated,[267774;GT;TECNOCOLOR  S.A.]
lacnic,ipv4,45.173.216.0,22,allocated,[267828;GT;Senal Nacional S.A.]
lacnic,ipv4,45.181.43.0,24,allocated,[269740;GT;ISTMO ENTERTAINMENT  SA.]
lacnic,ipv4,45.183.220.0,23,allocated,*
lacnic,ipv4,45.186.104.0,22,allocated,[269824;GT;INFINITUM S.A.]
lacnic,ipv4,45.188.0.0,22,allocated,[269840;GT;SUPERWIFI DE GUATEMALA S.A]
lacnic,ipv4,45.188.58.0,24,allocated,[269830;GT;ESTRATEGIAS Y TELECOMUNICACIONES S.A. ETELECOM]
lacnic,ipv4,45.191.244.0,22,allocated,[269899;GT;TECNOLOGIA EN TELECOMUNICACIONES ABIERTAS S.A.]
lacnic,ipv4,45.226.176.0,22,allocated,[269745;GT;PLUS NETWORKS]
lacnic,ipv4,45.228.232.0,22,allocated,[266696;GT;TANGLE NETWORK  S.A.]
lacnic,ipv4,45.229.40.0,22,allocated,[266678;GT;Servicios Innovadores de Comunicacion y Entretenimiento  S.A.][52362;GT;Servicios Innovadores de Comunicacion y Entretenimiento  S.A.][6487;GT;Servicios Innovadores de Comunicacion y Entretenimiento  S.A.]
lacnic,ipv4,45.229.128.0,22,allocated,[266688;GT;CG Investment Sociedad Anonima]
lacnic,ipv4,45.233.64.0,22,allocated,[266755;GT;CONECTIVIDAD Y TECNOLOGIA S.A.]
lacnic,ipv4,138.94.144.0,22,allocated,*
lacnic,ipv4,138.94.252.0,22,allocated,[263763;GT;REDES HIBRIDAS  S. A.]
lacnic,ipv4,138.117.140.0,22,allocated,[263761;GT;Broadcom Group  S.A]
lacnic,ipv4,138.117.228.0,22,allocated,[269989;GT;FIBERNET S.A]
lacnic,ipv4,138.118.104.0,22,allocated,[263781;GT;ONNO NETWORKS  SOCIEDAD ANONIMA]
lacnic,ipv4,143.208.56.0,22,allocated,*
lacnic,ipv4,143.208.180.0,22,allocated,[264639;GT;CLOUD2NUBE  S.A.]
lacnic,ipv4,167.250.220.0,22,allocated,[61472;GT;UFINET Guatemala S. A.][52276;GT;UFINET Guatemala S. A.]
lacnic,ipv4,168.194.72.0,22,allocated,[264764;GT;Innova Outsourcing S.A]
lacnic,ipv4,168.227.128.0,22,allocated,*
lacnic,ipv4,168.232.76.0,22,allocated,[52286;GT;Columbus Networks Guatemala]
lacnic,ipv4,170.80.20.0,22,allocated,[264637;GT;Blue Consulting Group  S. A.]
lacnic,ipv4,170.150.28.0,22,allocated,[26617;GT;Navega.com S.A.]
lacnic,ipv4,170.239.56.0,22,allocated,[28087;GT;COMNET S.A.]
lacnic,ipv4,179.60.224.0,22,allocated,[270036;GT;NORTVCOM  SOCIEDAD ANONIMA]
lacnic,ipv4,181.114.0.0,19,allocated,[52286;GT;Columbus Networks Guatemala]
lacnic,ipv4,181.174.64.0,18,allocated,[262206;GT;COMCEL GUATEMALA S.A.][23243;GT;COMCEL GUATEMALA S.A.]
lacnic,ipv4,181.189.27.0,24,allocated,[272061;GT;CROSS CONNECT LAC  S.A.]
lacnic,ipv4,181.189.128.0,22,allocated,[26617;GT;Navega.com S.A.]
lacnic,ipv4,181.189.132.0,22,allocated,[262206;GT;COMCEL GUATEMALA S.A.][23243;GT;COMCEL GUATEMALA S.A.]
lacnic,ipv4,181.189.136.0,22,allocated,[262206;GT;COMCEL GUATEMALA S.A.][23243;GT;COMCEL GUATEMALA S.A.]
lacnic,ipv4,181.189.140.0,22,allocated,[262206;GT;COMCEL GUATEMALA S.A.][23243;GT;COMCEL GUATEMALA S.A.]
lacnic,ipv4,181.189.144.0,20,allocated,[26617;GT;Navega.com S.A.]
lacnic,ipv4,181.209.128.0,17,allocated,[14754;GT;Telgua][13682;GT;Telgua][6458;GT;Telgua]
lacnic,ipv4,181.233.62.0,23,allocated,[272061;GT;CROSS CONNECT LAC  S.A.]
lacnic,ipv4,186.64.104.0,21,allocated,[262207;GT;Corporacion de Internet  Sociedad Anonima.]
lacnic,ipv4,186.151.0.0,18,allocated,[14754;GT;Telgua][13682;GT;Telgua][6458;GT;Telgua]
lacnic,ipv4,186.151.64.0,20,allocated,[14754;GT;Telgua][13682;GT;Telgua][6458;GT;Telgua]
lacnic,ipv4,186.151.80.0,21,allocated,[14754;GT;Telgua][13682;GT;Telgua][6458;GT;Telgua]
lacnic,ipv4,186.151.88.0,22,allocated,[14754;GT;Telgua][13682;GT;Telgua][6458;GT;Telgua]
lacnic,ipv4,186.151.92.0,23,allocated,[14754;GT;Telgua][13682;GT;Telgua][6458;GT;Telgua]
lacnic,ipv4,186.151.95.0,24,allocated,[14754;GT;Telgua][13682;GT;Telgua][6458;GT;Telgua]
lacnic,ipv4,186.151.96.0,19,allocated,[14754;GT;Telgua][13682;GT;Telgua][6458;GT;Telgua]
lacnic,ipv4,186.151.128.0,17,allocated,[14754;GT;Telgua][13682;GT;Telgua][6458;GT;Telgua]
lacnic,ipv4,186.189.192.0,19,allocated,[262206;GT;COMCEL GUATEMALA S.A.][23243;GT;COMCEL GUATEMALA S.A.]
