region,version,ip,prefixlength,state,orgsflat
apnic,ipv4,1.36.0.0,16,allocated,[9925;HK;HKTHOST-AP Powerbase DataCenter Services HK Ltd.][4760;HK;HKTIMS-AP HKT Limited][4515;HK;ERX-STAR HKT Limited]
apnic,ipv4,1.64.0.0,15,allocated,[9925;HK;HKTHOST-AP Powerbase DataCenter Services HK Ltd.][4760;HK;HKTIMS-AP HKT Limited][4515;HK;ERX-STAR HKT Limited]
apnic,ipv4,5.254.128.0,19,allocated,[24099;HK;LAYERLINKS-HK Layerlinks Global Lmited]
apnic,ipv4,14.0.128.0,17,allocated,[38819;HK;HKCSL-AS-AP HKCSL GPRS NETWORK]
apnic,ipv4,14.1.20.0,22,allocated,[55778;HK;WEBWEB-HK International Trade Centre]
apnic,ipv4,14.102.184.0,22,allocated,[64033;HK;GDS-HK Unit C&D  10F Neich Tower  128 Gloucester Rd  Wanchai]
apnic,ipv4,14.102.240.0,20,allocated,[56103;HK;IXLINK-HK Rm 217 Lincoln Center][55480;HK;ISERVICES-HK I-Services Network Solution Ltd][45816;HK;ISHK-AP I-Services Network Solution Limited]
apnic,ipv4,14.136.0.0,16,allocated,[133849;HK;HKBN-AS Hong Kong Broadband Network Ltd][10103;HK;HKBN-AS-AP HK Broadband Network Ltd.][9269;HK;HKBN-AS-AP Hong Kong Broadband Network Ltd.]
apnic,ipv4,14.192.4.0,22,allocated,[134833;HK;LIHGL-HK 24.HK BGP FAST GLOBAL][58931;HK;LIHGL-AS-AP 24.hk global BGP][24009;HK;LIHGL-AS-AP LANLIAN INTERNATIONAL HOLDING GROUP LIMITED][24000;HK;LIHGL-AS-AP 24.hk global BGP]
apnic,ipv4,14.192.8.0,22,allocated,[135026;HK;THINKDREAM-AS-AP ThinkDream Technology Limited][134519;HK;THINKDREAM-AS-AP ThinkDream Technology Limited]
apnic,ipv4,14.192.20.0,22,allocated,[135029;HK;WEEL-AS-AP WINNING EXPERT ENTERPRISE LIMITED]
apnic,ipv4,14.198.0.0,17,allocated,[133849;HK;HKBN-AS Hong Kong Broadband Network Ltd][10103;HK;HKBN-AS-AP HK Broadband Network Ltd.][9269;HK;HKBN-AS-AP Hong Kong Broadband Network Ltd.]
apnic,ipv4,14.198.128.0,18,allocated,[133849;HK;HKBN-AS Hong Kong Broadband Network Ltd][10103;HK;HKBN-AS-AP HK Broadband Network Ltd.][9269;HK;HKBN-AS-AP Hong Kong Broadband Network Ltd.]
apnic,ipv4,14.198.192.0,19,allocated,[133849;HK;HKBN-AS Hong Kong Broadband Network Ltd][10103;HK;HKBN-AS-AP HK Broadband Network Ltd.][9269;HK;HKBN-AS-AP Hong Kong Broadband Network Ltd.]
apnic,ipv4,14.198.224.0,20,allocated,[133849;HK;HKBN-AS Hong Kong Broadband Network Ltd][10103;HK;HKBN-AS-AP HK Broadband Network Ltd.][9269;HK;HKBN-AS-AP Hong Kong Broadband Network Ltd.]
apnic,ipv4,14.198.240.0,20,allocated,[132252;HK;HKMPCL-HK 12F Trans Asia Centre  18 Kin Hong Street]
apnic,ipv4,14.199.0.0,16,allocated,[133849;HK;HKBN-AS Hong Kong Broadband Network Ltd][10103;HK;HKBN-AS-AP HK Broadband Network Ltd.][9269;HK;HKBN-AS-AP Hong Kong Broadband Network Ltd.]
apnic,ipv4,23.226.0.0,20,allocated,[132705;HK;UDOMAIN-AS UDomain Web Hosting Company Limited][23881;HK;UDOMAIN-AS-AP UDomain Web Hosting Company Ltd]
apnic,ipv4,24.235.24.0,21,allocated,[134979;HK;NELNET-AS-AP New Eagle Ltd][133772;HK;NELNET-AS-AP New Eagle Ltd]
apnic,ipv4,27.0.156.0,22,allocated,[135058;HK;JTL-AS-AP JINXI TECHNOLOGY LIMITED]
apnic,ipv4,27.0.192.0,22,allocated,*
apnic,ipv4,27.50.32.0,21,allocated,*
apnic,ipv4,27.100.16.0,21,allocated,*
apnic,ipv4,27.110.64.0,21,allocated,*
apnic,ipv4,27.110.72.0,21,allocated,[17786;IN;HSBC-IN-AS HSBC India][9221;HK;HSBC-HK-AS HSBC HongKong]
apnic,ipv4,27.111.160.0,19,allocated,*
apnic,ipv4,27.111.192.0,20,allocated,*
apnic,ipv4,27.122.12.0,22,allocated,[55536;HK;PSWITCH-HK PACSWITCH IP NETWORK][10136;HK;PSWITCH-HK EXPRESS CONNECT]
apnic,ipv4,27.122.56.0,22,allocated,[134520;HK;GIGSGIGSCLOUD-AS-AP GigsGigs Network Services][132068;HK;DIGICORE-HK Techavenue International Ltd][63916;HK;IPTELECOM-AS-AP IPTELECOM Global]
apnic,ipv4,27.123.32.0,19,allocated,[134706;HK;YAHOO-BR-HK Yahoo-Inc][58720;AU;YAHOO-AU Yahoo-Inc][58525;AU;YAHOO-CORP-TOK3 Yahoo! Tokyo office][56173;SG;YAHOO-SG3 internet content provider][55517;HK;YAHOO-HKA YAHOO! HKA][55418;SG;YAHOO-ID1 YAHOO! ID1][55417;TW;YAHOO-SGA YAHOO! SGA][55416;KR;YAHOO-KRA YAHOO! KRA][45915;US;YAHOO-AS-AP Yahoo Inc.][45863;US;YAHOO-AS-AP Yahoo Inc.][38072;US;YAHOO-AS-AP Yahoo Inc.][38033;JP;YAHOO-JP2-AP internet content provider][38032;HK;YAHOO-HK2-AP internet content provider][24376;CN;YAHOO-CN2-AP Yahoo China Datacenter][24031;US;YAHOO-TPC Internet Content Provider][24018;HK;YAHOO-BACKBONE-AP Yahoo Backbone Network  Asia Pacific][23926;JP;YAHOO-JP3-AP JP DC][23879;US;YAHOO-IN1-AS Internet Content Provider][18293;HK;YAHOO-HK2-AP Internet content provider][17457;AU;YAHOO-AP Internet Content Provider][10230;SG;YAHOO-SG internet content provider][10229;TW;YAHOO-TW1 Internet Content Provider][10228;HK;YAHOO-CN Internet Content Provider]
apnic,ipv4,27.123.192.0,20,allocated,[134706;HK;YAHOO-BR-HK Yahoo-Inc][58720;AU;YAHOO-AU Yahoo-Inc][58525;AU;YAHOO-CORP-TOK3 Yahoo! Tokyo office][56173;SG;YAHOO-SG3 internet content provider][55517;HK;YAHOO-HKA YAHOO! HKA][55418;SG;YAHOO-ID1 YAHOO! ID1][55417;TW;YAHOO-SGA YAHOO! SGA][55416;KR;YAHOO-KRA YAHOO! KRA][45915;US;YAHOO-AS-AP Yahoo Inc.][45863;US;YAHOO-AS-AP Yahoo Inc.][38072;US;YAHOO-AS-AP Yahoo Inc.][38033;JP;YAHOO-JP2-AP internet content provider][38032;HK;YAHOO-HK2-AP internet content provider][24376;CN;YAHOO-CN2-AP Yahoo China Datacenter][24031;US;YAHOO-TPC Internet Content Provider][24018;HK;YAHOO-BACKBONE-AP Yahoo Backbone Network  Asia Pacific][23926;JP;YAHOO-JP3-AP JP DC][23879;US;YAHOO-IN1-AS Internet Content Provider][18293;HK;YAHOO-HK2-AP Internet content provider][17457;AU;YAHOO-AP Internet Content Provider][10230;SG;YAHOO-SG internet content provider][10229;TW;YAHOO-TW1 Internet Content Provider][10228;HK;YAHOO-CN Internet Content Provider]
apnic,ipv4,27.123.232.0,22,allocated,[134548;HK;DXTL-HK DXTL Tseung Kwan O Service][134175;HK;SH2206-AP UNIT A17 9F SILVERCORP INTL TOWER 707-713 NATHAN RD][58658;HK;DXTL-AS-AP DXTL]
apnic,ipv4,27.126.176.0,20,allocated,[55331;HK;FTG-AS-AP Forewin Telecom Group Limited][38186;HK;FTG-AS-AP Forewin Telecom Group Limited  ISP at]
apnic,ipv4,27.126.192.0,18,allocated,[45474;HK;NEXUSGUARD-AS-AP NEXUSGUARD LIMITED]
apnic,ipv4,36.37.32.0,22,allocated,[56136;HK;LF-HK 3F  HK Spinners Industrial Building Phase I & II]
apnic,ipv4,36.255.56.0,22,allocated,*
apnic,ipv4,36.255.192.0,22,allocated,[137451;HK;TELECOM-AS-AP Hong Kong Business Telecom Limited][135119;HK;TELECOM-KR Korea Telecom Limited][132422;HK;TELECOM-HK Hong Kong Telecom Global Data Centre][64021;CN;NETWORK-TRANSIT Network-Transit]
apnic,ipv4,36.255.204.0,22,allocated,[140952;US;STL-AS-AP Strong Technology  LLC]
apnic,ipv4,39.109.0.0,18,allocated,[133779;HK;HDIL-AS-AP Huayun Data International Limited]
apnic,ipv4,39.109.64.0,23,allocated,[133779;HK;HDIL-AS-AP Huayun Data International Limited]
apnic,ipv4,39.109.66.0,23,allocated,[149628;HK;HKBIL-AS-AP HONG KONG BRIDGE INFO-TECH LIMITED][141768;HK;HKBIL-AS-AP HONG KONG BRIDGE INFO-TECH LIMITED][137969;HK;HKBIL-AS-AP HONG KONG BRIDGE INFO-TECH LIMITED]
apnic,ipv4,39.109.68.0,22,allocated,[149628;HK;HKBIL-AS-AP HONG KONG BRIDGE INFO-TECH LIMITED][141768;HK;HKBIL-AS-AP HONG KONG BRIDGE INFO-TECH LIMITED][137969;HK;HKBIL-AS-AP HONG KONG BRIDGE INFO-TECH LIMITED]
apnic,ipv4,39.109.72.0,21,allocated,[149628;HK;HKBIL-AS-AP HONG KONG BRIDGE INFO-TECH LIMITED][141768;HK;HKBIL-AS-AP HONG KONG BRIDGE INFO-TECH LIMITED][137969;HK;HKBIL-AS-AP HONG KONG BRIDGE INFO-TECH LIMITED]
apnic,ipv4,39.109.80.0,21,allocated,[149628;HK;HKBIL-AS-AP HONG KONG BRIDGE INFO-TECH LIMITED][141768;HK;HKBIL-AS-AP HONG KONG BRIDGE INFO-TECH LIMITED][137969;HK;HKBIL-AS-AP HONG KONG BRIDGE INFO-TECH LIMITED]
apnic,ipv4,39.109.88.0,22,allocated,[149628;HK;HKBIL-AS-AP HONG KONG BRIDGE INFO-TECH LIMITED][141768;HK;HKBIL-AS-AP HONG KONG BRIDGE INFO-TECH LIMITED][137969;HK;HKBIL-AS-AP HONG KONG BRIDGE INFO-TECH LIMITED]
apnic,ipv4,39.109.92.0,22,allocated,[149175;HK;UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED][134578;CN;UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED]
apnic,ipv4,39.109.96.0,21,allocated,[133779;HK;HDIL-AS-AP Huayun Data International Limited]
apnic,ipv4,39.109.104.0,24,allocated,[142403;HK;YISUCLOUDLTD-HK YISU CLOUD LTD][138152;HK;YISUCLOUDLTD-HK YISU CLOUD LTD][136970;HK;YISUCLOUDLTD-AS-AP YISU CLOUD LTD]
apnic,ipv4,39.109.105.0,24,allocated,[133779;HK;HDIL-AS-AP Huayun Data International Limited]
apnic,ipv4,39.109.106.0,23,allocated,[133779;HK;HDIL-AS-AP Huayun Data International Limited]
apnic,ipv4,39.109.108.0,22,allocated,[133779;HK;HDIL-AS-AP Huayun Data International Limited]
apnic,ipv4,39.109.112.0,22,allocated,[142403;HK;YISUCLOUDLTD-HK YISU CLOUD LTD][138152;HK;YISUCLOUDLTD-HK YISU CLOUD LTD][136970;HK;YISUCLOUDLTD-AS-AP YISU CLOUD LTD]
apnic,ipv4,39.109.116.0,23,allocated,[142403;HK;YISUCLOUDLTD-HK YISU CLOUD LTD][138152;HK;YISUCLOUDLTD-HK YISU CLOUD LTD][136970;HK;YISUCLOUDLTD-AS-AP YISU CLOUD LTD]
apnic,ipv4,39.109.118.0,23,allocated,[133779;HK;HDIL-AS-AP Huayun Data International Limited]
apnic,ipv4,39.109.120.0,23,allocated,[133779;HK;HDIL-AS-AP Huayun Data International Limited]
apnic,ipv4,39.109.122.0,23,allocated,[142403;HK;YISUCLOUDLTD-HK YISU CLOUD LTD][138152;HK;YISUCLOUDLTD-HK YISU CLOUD LTD][136970;HK;YISUCLOUDLTD-AS-AP YISU CLOUD LTD]
apnic,ipv4,39.109.124.0,23,allocated,[133779;HK;HDIL-AS-AP Huayun Data International Limited]
apnic,ipv4,39.109.126.0,23,allocated,[142403;HK;YISUCLOUDLTD-HK YISU CLOUD LTD][138152;HK;YISUCLOUDLTD-HK YISU CLOUD LTD][136970;HK;YISUCLOUDLTD-AS-AP YISU CLOUD LTD]
