region,version,ip,prefixlength,state,orgsflat
ripencc,ipv4,5.39.128.0,19,allocated,[205714;HR;tele2hr Telemach Hrvatska d.o.o.]
ripencc,ipv4,5.43.160.0,19,allocated,[205714;HR;tele2hr Telemach Hrvatska d.o.o.]
ripencc,ipv4,31.45.128.0,17,allocated,[207004;HR;ENTITAS-AS Entitas d.o.o.][200248;HR;MPlusCroatia-AS M Plus Croatia d.o.o.][199433;HR;INEM-AS Koncar-Elektronika i informatika d.d.][49498;HR;SNT-HR-AS S&T Hrvatska d.o.o.][49428;HR;EXORHR INTIS d.o.o.][47948;HR;SATA-AS 24sata doo][43540;HR;HYPOHR-AS Hypo-Leasing-Kroatien d.o.o.][35225;HR;HRVATSKE-CESTE Hrvatske ceste][31012;HR;DCM-AS A1 Hrvatska d.o.o.][28766;HR;OGLASNIK-AS Oglasnik d.o.o.][25365;HR;TOMSOFT-AS Tomsoft d.o.o.][25277;HR;POSLUH POSLuH d.o.o  za informaticke usluge i trgovinu][15994;HR;A1HR A1 Hrvatska d.o.o.][12810;HR;VIPNET-AS A1 Hrvatska d.o.o.]
ripencc,ipv4,31.147.0.0,16,allocated,[2108;HR;CARNet-AS Croatian Academic and Research Network]
ripencc,ipv4,31.216.192.0,19,allocated,[209434;HR;Ericsson-HR Ericsson Nikola Tesla d.d.][204163;HR;HrvatskeVode Hrvatske vode][202981;HR;UNIQA-HR UNIQA OSIGURANJE d.d.][197823;HR;ASN-MZSS Ministarstvo zdravstva i socijalne skrbi][196622;HR;HR-POSTA Hrvatska posta d.d.][42488;HR;AtlanticGrupa AtlanticGrupa d.d.][39663;HR;ALLIANZ-HR Allianz Zagreb d.d.][35648;HR;T-Mobile-HR-AS Hrvatski Telekom d.d.][35128;HR;HPB-AS Hrvatska Postanska Banka d.d.][34519;HR;VJESNIK-AS VJESNIK d.d.][30841;HR;IKB-AS Istarska kreditna banka Umag d.d.][29647;HR;HINA-AS HINA - Hrvatska Izvjestajna Novinska Agencija][24755;HR;PLIVA-AS Pliva Hrvatska d.o.o.][21323;HR;ERSTEBANK Erste&Steiermarkische Bank d.d.][15719;HR;CZVH CENTAR ZA VOZILA HRVATSKE D.D.][5391;HR;T-HT Hrvatski Telekom d.d.]
ripencc,ipv4,31.217.0.0,17,allocated,[209434;HR;Ericsson-HR Ericsson Nikola Tesla d.d.][204163;HR;HrvatskeVode Hrvatske vode][202981;HR;UNIQA-HR UNIQA OSIGURANJE d.d.][197823;HR;ASN-MZSS Ministarstvo zdravstva i socijalne skrbi][196622;HR;HR-POSTA Hrvatska posta d.d.][42488;HR;AtlanticGrupa AtlanticGrupa d.d.][39663;HR;ALLIANZ-HR Allianz Zagreb d.d.][35648;HR;T-Mobile-HR-AS Hrvatski Telekom d.d.][35128;HR;HPB-AS Hrvatska Postanska Banka d.d.][34519;HR;VJESNIK-AS VJESNIK d.d.][30841;HR;IKB-AS Istarska kreditna banka Umag d.d.][29647;HR;HINA-AS HINA - Hrvatska Izvjestajna Novinska Agencija][24755;HR;PLIVA-AS Pliva Hrvatska d.o.o.][21323;HR;ERSTEBANK Erste&Steiermarkische Bank d.d.][15719;HR;CZVH CENTAR ZA VOZILA HRVATSKE D.D.][5391;HR;T-HT Hrvatski Telekom d.d.]
ripencc,ipv4,36.255.92.0,22,allocated,[207895;HR;sudostar Josip Sabolek]
ripencc,ipv4,37.48.232.0,21,allocated,[207004;HR;ENTITAS-AS Entitas d.o.o.][200248;HR;MPlusCroatia-AS M Plus Croatia d.o.o.][199433;HR;INEM-AS Koncar-Elektronika i informatika d.d.][49498;HR;SNT-HR-AS S&T Hrvatska d.o.o.][49428;HR;EXORHR INTIS d.o.o.][47948;HR;SATA-AS 24sata doo][43540;HR;HYPOHR-AS Hypo-Leasing-Kroatien d.o.o.][35225;HR;HRVATSKE-CESTE Hrvatske ceste][31012;HR;DCM-AS A1 Hrvatska d.o.o.][28766;HR;OGLASNIK-AS Oglasnik d.o.o.][25365;HR;TOMSOFT-AS Tomsoft d.o.o.][25277;HR;POSLUH POSLuH d.o.o  za informaticke usluge i trgovinu][15994;HR;A1HR A1 Hrvatska d.o.o.][12810;HR;VIPNET-AS A1 Hrvatska d.o.o.]
ripencc,ipv4,37.60.128.0,21,allocated,[205714;HR;tele2hr Telemach Hrvatska d.o.o.]
ripencc,ipv4,37.205.96.0,20,allocated,[205714;HR;tele2hr Telemach Hrvatska d.o.o.]
