region,version,ip,prefixlength,state,orgsflat
apnic,ipv4,1.6.0.0,15,allocated,*
apnic,ipv4,1.22.0.0,15,allocated,*
apnic,ipv4,1.38.0.0,15,allocated,[134927;IN;VIL-AS-AP Vodafone Idea Ltd][134071;IN;VIL-AS-AP Vodafone Idea Ltd][133666;IN;VIL-AS-AP Vodafone Idea Ltd][55644;IN;VIL-AS-AP Vodafone Idea Ltd][55410;IN;VIL-AS-AP Vodafone Idea Ltd][38266;IN;VIL-AS-AP Vodafone Idea Ltd]
apnic,ipv4,1.187.0.0,16,allocated,*
apnic,ipv4,14.96.0.0,15,allocated,*
apnic,ipv4,14.98.0.0,16,allocated,[137076;IN;TTSL-AS-BB TTSL-ISP DIVISION][131317;IN;TTSLMEIS-IN TTSL-ISP DIVISION][58693;IN;NNI NNI][55740;IN;TTSLMEIS-AS-AP TTSL-ISP DIVISION][55441;IN;TTSLMEIS-AS-AP TTSL-ISP DIVISION][45820;IN;TTSL-MEISISP Tata Teleservices ISP AS]
apnic,ipv4,14.99.0.0,16,allocated,*
apnic,ipv4,14.102.0.0,17,allocated,*
apnic,ipv4,14.139.0.0,16,allocated,[55847;IN;NKN-EDGE-NW NKN EDGE Network][55824;IN;NKN-CORE-NW NKN Core Network][38620;IN;RSMANI-NKN-AS-AP National Knowledge Network][9885;IN;NKN-INTERNET-GW NKN INTERNET GATEWAY NETWORK]
apnic,ipv4,14.140.0.0,14,allocated,[151344;IN;TATACOMM-AS-AP Tata Communications Limited][55460;IN;TATA-AS Tata Communications Limited][17908;IN;TCISL Tata Communications][10199;IN;TATA-AS Tata Communications Ltd][9238;IN;TATA-AS TATA ISP][4755;IN;TATACOMM-AS TATA Communications formerly VSNL is Leading ISP]
apnic,ipv4,14.192.16.0,22,allocated,[132717;IN;NDCTPL-IN NxtGen Datacenter & Cloud Technologies Pvt. Ltd.][38039;IN;NDCTPL-AS-AP NxtGen Datacenter & Cloud Technologies Pvt. Ltd.]
apnic,ipv4,14.194.0.0,15,allocated,*
apnic,ipv4,27.0.48.0,20,allocated,*
apnic,ipv4,27.0.136.0,22,allocated,*
apnic,ipv4,27.0.140.0,22,allocated,*
apnic,ipv4,27.0.144.0,22,allocated,*
apnic,ipv4,27.0.148.0,22,allocated,*
apnic,ipv4,27.0.176.0,22,allocated,*
apnic,ipv4,27.0.180.0,22,allocated,*
apnic,ipv4,27.0.220.0,22,allocated,*
apnic,ipv4,27.4.0.0,14,allocated,[17488;IN;HATHWAY-NET-AP Hathway IP Over Cable Internet]
apnic,ipv4,27.34.240.0,20,allocated,[45648;IN;BELLTELE-AS-IN Bell Teleservices India Pvt Ltd.  ISP having own OFC network in Bangalore  India.]
apnic,ipv4,27.48.0.0,16,allocated,*
apnic,ipv4,27.50.4.0,22,allocated,[55448;IN;GLOBALLOGIC-IN GlobalLogic India Ltd.][38902;IN;GLOBALLOGIC-IN GlobalLogic India Ltd.]
apnic,ipv4,27.54.160.0,19,allocated,*
apnic,ipv4,27.56.0.0,13,allocated,[55557;IN;BHARTI-MO-AS-AP Bharti Airtel Limited]
apnic,ipv4,27.96.88.0,22,allocated,*
apnic,ipv4,27.97.0.0,16,allocated,*
apnic,ipv4,27.100.12.0,22,allocated,*
apnic,ipv4,27.100.24.0,22,allocated,*
apnic,ipv4,27.107.0.0,16,allocated,*
apnic,ipv4,27.109.0.0,19,allocated,[55540;IN;BLAZENET-AS-AP Blazenet Pvt Ltd][17625;IN;BLAZENET-IN-AP BlazeNets Network][17423;IN;SUREPREP-AS-AP Sureprep AS]
apnic,ipv4,27.113.252.0,22,allocated,*
apnic,ipv4,27.116.16.0,21,allocated,*
apnic,ipv4,27.116.40.0,22,allocated,*
apnic,ipv4,27.116.48.0,22,allocated,*
apnic,ipv4,27.116.52.0,22,allocated,*
apnic,ipv4,27.118.32.0,19,allocated,[38806;IN;COGNIZANT-IN-AP Cognizant Technology Solutions India Pvt Ltd][17903;IN;COGNIZANT-IN-AP Cognizant Technology Solutions India Pvt Ltd]
apnic,ipv4,27.121.100.0,22,allocated,*
apnic,ipv4,27.123.64.0,18,allocated,[45609;IN;BHARTI-MOBILITY-AS-AP Bharti Airtel Ltd. AS for GPRS Service][45514;IN;TELEMEDIA-SMB-AS-AP Bharti Airtel Ltd.  TELEMEDIA Services  for SMB customers][24560;IN;AIRTELBROADBAND-AS-AP Bharti Airtel Ltd.  Telemedia Services][23870;IN;BHARTI-AS-AP Bharti Airtel Limited][9498;IN;BBIL-AP BHARTI Airtel Ltd.]
apnic,ipv4,27.123.216.0,22,allocated,[55832;IN;HOMESYSTEM-AS-AP HOME SYSTEMS PVT.LTD]
apnic,ipv4,27.123.248.0,22,allocated,*
apnic,ipv4,27.124.64.0,23,allocated,*
apnic,ipv4,27.124.72.0,23,allocated,*
apnic,ipv4,27.125.200.0,22,allocated,*
apnic,ipv4,27.131.208.0,21,allocated,*
apnic,ipv4,27.248.0.0,14,allocated,*
apnic,ipv4,27.255.128.0,17,allocated,*
apnic,ipv4,36.50.4.0,23,allocated,*
apnic,ipv4,36.50.78.0,23,allocated,*
apnic,ipv4,36.50.118.0,23,allocated,*
apnic,ipv4,36.50.124.0,23,allocated,*
apnic,ipv4,36.50.162.0,23,allocated,*
apnic,ipv4,36.50.166.0,23,allocated,*
apnic,ipv4,36.255.28.0,22,allocated,[135086;IN;AXISBANKLIMITED-AS-AP Axis Bank Limited]
apnic,ipv4,36.255.156.0,22,allocated,*
apnic,ipv4,36.255.168.0,22,allocated,*
apnic,ipv4,36.255.180.0,22,allocated,*
apnic,ipv4,36.255.184.0,22,allocated,*
apnic,ipv4,36.255.196.0,22,allocated,[149779;IN;FIBMESH-AS-AP FIBMESH IN LIMITED][133082;IN;FIBMESH-AS-AP FIBMESH IN LIMITED]
apnic,ipv4,36.255.200.0,22,allocated,[134927;IN;VIL-AS-AP Vodafone Idea Ltd][134071;IN;VIL-AS-AP Vodafone Idea Ltd][133666;IN;VIL-AS-AP Vodafone Idea Ltd][55644;IN;VIL-AS-AP Vodafone Idea Ltd][55410;IN;VIL-AS-AP Vodafone Idea Ltd][38266;IN;VIL-AS-AP Vodafone Idea Ltd]
apnic,ipv4,36.255.248.0,22,allocated,*
apnic,ipv4,36.255.252.0,22,allocated,[135133;IN;PDPL-AS-AP PI DATA CENTERS PRIVATE LIMITED]
apnic,ipv4,42.96.104.0,22,allocated,[59331;IN;SNMPL-IN SAILOR NETWORK MARKETING PRIVATE LIMITED]
apnic,ipv4,42.104.0.0,13,allocated,[134927;IN;VIL-AS-AP Vodafone Idea Ltd][134071;IN;VIL-AS-AP Vodafone Idea Ltd][133666;IN;VIL-AS-AP Vodafone Idea Ltd][55644;IN;VIL-AS-AP Vodafone Idea Ltd][55410;IN;VIL-AS-AP Vodafone Idea Ltd][38266;IN;VIL-AS-AP Vodafone Idea Ltd]
apnic,ipv4,43.224.8.0,22,allocated,*
apnic,ipv4,43.224.96.0,22,allocated,*
apnic,ipv4,43.224.128.0,22,allocated,*
apnic,ipv4,43.224.156.0,22,allocated,*
apnic,ipv4,43.224.164.0,22,allocated,*
apnic,ipv4,43.224.220.0,22,allocated,*
apnic,ipv4,43.224.252.0,22,allocated,*
apnic,ipv4,43.225.20.0,22,allocated,*
apnic,ipv4,43.225.24.0,22,allocated,*
apnic,ipv4,43.225.72.0,22,allocated,*
apnic,ipv4,43.225.80.0,22,allocated,[134450;IN;HOSTROYALETECHNOLOGIES-AS-AP HostRoyale Technologies Pvt Ltd][133499;NZ;HOSTROYALETECHNOLOGIES-AS-AP HostRoyale Technologies Pvt Ltd]
apnic,ipv4,43.225.116.0,22,allocated,[132893;IN;KNIPL-IN KODIAK NETWORKS INDIA PRIVATE LIMITED]
apnic,ipv4,43.225.160.0,22,allocated,*
apnic,ipv4,43.225.164.0,22,allocated,*
apnic,ipv4,43.225.188.0,22,allocated,[134450;IN;HOSTROYALETECHNOLOGIES-AS-AP HostRoyale Technologies Pvt Ltd][133499;NZ;HOSTROYALETECHNOLOGIES-AS-AP HostRoyale Technologies Pvt Ltd]
apnic,ipv4,43.225.192.0,22,allocated,*
apnic,ipv4,43.225.212.0,22,allocated,*
apnic,ipv4,43.225.248.0,22,allocated,*
apnic,ipv4,43.227.20.0,22,allocated,*
apnic,ipv4,43.227.132.0,22,allocated,*
apnic,ipv4,43.227.186.0,23,allocated,[151988;IN;GSPL-AS-AP Go2Cloud Solutions Private Limited]
apnic,ipv4,43.227.244.0,22,allocated,*
apnic,ipv4,43.228.72.0,22,allocated,*
apnic,ipv4,43.228.112.0,22,allocated,*
apnic,ipv4,43.228.164.0,23,allocated,*
apnic,ipv4,43.228.166.0,23,allocated,*
apnic,ipv4,43.228.220.0,22,allocated,*
apnic,ipv4,43.228.228.0,22,allocated,*
apnic,ipv4,43.229.24.0,22,allocated,*
apnic,ipv4,43.229.72.0,22,allocated,*
apnic,ipv4,43.229.80.0,22,allocated,*
apnic,ipv4,43.229.88.0,22,allocated,*
apnic,ipv4,43.229.100.0,22,allocated,*
apnic,ipv4,43.229.200.0,22,allocated,*
apnic,ipv4,43.230.40.0,22,allocated,*
apnic,ipv4,43.230.44.0,22,allocated,*
apnic,ipv4,43.230.64.0,22,allocated,[134375;IN;FWSPL-AS-AP Fusionnet Web Services Private Limited]
apnic,ipv4,43.230.156.0,22,allocated,*
apnic,ipv4,43.230.196.0,22,allocated,*
apnic,ipv4,43.230.200.0,22,allocated,*
apnic,ipv4,43.230.212.0,22,allocated,*
apnic,ipv4,43.231.48.0,22,allocated,*
apnic,ipv4,43.231.56.0,22,allocated,*
apnic,ipv4,43.231.116.0,22,allocated,*
apnic,ipv4,43.231.124.0,22,allocated,*
apnic,ipv4,43.231.236.0,22,allocated,*
apnic,ipv4,43.231.252.0,22,allocated,*
apnic,ipv4,43.239.68.0,22,allocated,*
apnic,ipv4,43.239.76.0,22,allocated,*
apnic,ipv4,43.239.124.0,22,allocated,*
apnic,ipv4,43.239.128.0,22,allocated,*
apnic,ipv4,43.239.132.0,22,allocated,*
apnic,ipv4,43.239.140.0,22,allocated,[150678;IN;HWSPL-AS-AP HostPalace Internet Services Pvt Ltd][136175;NL;SERVERHOSH-AS-AP Serverhosh Internet Service][134512;IN;HWSPL-AS-AP HostPalace Web Solution PVT LTD]
apnic,ipv4,43.239.152.0,22,allocated,*
apnic,ipv4,43.239.168.0,22,allocated,*
apnic,ipv4,43.239.212.0,22,allocated,*
apnic,ipv4,43.239.236.0,22,allocated,*
apnic,ipv4,43.239.244.0,22,allocated,*
apnic,ipv4,43.240.4.0,22,allocated,*
apnic,ipv4,43.240.8.0,22,allocated,*
apnic,ipv4,43.241.24.0,22,allocated,*
apnic,ipv4,43.241.28.0,22,allocated,*
apnic,ipv4,43.241.36.0,22,allocated,*
apnic,ipv4,43.241.40.0,22,allocated,[140911;IN;TCL-AS-IN Tata Communications Ltd.][139309;CA;TCL-AS-AP Tata Communications CANADA Ltd.]
apnic,ipv4,43.241.64.0,22,allocated,*
apnic,ipv4,43.241.116.0,22,allocated,*
apnic,ipv4,43.241.120.0,22,allocated,*
apnic,ipv4,43.242.36.0,22,allocated,*
apnic,ipv4,43.242.104.0,22,allocated,[9829;IN;BSNL-NIB National Internet Backbone]
apnic,ipv4,43.242.124.0,22,allocated,*
apnic,ipv4,43.242.208.0,22,allocated,*
