region,version,ip,prefixlength,state,orgsflat
ripencc,ipv4,5.23.64.0,19,allocated,[60300;IS;Vodafone_Iceland Syn hf][21268;IS;Vodafone_Iceland Syn hf][12969;IS;Vodafone_Iceland Syn hf]
ripencc,ipv4,31.15.112.0,21,allocated,[56704;IS;FARICE-AS Farice ehf]
ripencc,ipv4,31.209.136.0,21,allocated,[51896;IS;HRINGDU-AS Hringdu ehf]
ripencc,ipv4,31.209.144.0,20,allocated,[203566;IS;MILAHF-AS2 Mila hf][6677;IS;ICENET-AS1 Mila hf]
ripencc,ipv4,31.209.192.0,18,allocated,[203566;IS;MILAHF-AS2 Mila hf][6677;IS;ICENET-AS1 Mila hf]
ripencc,ipv4,37.152.64.0,21,allocated,[211589;IS;RUV-CDN Rikisutvarpid Ohf][198815;IS;RUV-AS Rikisutvarpid Ohf]
ripencc,ipv4,37.205.32.0,21,allocated,[59396;IS;TRS Tolvu- og Rafeindapjonusta Sudurlands ehf]
ripencc,ipv4,46.22.96.0,20,allocated,[51896;IS;HRINGDU-AS Hringdu ehf]
ripencc,ipv4,46.28.152.0,21,allocated,[197403;IS;ISLANDSBANKI-AS1 Islandsbanki hf]
ripencc,ipv4,46.182.184.0,21,allocated,[202868;IS;tsc Nova hf][60259;IS;SIMAFELAGID-ASN Nova hf][51829;IS;KUKL-AS Nova hf][44735;IS;SIP-ASN Nova hf][43571;IS;NOVAIS-AS Nova hf][31410;IS;CORE-GLOBAL-AS Nova hf]
ripencc,ipv4,46.239.192.0,18,allocated,[60300;IS;Vodafone_Iceland Syn hf][21268;IS;Vodafone_Iceland Syn hf][12969;IS;Vodafone_Iceland Syn hf]
ripencc,ipv4,62.145.128.0,19,allocated,[60300;IS;Vodafone_Iceland Syn hf][21268;IS;Vodafone_Iceland Syn hf][12969;IS;Vodafone_Iceland Syn hf]
ripencc,ipv4,77.73.33.0,24,allocated,[202247;IS;NETBERG Svartsteinn ehf]
ripencc,ipv4,78.40.248.0,21,allocated,[202868;IS;tsc Nova hf][60259;IS;SIMAFELAGID-ASN Nova hf][51829;IS;KUKL-AS Nova hf][44735;IS;SIP-ASN Nova hf][43571;IS;NOVAIS-AS Nova hf][31410;IS;CORE-GLOBAL-AS Nova hf]
ripencc,ipv4,79.171.96.0,21,allocated,[203590;IS;sensa-as Sensa ehf][201849;IS;SENSA-AS Sensa ehf][43892;IS;BASIS-AS Sensa ehf]
ripencc,ipv4,80.248.16.0,20,allocated,[39418;IS;UMSJA Origo hf][29689;IS;ORIGO-AS Origo hf]
ripencc,ipv4,81.15.0.0,17,allocated,[60300;IS;Vodafone_Iceland Syn hf][21268;IS;Vodafone_Iceland Syn hf][12969;IS;Vodafone_Iceland Syn hf]
ripencc,ipv4,82.112.64.0,19,allocated,[31236;IS;RVK-AS Reykjavik City Hall]
ripencc,ipv4,82.148.64.0,19,allocated,[29348;IS;FSNET-AS Icelandic Ministry of Education]
ripencc,ipv4,82.221.0.0,16,allocated,[50613;IS;ThorDC-AS Advania Island ehf][44515;IS;IS-ADVANIA Advania Island ehf][30818;IS;IS-ADVANIA-TRANSIT Advania Island ehf]
ripencc,ipv4,83.173.0.0,18,allocated,[31441;IS;GR-AS Ljosleidarinn ehf]
ripencc,ipv4,85.116.64.0,19,allocated,[34678;IS;TOLVUN-AS Eignafelag Tolvunar ehf]
ripencc,ipv4,85.197.192.0,18,allocated,[60300;IS;Vodafone_Iceland Syn hf][21268;IS;Vodafone_Iceland Syn hf][12969;IS;Vodafone_Iceland Syn hf]
ripencc,ipv4,85.220.0.0,17,allocated,[203566;IS;MILAHF-AS2 Mila hf][6677;IS;ICENET-AS1 Mila hf]
ripencc,ipv4,87.121.23.0,24,allocated,[39418;IS;UMSJA Origo hf][29689;IS;ORIGO-AS Origo hf]
ripencc,ipv4,87.237.32.0,21,allocated,[35834;IS;CCP CCP ehf.]
ripencc,ipv4,88.135.70.0,24,allocated,[212926;IS;HARPA-AS Harpa Concert Hall and Conference Centre ohf]
ripencc,ipv4,88.149.0.0,17,allocated,[60300;IS;Vodafone_Iceland Syn hf][21268;IS;Vodafone_Iceland Syn hf][12969;IS;Vodafone_Iceland Syn hf]
ripencc,ipv4,88.151.48.0,21,allocated,[39472;IS;Arion-banki-AS Arion Banki hf]
ripencc,ipv4,89.17.128.0,19,allocated,[51896;IS;HRINGDU-AS Hringdu ehf]
ripencc,ipv4,89.104.128.0,19,allocated,[39532;IS;Landsbanki-AS Landsbankinn hf]
ripencc,ipv4,89.147.108.0,22,allocated,[44925;IS;THE-1984-AS 1984 ehf]
ripencc,ipv4,89.160.128.0,17,allocated,[60300;IS;Vodafone_Iceland Syn hf][21268;IS;Vodafone_Iceland Syn hf][12969;IS;Vodafone_Iceland Syn hf]
ripencc,ipv4,92.43.192.0,21,allocated,[44644;IS;ARVAKUR-NET Arvakur hf]
ripencc,ipv4,93.95.25.0,24,allocated,[206440;IS;Netpandan Netpandan ehf]
ripencc,ipv4,93.95.72.0,21,allocated,[60690;IS;OPEX-ASN Premis ehf][44275;IS;GS-AS Premis ehf]
ripencc,ipv4,93.95.224.0,21,allocated,[44925;IS;THE-1984-AS 1984 ehf]
ripencc,ipv4,94.142.152.0,21,allocated,[48685;IS;OK-AS Opin Kerfi hf]
ripencc,ipv4,94.198.48.0,23,allocated,[31236;IS;RVK-AS Reykjavik City Hall]
ripencc,ipv4,128.140.232.0,21,allocated,[197973;IS;SKRA-NET Registers Iceland]
ripencc,ipv4,149.126.80.0,21,allocated,[202868;IS;tsc Nova hf][60259;IS;SIMAFELAGID-ASN Nova hf][51829;IS;KUKL-AS Nova hf][44735;IS;SIP-ASN Nova hf][43571;IS;NOVAIS-AS Nova hf][31410;IS;CORE-GLOBAL-AS Nova hf]
ripencc,ipv4,160.20.214.0,23,allocated,[31236;IS;RVK-AS Reykjavik City Hall]
ripencc,ipv4,176.10.32.0,21,allocated,[48685;IS;OK-AS Opin Kerfi hf]
ripencc,ipv4,176.57.224.0,20,allocated,[48685;IS;OK-AS Opin Kerfi hf]
ripencc,ipv4,178.19.48.0,20,allocated,[202868;IS;tsc Nova hf][60259;IS;SIMAFELAGID-ASN Nova hf][51829;IS;KUKL-AS Nova hf][44735;IS;SIP-ASN Nova hf][43571;IS;NOVAIS-AS Nova hf][31410;IS;CORE-GLOBAL-AS Nova hf]
ripencc,ipv4,178.248.16.0,21,allocated,[60690;IS;OPEX-ASN Premis ehf][44275;IS;GS-AS Premis ehf]
ripencc,ipv4,185.21.16.0,22,allocated,[60300;IS;Vodafone_Iceland Syn hf][21268;IS;Vodafone_Iceland Syn hf][12969;IS;Vodafone_Iceland Syn hf]
ripencc,ipv4,185.24.0.0,22,allocated,[60300;IS;Vodafone_Iceland Syn hf][21268;IS;Vodafone_Iceland Syn hf][12969;IS;Vodafone_Iceland Syn hf]
ripencc,ipv4,185.25.252.0,22,allocated,[48685;IS;OK-AS Opin Kerfi hf]
ripencc,ipv4,185.27.36.0,22,allocated,[60690;IS;OPEX-ASN Premis ehf][44275;IS;GS-AS Premis ehf]
ripencc,ipv4,185.29.196.0,22,allocated,[203176;IS;RB Reiknistofa bankanna hf.]
ripencc,ipv4,185.30.184.0,22,allocated,[39418;IS;UMSJA Origo hf][29689;IS;ORIGO-AS Origo hf]
ripencc,ipv4,185.40.120.0,22,allocated,[202868;IS;tsc Nova hf][60259;IS;SIMAFELAGID-ASN Nova hf][51829;IS;KUKL-AS Nova hf][44735;IS;SIP-ASN Nova hf][43571;IS;NOVAIS-AS Nova hf][31410;IS;CORE-GLOBAL-AS Nova hf]
ripencc,ipv4,185.43.30.0,24,allocated,[212771;IS;NETVOKTUN Netvoktun ehf]
ripencc,ipv4,185.44.204.0,24,allocated,*
ripencc,ipv4,185.44.240.0,22,allocated,[199844;IS;RARIK RARIK ohf.]
ripencc,ipv4,185.45.76.0,22,allocated,[62199;IS;VERNEGLOBAL-IS Verne Global hf.]
ripencc,ipv4,185.56.12.0,22,allocated,[202030;IS;ICELANDAIR-AS Icelandair ehf]
ripencc,ipv4,185.62.60.0,22,allocated,[203590;IS;sensa-as Sensa ehf][201849;IS;SENSA-AS Sensa ehf][43892;IS;BASIS-AS Sensa ehf]
ripencc,ipv4,185.67.84.0,22,allocated,[60690;IS;OPEX-ASN Premis ehf][44275;IS;GS-AS Premis ehf]
ripencc,ipv4,185.67.180.0,22,allocated,[203590;IS;sensa-as Sensa ehf][201849;IS;SENSA-AS Sensa ehf][43892;IS;BASIS-AS Sensa ehf]
ripencc,ipv4,185.86.220.0,22,allocated,[200868;IS;KAPALVAEDING Kapalvaeding ehf.]
ripencc,ipv4,185.93.156.0,22,allocated,[1850;IS;ISNIC Internet a Islandi hf]
ripencc,ipv4,185.101.124.0,22,allocated,[50613;IS;ThorDC-AS Advania Island ehf][44515;IS;IS-ADVANIA Advania Island ehf][30818;IS;IS-ADVANIA-TRANSIT Advania Island ehf]
ripencc,ipv4,185.107.60.0,22,allocated,[200432;IS;Borgun Teya Iceland hf]
ripencc,ipv4,185.109.100.0,22,allocated,[60690;IS;OPEX-ASN Premis ehf][44275;IS;GS-AS Premis ehf]
ripencc,ipv4,185.111.36.0,22,allocated,[202868;IS;tsc Nova hf][60259;IS;SIMAFELAGID-ASN Nova hf][51829;IS;KUKL-AS Nova hf][44735;IS;SIP-ASN Nova hf][43571;IS;NOVAIS-AS Nova hf][31410;IS;CORE-GLOBAL-AS Nova hf]
ripencc,ipv4,185.112.144.0,22,allocated,[44925;IS;THE-1984-AS 1984 ehf]
ripencc,ipv4,185.112.204.0,22,allocated,[59396;IS;TRS Tolvu- og Rafeindapjonusta Sudurlands ehf]
ripencc,ipv4,185.118.32.0,22,allocated,*
ripencc,ipv4,185.119.124.0,22,allocated,*
ripencc,ipv4,185.123.196.0,22,allocated,[60690;IS;OPEX-ASN Premis ehf][44275;IS;GS-AS Premis ehf]
ripencc,ipv4,185.125.240.0,22,allocated,[203721;IS;Tjaldafell Tjaldafell ehf]
ripencc,ipv4,185.126.60.0,22,allocated,[203715;IS;isa Isavia ohf]
ripencc,ipv4,185.130.12.0,22,allocated,[203590;IS;sensa-as Sensa ehf][201849;IS;SENSA-AS Sensa ehf][43892;IS;BASIS-AS Sensa ehf]
ripencc,ipv4,185.138.172.0,22,allocated,[203322;IS;EIMSKIP-AS Eimskip Island ehf]
ripencc,ipv4,185.147.136.0,22,allocated,[211734;IS;IS-VEGAGERDIN Vegagerdin]
ripencc,ipv4,185.152.116.0,22,allocated,[202868;IS;tsc Nova hf][60259;IS;SIMAFELAGID-ASN Nova hf][51829;IS;KUKL-AS Nova hf][44735;IS;SIP-ASN Nova hf][43571;IS;NOVAIS-AS Nova hf][31410;IS;CORE-GLOBAL-AS Nova hf]
ripencc,ipv4,185.154.116.0,22,allocated,[56704;IS;FARICE-AS Farice ehf]
ripencc,ipv4,185.156.20.0,22,allocated,[205436;IS;aswintermute Wintermute Technologies EHF]
ripencc,ipv4,185.169.188.0,22,allocated,[48685;IS;OK-AS Opin Kerfi hf]
ripencc,ipv4,185.174.176.0,22,allocated,[206842;IS;Tactica Tactica ehf]
ripencc,ipv4,185.177.132.0,22,allocated,[206743;IS;SecuritasIceland Securitas hf.]
ripencc,ipv4,185.179.76.0,22,allocated,[206669;IS;Gagnaveitan Gagnaveitan ehf.]
ripencc,ipv4,185.179.108.0,22,allocated,[60300;IS;Vodafone_Iceland Syn hf][21268;IS;Vodafone_Iceland Syn hf][12969;IS;Vodafone_Iceland Syn hf]
ripencc,ipv4,185.191.232.0,22,allocated,[51896;IS;HRINGDU-AS Hringdu ehf]
ripencc,ipv4,185.198.144.0,22,allocated,[206010;IS;RFS Umbra Service Center Management]
ripencc,ipv4,185.219.148.0,22,allocated,[60690;IS;OPEX-ASN Premis ehf][44275;IS;GS-AS Premis ehf]
ripencc,ipv4,185.221.176.0,22,allocated,[210080;IS;tolvuthjonustan Tolvuthjonustan ehf.]
ripencc,ipv4,185.221.232.0,22,allocated,[57508;IS;AS-ALZA-IS Alza ehf]
ripencc,ipv4,185.236.130.0,24,allocated,[211815;IS;landsvirkjun-as Landsvirkjun]
ripencc,ipv4,185.240.40.0,22,allocated,[204588;IS;protegion Protegion ehf.]
ripencc,ipv4,185.242.186.0,24,allocated,[211757;IS;PANASCAIS Panascais ehf.]
ripencc,ipv4,185.245.172.0,22,allocated,[31441;IS;GR-AS Ljosleidarinn ehf]
ripencc,ipv4,185.248.120.0,22,allocated,[209214;IS;IS-Netheimur Netheimur ehf.]
ripencc,ipv4,193.4.0.0,19,allocated,[60300;IS;Vodafone_Iceland Syn hf][21268;IS;Vodafone_Iceland Syn hf][12969;IS;Vodafone_Iceland Syn hf]
ripencc,ipv4,193.4.32.0,20,allocated,[60300;IS;Vodafone_Iceland Syn hf][21268;IS;Vodafone_Iceland Syn hf][12969;IS;Vodafone_Iceland Syn hf]
ripencc,ipv4,193.4.48.0,21,allocated,[60300;IS;Vodafone_Iceland Syn hf][21268;IS;Vodafone_Iceland Syn hf][12969;IS;Vodafone_Iceland Syn hf]
ripencc,ipv4,193.4.56.0,23,allocated,[60300;IS;Vodafone_Iceland Syn hf][21268;IS;Vodafone_Iceland Syn hf][12969;IS;Vodafone_Iceland Syn hf]
ripencc,ipv4,193.4.60.0,22,allocated,[60300;IS;Vodafone_Iceland Syn hf][21268;IS;Vodafone_Iceland Syn hf][12969;IS;Vodafone_Iceland Syn hf]
ripencc,ipv4,193.4.64.0,18,allocated,[60300;IS;Vodafone_Iceland Syn hf][21268;IS;Vodafone_Iceland Syn hf][12969;IS;Vodafone_Iceland Syn hf]
ripencc,ipv4,193.4.128.0,17,allocated,[60300;IS;Vodafone_Iceland Syn hf][21268;IS;Vodafone_Iceland Syn hf][12969;IS;Vodafone_Iceland Syn hf]
ripencc,ipv4,193.107.84.0,22,allocated,[50613;IS;ThorDC-AS Advania Island ehf][44515;IS;IS-ADVANIA Advania Island ehf][30818;IS;IS-ADVANIA-TRANSIT Advania Island ehf]
ripencc,ipv4,193.243.188.0,24,allocated,[210747;IS;IHOTELS BERJAYA HOTELS ICELAND hf]
ripencc,ipv4,194.105.224.0,19,allocated,[203566;IS;MILAHF-AS2 Mila hf][6677;IS;ICENET-AS1 Mila hf]
ripencc,ipv4,194.144.0.0,16,allocated,[60300;IS;Vodafone_Iceland Syn hf][21268;IS;Vodafone_Iceland Syn hf][12969;IS;Vodafone_Iceland Syn hf]
ripencc,ipv4,212.30.192.0,19,allocated,[203566;IS;MILAHF-AS2 Mila hf][6677;IS;ICENET-AS1 Mila hf]
ripencc,ipv4,212.30.224.0,19,allocated,[50613;IS;ThorDC-AS Advania Island ehf][44515;IS;IS-ADVANIA Advania Island ehf][30818;IS;IS-ADVANIA-TRANSIT Advania Island ehf]
ripencc,ipv4,212.46.60.0,24,allocated,[216260;IS;tsiceland Tech tolvu- og rekstrarla ehf.]
ripencc,ipv4,212.126.224.0,19,allocated,[25244;IS;DECODE-AS deCode genetics Ltd.]
ripencc,ipv4,213.167.128.0,19,allocated,[203566;IS;MILAHF-AS2 Mila hf][6677;IS;ICENET-AS1 Mila hf]
ripencc,ipv4,213.176.128.0,19,allocated,[60300;IS;Vodafone_Iceland Syn hf][21268;IS;Vodafone_Iceland Syn hf][12969;IS;Vodafone_Iceland Syn hf]
ripencc,ipv4,213.181.96.0,19,allocated,[202868;IS;tsc Nova hf][60259;IS;SIMAFELAGID-ASN Nova hf][51829;IS;KUKL-AS Nova hf][44735;IS;SIP-ASN Nova hf][43571;IS;NOVAIS-AS Nova hf][31410;IS;CORE-GLOBAL-AS Nova hf]
ripencc,ipv4,213.190.96.0,19,allocated,[25509;IS;VORTEX-AS Hringidan ehf / Vortex Inc]
