region,version,ip,prefixlength,state,orgsflat
ripencc,ipv4,5.35.160.0,21,allocated,[197094;JE;LLOYDSTSB LLOYDS BANK INTERNATIONAL LIMITED][8681;JE;JT JT (Jersey) Limited]
ripencc,ipv4,5.42.128.0,21,allocated,*
ripencc,ipv4,31.186.112.0,21,allocated,[197094;JE;LLOYDSTSB LLOYDS BANK INTERNATIONAL LIMITED][8681;JE;JT JT (Jersey) Limited]
ripencc,ipv4,37.156.38.0,23,allocated,[197094;JE;LLOYDSTSB LLOYDS BANK INTERNATIONAL LIMITED][8681;JE;JT JT (Jersey) Limited]
ripencc,ipv4,46.254.248.0,21,allocated,*
ripencc,ipv4,81.20.176.0,20,allocated,[41713;JE;NEWTEL-AS Newtel Limited][13208;JE;NEWTELSOLUTIONS-AS Newtel Limited]
ripencc,ipv4,82.112.128.0,19,allocated,[197094;JE;LLOYDSTSB LLOYDS BANK INTERNATIONAL LIMITED][8681;JE;JT JT (Jersey) Limited]
ripencc,ipv4,83.137.248.0,21,allocated,*
ripencc,ipv4,87.237.128.0,21,allocated,[197094;JE;LLOYDSTSB LLOYDS BANK INTERNATIONAL LIMITED][8681;JE;JT JT (Jersey) Limited]
ripencc,ipv4,87.244.64.0,18,allocated,[197094;JE;LLOYDSTSB LLOYDS BANK INTERNATIONAL LIMITED][8681;JE;JT JT (Jersey) Limited]
ripencc,ipv4,93.191.200.0,22,allocated,*
ripencc,ipv4,93.191.204.0,23,allocated,*
ripencc,ipv4,93.191.206.0,23,allocated,*
ripencc,ipv4,109.68.192.0,22,allocated,[197094;JE;LLOYDSTSB LLOYDS BANK INTERNATIONAL LIMITED][8681;JE;JT JT (Jersey) Limited]
ripencc,ipv4,146.19.127.0,24,allocated,*
ripencc,ipv4,173.255.144.0,21,allocated,[204648;JE;CALLIGO Calligo Limited]
ripencc,ipv4,185.3.52.0,22,allocated,[197094;JE;LLOYDSTSB LLOYDS BANK INTERNATIONAL LIMITED][8681;JE;JT JT (Jersey) Limited]
ripencc,ipv4,185.16.68.0,22,allocated,[61143;JE;JERSEY-AIRTEL Jersey Airtel Limited]
ripencc,ipv4,185.48.60.0,22,allocated,*
ripencc,ipv4,185.57.212.0,22,allocated,[41713;JE;NEWTEL-AS Newtel Limited][13208;JE;NEWTELSOLUTIONS-AS Newtel Limited]
ripencc,ipv4,185.87.8.0,22,allocated,[197094;JE;LLOYDSTSB LLOYDS BANK INTERNATIONAL LIMITED][8681;JE;JT JT (Jersey) Limited]
ripencc,ipv4,185.113.12.0,22,allocated,[197094;JE;LLOYDSTSB LLOYDS BANK INTERNATIONAL LIMITED][8681;JE;JT JT (Jersey) Limited]
ripencc,ipv4,185.122.244.0,22,allocated,*
ripencc,ipv4,185.158.120.0,22,allocated,[197094;JE;LLOYDSTSB LLOYDS BANK INTERNATIONAL LIMITED][8681;JE;JT JT (Jersey) Limited]
ripencc,ipv4,185.179.89.0,24,allocated,[200348;JE;SC-Limited SC IP Limited]
ripencc,ipv4,185.179.101.0,24,allocated,*
ripencc,ipv4,185.206.12.0,22,allocated,[197094;JE;LLOYDSTSB LLOYDS BANK INTERNATIONAL LIMITED][8681;JE;JT JT (Jersey) Limited]
ripencc,ipv4,185.235.244.0,24,allocated,*
ripencc,ipv4,188.116.44.0,24,allocated,[211875;JE;GOJ Government of Jersey]
ripencc,ipv4,193.3.239.0,24,allocated,[211875;JE;GOJ Government of Jersey]
ripencc,ipv4,193.17.36.0,22,allocated,[204648;JE;CALLIGO Calligo Limited]
ripencc,ipv4,199.34.116.0,22,allocated,[197094;JE;LLOYDSTSB LLOYDS BANK INTERNATIONAL LIMITED][8681;JE;JT JT (Jersey) Limited]
ripencc,ipv4,199.66.128.0,22,allocated,[197094;JE;LLOYDSTSB LLOYDS BANK INTERNATIONAL LIMITED][8681;JE;JT JT (Jersey) Limited]
ripencc,ipv4,209.251.252.0,23,allocated,[197094;JE;LLOYDSTSB LLOYDS BANK INTERNATIONAL LIMITED][8681;JE;JT JT (Jersey) Limited]
ripencc,ipv4,212.9.0.0,19,allocated,[197094;JE;LLOYDSTSB LLOYDS BANK INTERNATIONAL LIMITED][8681;JE;JT JT (Jersey) Limited]
ripencc,ipv4,213.133.192.0,19,allocated,[41713;JE;NEWTEL-AS Newtel Limited][13208;JE;NEWTELSOLUTIONS-AS Newtel Limited]
ripencc,ipv4,217.198.188.0,24,allocated,[208736;JE;homenet-jersey Homenet Limited]
ripencc,ipv6,2a02:c28::,29,allocated,[197094;JE;LLOYDSTSB LLOYDS BANK INTERNATIONAL LIMITED][8681;JE;JT JT (Jersey) Limited]
ripencc,ipv6,2a01:94a0::,32,allocated,*
ripencc,ipv6,2a01:a400::,32,allocated,[41713;JE;NEWTEL-AS Newtel Limited][13208;JE;NEWTELSOLUTIONS-AS Newtel Limited]
ripencc,ipv6,2a03:d4c0::,32,allocated,[61143;JE;JERSEY-AIRTEL Jersey Airtel Limited]
ripencc,ipv6,2a07:ee40::,29,allocated,[204648;JE;CALLIGO Calligo Limited]
ripencc,ipv6,2a0b:9740::,29,allocated,[206084;JE;velosiot VELOS IOT JERSEY LIMITED]
ripencc,ipv6,2a0d:6700::,29,allocated,*
ripencc,ipv6,2a10:81c0::,32,allocated,[211875;JE;GOJ Government of Jersey]
ripencc,ipv6,2a11:4400::,29,allocated,*
ripencc,ipv6,2a12:8240::,29,allocated,[208736;JE;homenet-jersey Homenet Limited]
ripencc,ipv4,193.201.42.0,24,assigned,*
