region,version,ip,prefixlength,state,orgsflat
arin,ipv4,23.131.208.0,24,allocated,[397382;KN;ECCB-CENTRALBANK - Eastern Caribbean Central Bank]
arin,ipv4,23.137.40.0,24,allocated,[400547;KN;SKNIX-AS-ROUTE-SERVERS - The Government of Saint Kitts and Nevis][396416;KN;SKNIX-SERVICES - The Government of Saint Kitts and Nevis][40249;KN;GOSKN-ICT - The Government of Saint Kitts and Nevis]
arin,ipv4,45.42.252.0,22,allocated,*
arin,ipv4,104.245.228.0,22,allocated,*
arin,ipv4,149.112.30.0,24,allocated,[400547;KN;SKNIX-AS-ROUTE-SERVERS - The Government of Saint Kitts and Nevis][396416;KN;SKNIX-SERVICES - The Government of Saint Kitts and Nevis][40249;KN;GOSKN-ICT - The Government of Saint Kitts and Nevis]
arin,ipv4,170.39.88.0,24,allocated,*
arin,ipv4,173.249.168.0,22,allocated,*
arin,ipv4,198.167.192.0,19,allocated,[54990;KN;AS-1337 - 1337 Services LLC]
arin,ipv4,199.21.164.0,22,allocated,[36290;KN;THECABLE-STKITTS-01 - The Cable of St. Kitts]
arin,ipv4,204.16.8.0,22,allocated,[36290;KN;THECABLE-STKITTS-01 - The Cable of St. Kitts]
arin,ipv4,204.19.200.0,22,allocated,[36290;KN;THECABLE-STKITTS-01 - The Cable of St. Kitts]
arin,ipv4,207.167.92.0,22,allocated,*
arin,ipv4,208.70.92.0,22,allocated,[36290;KN;THECABLE-STKITTS-01 - The Cable of St. Kitts]
arin,ipv4,208.81.160.0,22,allocated,[36290;KN;THECABLE-STKITTS-01 - The Cable of St. Kitts]
arin,ipv4,208.87.144.0,22,allocated,[36290;KN;THECABLE-STKITTS-01 - The Cable of St. Kitts]
arin,ipv4,216.211.197.0,24,allocated,[400547;KN;SKNIX-AS-ROUTE-SERVERS - The Government of Saint Kitts and Nevis][396416;KN;SKNIX-SERVICES - The Government of Saint Kitts and Nevis][40249;KN;GOSKN-ICT - The Government of Saint Kitts and Nevis]
arin,ipv6,2602:fb78::,40,allocated,[400547;KN;SKNIX-AS-ROUTE-SERVERS - The Government of Saint Kitts and Nevis][396416;KN;SKNIX-SERVICES - The Government of Saint Kitts and Nevis][40249;KN;GOSKN-ICT - The Government of Saint Kitts and Nevis]
arin,ipv6,2620:18:c000::,48,allocated,[54990;KN;AS-1337 - 1337 Services LLC]
arin,ipv6,2620:6b:2000::,48,allocated,[397382;KN;ECCB-CENTRALBANK - Eastern Caribbean Central Bank]
