region,version,ip,prefixlength,state,orgsflat
ripencc,ipv4,5.182.132.0,22,allocated,[209068;KW;BKGHC Bukhamseen Group Holding Co]
ripencc,ipv4,31.203.0.0,16,allocated,[42961;KW;GPRS-AS Mobile Telecommunications Company]
ripencc,ipv4,31.214.0.0,17,allocated,[42961;KW;GPRS-AS Mobile Telecommunications Company]
ripencc,ipv4,31.217.224.0,21,allocated,[198392;KW;PICAS-KW Petrochemical Industries Co. /Shareholding Public]
ripencc,ipv4,37.34.128.0,17,allocated,[42961;KW;GPRS-AS Mobile Telecommunications Company]
ripencc,ipv4,37.36.0.0,14,allocated,[42961;KW;GPRS-AS Mobile Telecommunications Company]
ripencc,ipv4,37.231.0.0,16,allocated,[47589;KW;KTC3G Kuwait Telecommunication Company (Under Association)]
ripencc,ipv4,45.15.228.0,22,allocated,[208899;KW;KIPIC Kuwait Integrated Petroleum Industries Company (KIPIC) C.S.C]
ripencc,ipv4,45.66.0.0,22,allocated,[208710;KW;MOFA Ministry of Foreign Affairs]
ripencc,ipv4,45.130.36.0,22,allocated,[208233;KW;ABKUWAIT Al Ahli Bank of Kuwait K.S.C]
ripencc,ipv4,45.158.96.0,22,allocated,[208125;KW;bsalmutawa Office of Heirs of Bader Salem Al Abdul Wahab for General Trading][3225;KW;Gulfnet-Kuwait GULFNET COMMUNICATIONS CO. WLL]
ripencc,ipv4,46.186.128.0,17,allocated,[42961;KW;GPRS-AS Mobile Telecommunications Company]
ripencc,ipv4,62.150.0.0,16,allocated,[9155;KW;Qnet Quality Net General Trading & Contracting Company]
ripencc,ipv4,62.215.0.0,16,allocated,[21050;KW;FAST-TELCO Fast Communication Company Ltd]
ripencc,ipv4,78.89.0.0,16,allocated,[29357;KW;WATANIYATELECOM-AS NATIONAL MOBILE TELECOMMUNICATIONS COMPANY K.S.C.P.]
ripencc,ipv4,78.154.192.0,19,allocated,[9155;KW;Qnet Quality Net General Trading & Contracting Company]
ripencc,ipv4,78.154.224.0,19,allocated,[9155;KW;Qnet Quality Net General Trading & Contracting Company]
ripencc,ipv4,78.159.160.0,19,allocated,[43852;KW;kuwait-data-center Fast Communication Company Ltd]
ripencc,ipv4,80.184.0.0,16,allocated,[201378;KW;ZAJIL02 Zajil International Telecom Company KSCC][42781;KW;ZNETAS-KW Zajil International Telecom Company KSCC]
ripencc,ipv4,83.68.160.0,19,allocated,[205554;KW;KAC Kuwait Airways Corp.]
ripencc,ipv4,83.96.0.0,17,allocated,[21050;KW;FAST-TELCO Fast Communication Company Ltd]
ripencc,ipv4,84.246.72.0,21,allocated,[39504;KW;keoic KEO International Consultants]
ripencc,ipv4,85.239.0.0,19,allocated,[35181;KW;PWC Agility Public Warehousing Company K.S.C.P.]
ripencc,ipv4,87.236.120.0,21,allocated,[41576;KW;kfic Kuwait Finance & Investment Company KSC]
ripencc,ipv4,89.203.0.0,17,allocated,[21050;KW;FAST-TELCO Fast Communication Company Ltd]
ripencc,ipv4,89.251.80.0,20,allocated,[206716;KW;Tawasul_Hybrid Kalaam Telecom Kuwait Closed Joint Stock Company][41669;KW;Tawasul Kalaam Telecom Kuwait Closed Joint Stock Company]
ripencc,ipv4,91.102.32.0,21,allocated,[42642;KW;ASGIC Gulf Investment Corporation]
ripencc,ipv4,91.102.144.0,21,allocated,[203308;KW;PACI-DR-SITE Public Authority for Civil Information][41890;KW;PACI Public Authority for Civil Information]
ripencc,ipv4,91.102.232.0,21,allocated,[196659;KW;NBK-KW NATIONAL BANK OF KUWAIT S.A.K.P]
