region,version,ip,prefixlength,state,orgsflat
arin,ipv4,23.188.0.0,24,allocated,[16437;KY;INFINITY-BROADBAND-LTD - Infinity Broadband Ltd]
arin,ipv4,63.136.112.0,21,allocated,[6639;KY;CWCAYMAN - Cable & Wireless Cayman Islands Ltd.]
arin,ipv4,64.239.32.0,22,allocated,[3402;KY;BR - Butterfly Research]
arin,ipv4,64.239.116.0,22,allocated,[3402;KY;BR - Butterfly Research]
arin,ipv4,74.117.216.0,21,allocated,[4935;KY;DIRECTNIC-ANYCAST1-EASTCOAST - DirectNIC  Ltd.][3962;KY;DOT-HOLDING - DirectNIC  Ltd.]
arin,ipv4,74.222.64.0,19,allocated,[36549;KY;LOGIC-36549 - WestTel Ltd.][21744;KY;WESTTEL LTD DBA LOGIC - WestTel Ltd.][16705;KY;LOGIC-CAYMAN-TELECAYMAN - WestTel Ltd.]
arin,ipv4,76.76.15.0,24,allocated,[399548;KY;SALT-IXP - SALT][398831;KY;SALT-JAM - SALT][398132;KY;SALT-BDA - SALT][397343;KY;SALT-TECH - SALT]
arin,ipv4,138.43.115.0,24,allocated,[399548;KY;SALT-IXP - SALT][398831;KY;SALT-JAM - SALT][398132;KY;SALT-BDA - SALT][397343;KY;SALT-TECH - SALT]
arin,ipv4,138.43.248.0,22,allocated,[399548;KY;SALT-IXP - SALT][398831;KY;SALT-JAM - SALT][398132;KY;SALT-BDA - SALT][397343;KY;SALT-TECH - SALT]
arin,ipv4,149.112.19.0,24,allocated,[399548;KY;SALT-IXP - SALT][398831;KY;SALT-JAM - SALT][398132;KY;SALT-BDA - SALT][397343;KY;SALT-TECH - SALT]
arin,ipv4,161.199.132.0,22,allocated,[16437;KY;INFINITY-BROADBAND-LTD - Infinity Broadband Ltd]
arin,ipv4,162.211.136.0,22,allocated,[6639;KY;CWCAYMAN - Cable & Wireless Cayman Islands Ltd.]
arin,ipv4,162.247.220.0,22,allocated,[16437;KY;INFINITY-BROADBAND-LTD - Infinity Broadband Ltd]
arin,ipv4,162.249.128.0,21,allocated,[36549;KY;LOGIC-36549 - WestTel Ltd.][21744;KY;WESTTEL LTD DBA LOGIC - WestTel Ltd.][16705;KY;LOGIC-CAYMAN-TELECAYMAN - WestTel Ltd.]
arin,ipv4,173.225.208.0,20,allocated,[36549;KY;LOGIC-36549 - WestTel Ltd.][21744;KY;WESTTEL LTD DBA LOGIC - WestTel Ltd.][16705;KY;LOGIC-CAYMAN-TELECAYMAN - WestTel Ltd.]
arin,ipv4,192.0.4.0,22,allocated,[6639;KY;CWCAYMAN - Cable & Wireless Cayman Islands Ltd.]
arin,ipv4,192.160.250.0,24,allocated,[16437;KY;INFINITY-BROADBAND-LTD - Infinity Broadband Ltd]
arin,ipv4,199.201.84.0,22,allocated,[6639;KY;CWCAYMAN - Cable & Wireless Cayman Islands Ltd.]
arin,ipv4,207.211.224.0,21,allocated,[21682;KY;MALBEC-LABS-01 - Malbec Labs]
arin,ipv4,208.82.216.0,22,allocated,[36549;KY;LOGIC-36549 - WestTel Ltd.][21744;KY;WESTTEL LTD DBA LOGIC - WestTel Ltd.][16705;KY;LOGIC-CAYMAN-TELECAYMAN - WestTel Ltd.]
arin,ipv4,208.157.144.0,21,allocated,[6639;KY;CWCAYMAN - Cable & Wireless Cayman Islands Ltd.]
arin,ipv4,208.168.224.0,19,allocated,[6639;KY;CWCAYMAN - Cable & Wireless Cayman Islands Ltd.]
arin,ipv4,209.27.52.0,22,allocated,[6639;KY;CWCAYMAN - Cable & Wireless Cayman Islands Ltd.]
arin,ipv4,209.27.60.0,22,allocated,[6639;KY;CWCAYMAN - Cable & Wireless Cayman Islands Ltd.]
arin,ipv4,216.25.44.0,22,allocated,[53891;KY;0POS - Zero Position]
arin,ipv4,216.25.64.0,22,allocated,[53891;KY;0POS - Zero Position]
arin,ipv4,216.144.80.0,20,allocated,[36549;KY;LOGIC-36549 - WestTel Ltd.][21744;KY;WESTTEL LTD DBA LOGIC - WestTel Ltd.][16705;KY;LOGIC-CAYMAN-TELECAYMAN - WestTel Ltd.]
arin,ipv6,2606:600::,32,allocated,[6639;KY;CWCAYMAN - Cable & Wireless Cayman Islands Ltd.]
arin,ipv6,2602:fb4d::,36,allocated,[13771;KY;DIGICEL-CAYMAN - Digicel Cayman Limited]
arin,ipv6,2604:1780::,32,allocated,[36549;KY;LOGIC-36549 - WestTel Ltd.][21744;KY;WESTTEL LTD DBA LOGIC - WestTel Ltd.][16705;KY;LOGIC-CAYMAN-TELECAYMAN - WestTel Ltd.]
arin,ipv6,2606:b200::,32,allocated,[36549;KY;LOGIC-36549 - WestTel Ltd.][21744;KY;WESTTEL LTD DBA LOGIC - WestTel Ltd.][16705;KY;LOGIC-CAYMAN-TELECAYMAN - WestTel Ltd.]
arin,ipv6,2606:f580::,32,allocated,[16437;KY;INFINITY-BROADBAND-LTD - Infinity Broadband Ltd]
ripencc,ipv4,45.144.204.0,22,allocated,*
ripencc,ipv4,45.152.156.0,22,allocated,*
ripencc,ipv4,185.158.252.0,22,allocated,*
ripencc,ipv4,148.51.0.0,17,assigned,[209321;KY;doublezero-asn DoubleZero Foundation]
ripencc,ipv4,157.207.32.0,22,assigned,*
