region,version,ip,prefixlength,state,orgsflat
apnic,ipv4,43.224.36.0,22,allocated,[133630;LA;LATELECOM-AS-AP Lao Telecommunication IX][9873;LA;TELECOM-LA-AS-AP Lao Telecom Communication  LTC]
apnic,ipv4,43.228.84.0,22,allocated,[58808;LA;SIAMDATACOLTD-AS Siamdata Lao Co. Ltd]
apnic,ipv4,43.252.244.0,22,allocated,[24566;LA;ETL-GPRS-AS-AP ETL GPRS Network][10226;LA;ETL-IX-AS-AP ETL Company Limited]
apnic,ipv4,101.78.8.0,21,allocated,[24566;LA;ETL-GPRS-AS-AP ETL GPRS Network][10226;LA;ETL-IX-AS-AP ETL Company Limited]
apnic,ipv4,103.1.28.0,22,allocated,[131267;LA;UNITEL-LA Star Telecom]
apnic,ipv4,103.1.232.0,22,allocated,[55508;LA;INTERNET-LA Lao National Internet Center LANIC]
apnic,ipv4,103.13.88.0,22,allocated,[24566;LA;ETL-GPRS-AS-AP ETL GPRS Network][10226;LA;ETL-IX-AS-AP ETL Company Limited]
apnic,ipv4,103.26.103.0,24,allocated,[136159;LA;LAODC-AS-AP LAODC LIMITED][132861;LA;LAODC-AS-AP LAO DC IT SOLE COMPANY LIMITED][17804;LA;LAODC-AS-AP Lao Data Center LaoDC]
apnic,ipv4,103.43.76.0,22,allocated,[133630;LA;LATELECOM-AS-AP Lao Telecommunication IX][9873;LA;TELECOM-LA-AS-AP Lao Telecom Communication  LTC]
apnic,ipv4,103.63.188.0,24,allocated,[136159;LA;LAODC-AS-AP LAODC LIMITED][132861;LA;LAODC-AS-AP LAO DC IT SOLE COMPANY LIMITED][17804;LA;LAODC-AS-AP Lao Data Center LaoDC]
apnic,ipv4,103.66.238.0,23,allocated,[150716;LA;ANCTSC-AS-AP AP Network Communication][135068;LA;HODMC-AS-AP HOD Media Co. Ltd]
apnic,ipv4,103.81.180.0,24,allocated,[136159;LA;LAODC-AS-AP LAODC LIMITED][132861;LA;LAODC-AS-AP LAO DC IT SOLE COMPANY LIMITED][17804;LA;LAODC-AS-AP Lao Data Center LaoDC]
apnic,ipv4,103.82.56.0,22,allocated,[136159;LA;LAODC-AS-AP LAODC LIMITED][132861;LA;LAODC-AS-AP LAO DC IT SOLE COMPANY LIMITED][17804;LA;LAODC-AS-AP Lao Data Center LaoDC]
apnic,ipv4,103.95.24.0,22,allocated,[136748;LA;ETERNLAOSCOMMUNICATIONTECHNOLOGYSOLECOLTD-AS-AP Etern Laos Communication Technology Sole Co . Ltd]
apnic,ipv4,103.109.116.0,22,allocated,[38528;LA;LANIC-AS-AP Lao National Internet Committee]
apnic,ipv4,103.114.146.0,23,allocated,[137905;LA;REVO-AS-AP Mangkone Technology Co. Ltd.]
apnic,ipv4,103.137.88.0,22,allocated,[138934;LA;SLTNETWORKCOLTD-AS-AP SLT Network Co. LTD]
apnic,ipv4,103.140.246.0,23,allocated,[139348;LA;LITSSCL-AS-AP Lao International Technology Service Sole Co.  Ltd][139297;LA;LITSSCL-AS-AP Lao International Technology Service Sole Co.  Ltd]
apnic,ipv4,103.145.48.0,24,allocated,[135059;LA;LAPSCL-AS-AP Lao Asia Pacific Satellite Co.  Ltd.]
apnic,ipv4,103.150.74.0,23,allocated,[150297;LA;GDMSCL-AS-AP Global Digital Management Solutions Co Ltd][140631;LA;GDMSCL-AS-AP Global Digital Management Solutions Co Ltd]
apnic,ipv4,103.151.76.0,23,allocated,[140635;LA;THREEC-LINKTECNOLOGYSOLECOLTD-AS-AP 3C Link Technology Sole Co.  Ltd.]
apnic,ipv4,103.174.8.0,23,allocated,[147065;LA;LTCC-AS-AP Lao telecom construction Co. Ltd]
apnic,ipv4,103.205.16.0,22,allocated,[134989;LA;LNCSC-AS-AP Kongtavanh Keodouangsinh ta LAO NET COMMUNICATION SOLE CO.  LTD]
apnic,ipv4,103.228.101.0,24,allocated,[136159;LA;LAODC-AS-AP LAODC LIMITED][132861;LA;LAODC-AS-AP LAO DC IT SOLE COMPANY LIMITED][17804;LA;LAODC-AS-AP Lao Data Center LaoDC]
apnic,ipv4,103.228.252.0,22,allocated,[132513;LA;SKYTELLAO-AS-AP Sky Telecom State Company][24337;LA;SKYTELECOM-AS-AP SkytelecomTransit provider and ISP in Vientiene.]
