region,version,ip,prefixlength,state,orgsflat
apnic,ipv4,43.224.124.0,22,allocated,[132124;LK;ICTA-LK Information and Communication Technology Agency of Sri Lanka]
apnic,ipv4,43.228.108.0,22,allocated,[132045;LK;AIRTEL-AS-ISP Bharti Airtel Lanka Pvt. Limited][45517;LK;AIRTEL-AS-AP Bharti Airtel Lanka Pvt. Limited]
apnic,ipv4,43.250.240.0,22,allocated,[45356;LK;MOBITEL-LK Mobitel Pvt Ltd]
apnic,ipv4,43.252.12.0,22,allocated,[132447;LK;HUTCHISON-LK 234  Galle Road  Colombo 4][17470;LK;HUTCHISON-LK Hutchison Telecommunications Lanka Private Limited]
apnic,ipv4,45.121.88.0,22,allocated,[132447;LK;HUTCHISON-LK 234  Galle Road  Colombo 4][17470;LK;HUTCHISON-LK Hutchison Telecommunications Lanka Private Limited]
apnic,ipv4,61.245.160.0,20,allocated,[45356;LK;MOBITEL-LK Mobitel Pvt Ltd]
apnic,ipv4,101.2.176.0,20,allocated,[132045;LK;AIRTEL-AS-ISP Bharti Airtel Lanka Pvt. Limited][45517;LK;AIRTEL-AS-AP Bharti Airtel Lanka Pvt. Limited]
apnic,ipv4,103.1.176.0,22,allocated,[45338;LK;SLIX Sri Lanka Internet Exchange point][5087;LK;LANKA-COM Lanka Communication Services]
apnic,ipv4,103.2.148.0,22,allocated,[18001;LK;DIALOG-AS Dialog Axiata PLC.][17770;LK;DIALOG-LK Dialog Telekom Plc]
apnic,ipv4,103.2.152.0,22,allocated,[45356;LK;MOBITEL-LK Mobitel Pvt Ltd]
apnic,ipv4,103.11.32.0,22,allocated,[132124;LK;ICTA-LK Information and Communication Technology Agency of Sri Lanka]
apnic,ipv4,103.21.164.0,22,allocated,[132447;LK;HUTCHISON-LK 234  Galle Road  Colombo 4][17470;LK;HUTCHISON-LK Hutchison Telecommunications Lanka Private Limited]
apnic,ipv4,103.77.64.0,22,allocated,[38229;LK;LEARN-LK Lanka Education & Research Network  NREN]
apnic,ipv4,103.84.160.0,22,allocated,*
apnic,ipv4,103.87.12.0,22,allocated,[136420;LK;CUMULUS-AS-AP Dialog Broadband Networks Pvt Ltd.]
apnic,ipv4,103.87.124.0,22,allocated,[138984;LK;SLT-IP-TRANSPORT Sri Lanka Telecom Ltd][131173;LK;SLT-IX-AS SLT-IX Sri Lanka Telecom Internet Exchange][45489;LK;SLT-GLOBAL Sri Lanka Telecom PLC  GLobal Peering][17904;LK;SLTASUL-LK Sri Lankan Airlines][9329;LK;SLTINT-AS-AP Sri Lanka Telecom Internet]
apnic,ipv4,103.96.226.0,23,allocated,*
apnic,ipv4,103.227.244.0,22,allocated,[132045;LK;AIRTEL-AS-ISP Bharti Airtel Lanka Pvt. Limited][45517;LK;AIRTEL-AS-AP Bharti Airtel Lanka Pvt. Limited]
apnic,ipv4,103.247.48.0,22,allocated,[132447;LK;HUTCHISON-LK 234  Galle Road  Colombo 4][17470;LK;HUTCHISON-LK Hutchison Telecommunications Lanka Private Limited]
apnic,ipv4,111.223.128.0,18,allocated,[18001;LK;DIALOG-AS Dialog Axiata PLC.][17770;LK;DIALOG-LK Dialog Telekom Plc]
apnic,ipv4,112.134.0.0,15,allocated,[138984;LK;SLT-IP-TRANSPORT Sri Lanka Telecom Ltd][131173;LK;SLT-IX-AS SLT-IX Sri Lanka Telecom Internet Exchange][45489;LK;SLT-GLOBAL Sri Lanka Telecom PLC  GLobal Peering][17904;LK;SLTASUL-LK Sri Lankan Airlines][9329;LK;SLTINT-AS-AP Sri Lanka Telecom Internet]
apnic,ipv4,113.59.192.0,19,allocated,[45224;LK;BELLNET-AS-AP Lanka Bell Limited]
apnic,ipv4,116.12.64.0,18,allocated,[45338;LK;SLIX Sri Lanka Internet Exchange point][5087;LK;LANKA-COM Lanka Communication Services]
apnic,ipv4,116.204.212.0,22,allocated,[136420;LK;CUMULUS-AS-AP Dialog Broadband Networks Pvt Ltd.]
apnic,ipv4,116.206.20.0,22,allocated,[45338;LK;SLIX Sri Lanka Internet Exchange point][5087;LK;LANKA-COM Lanka Communication Services]
apnic,ipv4,116.206.180.0,22,allocated,[38229;LK;LEARN-LK Lanka Education & Research Network  NREN]
apnic,ipv4,116.206.244.0,22,allocated,[18001;LK;DIALOG-AS Dialog Axiata PLC.][17770;LK;DIALOG-LK Dialog Telekom Plc]
apnic,ipv4,119.235.0.0,20,allocated,[45224;LK;BELLNET-AS-AP Lanka Bell Limited]
