region,version,ip,prefixlength,state,orgsflat
afrinic,ipv4,41.76.16.0,21,allocated,[37057;LS;VODACOM-LESOTHO]
afrinic,ipv4,41.191.200.0,21,allocated,[37057;LS;VODACOM-LESOTHO]
afrinic,ipv4,41.203.176.0,20,allocated,[33767;LS;TELECOM-LESOTHO][33567;LS;TELECOM-LESOTHO]
afrinic,ipv4,102.36.240.0,22,allocated,[328567;LS;LEC-Communications]
afrinic,ipv4,102.214.112.0,22,allocated,*
afrinic,ipv4,129.232.0.0,17,allocated,[33767;LS;TELECOM-LESOTHO][33567;LS;TELECOM-LESOTHO]
afrinic,ipv4,154.66.108.0,22,allocated,[37642;LS;Comnet-Lesotho-AS]
afrinic,ipv4,156.0.0.0,18,allocated,[37057;LS;VODACOM-LESOTHO]
afrinic,ipv4,196.202.240.0,21,allocated,[33767;LS;TELECOM-LESOTHO][33567;LS;TELECOM-LESOTHO]
afrinic,ipv4,197.155.192.0,20,allocated,[33767;LS;TELECOM-LESOTHO][33567;LS;TELECOM-LESOTHO]
afrinic,ipv4,197.189.128.0,18,allocated,[37057;LS;VODACOM-LESOTHO]
afrinic,ipv4,197.220.128.0,19,allocated,[37331;LS;NUL]
afrinic,ipv4,197.231.32.0,19,allocated,[37057;LS;VODACOM-LESOTHO]
afrinic,ipv4,197.254.128.0,18,allocated,[37057;LS;VODACOM-LESOTHO]
afrinic,ipv6,2c0f:3140::,32,allocated,[328567;LS;LEC-Communications]
afrinic,ipv6,2c0f:3480::,32,allocated,*
afrinic,ipv6,2c0f:f130::,32,allocated,[37642;LS;Comnet-Lesotho-AS]
afrinic,ipv6,2c0f:fd00::,32,allocated,[37331;LS;NUL]
afrinic,ipv6,2c0f:fe58::,32,allocated,[33767;LS;TELECOM-LESOTHO][33567;LS;TELECOM-LESOTHO]
afrinic,ipv6,2c0f:ffa8::,32,allocated,[37057;LS;VODACOM-LESOTHO]
afrinic,ipv4,64.57.112.0,20,assigned,[25695;LS;LEO]
afrinic,ipv4,196.4.255.0,24,assigned,[37617;LS;CBoL]
afrinic,ipv4,196.11.175.0,24,assigned,[37505;LS;Lesotho-NIC]
afrinic,ipv4,196.43.249.0,24,assigned,[37505;LS;Lesotho-NIC]
afrinic,ipv4,196.223.24.0,24,assigned,[37299;LS;LIXP]
afrinic,ipv6,2001:43f8:210::,48,assigned,[37299;LS;LIXP]
afrinic,ipv6,2001:43f8:1170::,48,assigned,[37505;LS;Lesotho-NIC]
