region,version,ip,prefixlength,state,orgsflat
ripencc,ipv4,2.58.16.0,22,allocated,[64421;LV;SERTEX-AS SERTEX SIA][31519;LV;SERTEX2-AS SERTEX SIA]
ripencc,ipv4,5.44.216.0,21,allocated,[52173;LV;MAKONIX Sia Nano IT][51109;LV;CAMELHOST-AS Sia Nano IT][48496;LV;EWAY Sia Nano IT][43513;LV;NANO-AS Sia Nano IT][42179;LV;YOURSERVER Sia Nano IT][35254;LV;Baltcom-Fiber-AS Sia Nano IT][20662;LV;MP-ELEKTRONIKA-AS Sia Nano IT]
ripencc,ipv4,5.45.44.0,22,allocated,[201547;LV;LNB National Library of Latvia]
ripencc,ipv4,5.152.224.0,21,allocated,[51955;LV;NIC-LV-ANYCAST-AS Institute of Mathematics and Computer Science of University of Latvia][29345;LV;LUMII Institute of Mathematics and Computer Science of University of Latvia][5538;LV;SigmaNet-NIC Institute of Mathematics and Computer Science of University of Latvia]
ripencc,ipv4,5.179.0.0,19,allocated,[51955;LV;NIC-LV-ANYCAST-AS Institute of Mathematics and Computer Science of University of Latvia][29345;LV;LUMII Institute of Mathematics and Computer Science of University of Latvia][5538;LV;SigmaNet-NIC Institute of Mathematics and Computer Science of University of Latvia]
ripencc,ipv4,31.24.192.0,21,allocated,[210591;LV;STATE-LVRTC-AS VAS  Latvijas Valsts radio un televizijas centrs ][210213;LV;STATE-ICT-AS VAS  Latvijas Valsts radio un televizijas centrs ][47352;LV;GLV-IX VAS  Latvijas Valsts radio un televizijas centrs ][8194;LV;VITA VAS  Latvijas Valsts radio un televizijas centrs ]
ripencc,ipv4,31.42.80.0,20,allocated,[205370;LV;LJA-AS Telenet SIA][198343;LV;TELENET-SIA-AS Telenet SIA][57841;LV;NEOLAIN_IT_AS Telenet SIA][48870;LV;KDC-AS Telenet SIA][43075;LV;TCB_LV Telenet SIA][24589;LV;TELENETSIA-AS Telenet SIA]
ripencc,ipv4,31.131.88.0,22,allocated,[210556;LV;smtpserver NBI SIA][210130;LV;optilanas NBI SIA][209895;LV;kvantanetas NBI SIA][208996;LV;netnams NBI SIA][206923;LV;SPOTRIX NBI SIA][205568;LV;digitalbridge NBI SIA][205445;LV;baltichosting NBI SIA][205045;LV;nbi NBI SIA][204391;LV;nbestihosting NBI SIA][202280;LV;skandinetworks NBI SIA][202263;LV;eternal NBI SIA]
ripencc,ipv4,31.170.16.0,21,allocated,[52173;LV;MAKONIX Sia Nano IT][51109;LV;CAMELHOST-AS Sia Nano IT][48496;LV;EWAY Sia Nano IT][43513;LV;NANO-AS Sia Nano IT][42179;LV;YOURSERVER Sia Nano IT][35254;LV;Baltcom-Fiber-AS Sia Nano IT][20662;LV;MP-ELEKTRONIKA-AS Sia Nano IT]
ripencc,ipv4,31.222.233.0,24,allocated,[210668;LV;spotrixlvl SIA Spotrix]
