region,version,ip,prefixlength,state,orgsflat
arin,ipv4,104.245.112.0,21,allocated,*
arin,ipv4,104.249.191.0,24,allocated,[394873;MQ;DOMSPOT]
ripencc,ipv4,5.102.72.0,21,allocated,[51110;MQ;idomtechnologies-as IDOM TECHNOLOGIES SAS]
ripencc,ipv4,80.243.240.0,20,allocated,[20776;MQ;OUTREMER-AS Outremer Telecom SASU]
ripencc,ipv4,82.197.96.0,19,allocated,[20776;MQ;OUTREMER-AS Outremer Telecom SASU]
ripencc,ipv4,89.16.0.0,19,allocated,[20776;MQ;OUTREMER-AS Outremer Telecom SASU]
ripencc,ipv4,92.49.64.0,18,allocated,[20776;MQ;OUTREMER-AS Outremer Telecom SASU]
ripencc,ipv4,93.176.0.0,18,allocated,[20776;MQ;OUTREMER-AS Outremer Telecom SASU]
ripencc,ipv4,94.124.152.0,21,allocated,[51110;MQ;idomtechnologies-as IDOM TECHNOLOGIES SAS]
ripencc,ipv4,94.124.216.0,21,allocated,[47798;MQ;FR-MTVC Martinique TV Cable SAS]
ripencc,ipv4,94.198.176.0,21,allocated,[48252;MQ;DIGICELFWI DIGICEL ANTILLES FRANCAISES GUYANE SA]
ripencc,ipv4,109.62.0.0,17,allocated,[20776;MQ;OUTREMER-AS Outremer Telecom SASU]
ripencc,ipv4,109.203.224.0,19,allocated,[47798;MQ;FR-MTVC Martinique TV Cable SAS]
ripencc,ipv4,185.13.216.0,22,allocated,[20776;MQ;OUTREMER-AS Outremer Telecom SASU]
ripencc,ipv4,185.14.99.0,24,allocated,*
ripencc,ipv4,185.21.212.0,22,allocated,[48252;MQ;DIGICELFWI DIGICEL ANTILLES FRANCAISES GUYANE SA]
ripencc,ipv4,185.60.232.0,22,allocated,[60046;MQ;CT_Martinique Collectivite Territoriale de Martinique]
ripencc,ipv4,185.91.232.0,22,allocated,[51110;MQ;idomtechnologies-as IDOM TECHNOLOGIES SAS]
ripencc,ipv4,188.115.64.0,18,allocated,[20776;MQ;OUTREMER-AS Outremer Telecom SASU]
ripencc,ipv4,217.175.160.0,20,allocated,[20776;MQ;OUTREMER-AS Outremer Telecom SASU]
ripencc,ipv4,217.175.176.0,20,allocated,[20776;MQ;OUTREMER-AS Outremer Telecom SASU]
ripencc,ipv6,2a02:7460::,32,allocated,[60046;MQ;CT_Martinique Collectivite Territoriale de Martinique]
ripencc,ipv6,2a02:ccc0::,29,allocated,[47798;MQ;FR-MTVC Martinique TV Cable SAS]
ripencc,ipv6,2a03:5b20::,32,allocated,[51110;MQ;idomtechnologies-as IDOM TECHNOLOGIES SAS]
ripencc,ipv6,2a03:e200::,32,allocated,[20776;MQ;OUTREMER-AS Outremer Telecom SASU]
ripencc,ipv6,2a04:11c0::,29,allocated,[48252;MQ;DIGICELFWI DIGICEL ANTILLES FRANCAISES GUYANE SA]
