region,version,ip,prefixlength,state,orgsflat
afrinic,ipv4,41.138.128.0,19,allocated,[37541;MR;CHINGUITEL]
afrinic,ipv4,41.188.64.0,18,allocated,[29544;MR;MAURITEL]
afrinic,ipv4,41.223.96.0,22,allocated,[37508;MR;MATTEL]
afrinic,ipv4,82.151.64.0,19,allocated,[29544;MR;MAURITEL]
afrinic,ipv4,102.214.128.0,22,allocated,[328997;MR;RIMATEL]
afrinic,ipv4,102.214.208.0,22,allocated,[37508;MR;MATTEL]
afrinic,ipv4,102.215.95.0,24,allocated,[329119;MR;A2Ltd-AS]
afrinic,ipv4,102.216.27.0,24,allocated,[329048;MR;NETCOM-AS]
afrinic,ipv4,102.216.216.0,22,allocated,[328997;MR;RIMATEL]
afrinic,ipv4,102.216.228.0,22,allocated,[329004;MR;CONNECTY-SARL]
afrinic,ipv4,102.219.207.0,24,allocated,[328850;MR;CSS-AS]
afrinic,ipv4,197.231.0.0,19,allocated,[37541;MR;CHINGUITEL]
afrinic,ipv6,2c0f:2240::,32,allocated,[328997;MR;RIMATEL]
afrinic,ipv6,2c0f:4e80::,32,allocated,[329048;MR;NETCOM-AS]
afrinic,ipv6,2c0f:f998::,32,allocated,[29544;MR;MAURITEL]
afrinic,ipv4,196.49.18.0,24,assigned,[328008;MR;RIMIX]
afrinic,ipv4,196.223.45.0,24,assigned,[328008;MR;RIMIX]
