region,version,ip,prefixlength,state,orgsflat
afrinic,ipv4,41.70.0.0,17,allocated,[37215;MW;MAREN]
afrinic,ipv4,41.75.112.0,20,allocated,[37187;MW;SKYBAND]
afrinic,ipv4,41.77.8.0,21,allocated,[37098;MW;globe-as]
afrinic,ipv4,41.78.56.0,22,allocated,[37440;MW;Airtel-]
afrinic,ipv4,41.78.216.0,22,allocated,[37713;MW;Access-Communications-Ltd]
afrinic,ipv4,41.78.248.0,22,allocated,[37294;MW;TNM][36913;MW;TELEKOM-NETWORKS-MALAWI]
afrinic,ipv4,41.79.88.0,22,allocated,[37712;MW;Malswitch]
afrinic,ipv4,41.87.0.0,19,allocated,[36969;MW;MTL-AS]
afrinic,ipv4,41.190.92.0,22,allocated,[37187;MW;SKYBAND]
afrinic,ipv4,41.216.228.0,22,allocated,[37098;MW;globe-as]
afrinic,ipv4,41.217.216.0,22,allocated,[37187;MW;SKYBAND]
afrinic,ipv4,41.221.96.0,20,allocated,[36969;MW;MTL-AS]
afrinic,ipv4,41.222.184.0,21,allocated,[37294;MW;TNM][36913;MW;TELEKOM-NETWORKS-MALAWI]
afrinic,ipv4,102.70.0.0,15,allocated,[37294;MW;TNM][36913;MW;TELEKOM-NETWORKS-MALAWI]
afrinic,ipv4,102.218.160.0,22,allocated,[328949;MW;CTNL1-AS]
afrinic,ipv4,102.219.182.0,23,allocated,[328919;MW;OCL-AS]
afrinic,ipv4,102.221.153.0,24,allocated,[328768;MW;Computer-Automation]
afrinic,ipv4,105.234.0.0,16,allocated,[37440;MW;Airtel-]
afrinic,ipv4,129.140.0.0,16,allocated,[37440;MW;Airtel-]
afrinic,ipv4,137.64.0.0,16,allocated,[37440;MW;Airtel-]
afrinic,ipv4,137.115.0.0,16,allocated,[37440;MW;Airtel-]
afrinic,ipv4,137.196.0.0,16,allocated,[37440;MW;Airtel-]
afrinic,ipv4,154.66.120.0,21,allocated,[37098;MW;globe-as]
afrinic,ipv4,168.253.224.0,19,allocated,[37294;MW;TNM][36913;MW;TELEKOM-NETWORKS-MALAWI]
afrinic,ipv4,169.255.52.0,22,allocated,[328844;MW;AFRIMAX-]
afrinic,ipv4,192.145.160.0,22,allocated,[328600;MW;BENGOL_NET-LIMITED-AS]
afrinic,ipv4,196.11.80.0,21,allocated,[327941;MW;SIMBANET-MALAWI]
afrinic,ipv4,196.45.188.0,22,allocated,[33773;MW;nic-mw-as1]
afrinic,ipv4,196.216.8.0,21,allocated,[37294;MW;TNM][36913;MW;TELEKOM-NETWORKS-MALAWI]
afrinic,ipv4,197.211.96.0,19,allocated,[37187;MW;SKYBAND]
afrinic,ipv6,2c0e:7800::,24,allocated,[36969;MW;MTL-AS]
afrinic,ipv6,2c0f:1300::,32,allocated,[37440;MW;Airtel-]
afrinic,ipv6,2c0f:7300::,32,allocated,[328949;MW;CTNL1-AS]
afrinic,ipv6,2c0f:ea60::,32,allocated,[37215;MW;MAREN]
afrinic,ipv6,2c0f:ea80::,32,allocated,[328844;MW;AFRIMAX-]
afrinic,ipv6,2c0f:eba8::,32,allocated,[328600;MW;BENGOL_NET-LIMITED-AS]
afrinic,ipv6,2c0f:edb8::,32,allocated,[33773;MW;nic-mw-as1]
afrinic,ipv6,2c0f:f510::,32,allocated,[327941;MW;SIMBANET-MALAWI]
afrinic,ipv6,2c0f:f9a0::,32,allocated,[37098;MW;globe-as]
afrinic,ipv6,2c0f:fac0::,32,allocated,[37294;MW;TNM][36913;MW;TELEKOM-NETWORKS-MALAWI]
afrinic,ipv6,2c0f:fc48::,32,allocated,[37713;MW;Access-Communications-Ltd]
afrinic,ipv6,2c0f:fc58::,32,allocated,[37294;MW;TNM][36913;MW;TELEKOM-NETWORKS-MALAWI]
afrinic,ipv6,2c0f:fd50::,32,allocated,[37187;MW;SKYBAND]
afrinic,ipv6,2c0f:fde8::,32,allocated,[37712;MW;Malswitch]
afrinic,ipv4,45.221.25.0,24,assigned,[328117;MW;FDH-Bank-AS]
afrinic,ipv4,102.36.145.0,24,assigned,[328565;MW;NBS-Bank-Limited]
afrinic,ipv4,102.130.101.0,24,assigned,[328403;MW;Malawi-Revenue-Authority-AS]
afrinic,ipv4,102.176.250.0,24,assigned,[328300;MW;Malawi-Bank-AS]
afrinic,ipv4,102.213.28.0,22,assigned,[329220;MW;Department-of-E-Government]
afrinic,ipv4,102.213.177.0,24,assigned,
afrinic,ipv4,102.220.250.0,24,assigned,[328811;MW;FCB-AS]
afrinic,ipv4,102.223.95.0,24,assigned,[328738;MW;Youth-Net-Counselling]
afrinic,ipv4,196.32.208.0,21,assigned,[36944;MW;UBUNTU-UNICAST-AS]
afrinic,ipv4,196.49.72.0,24,assigned,[328489;MW;MISPA-MGMT-AS][37651;MW;MIX-AS]
afrinic,ipv4,196.223.27.0,24,assigned,[328489;MW;MISPA-MGMT-AS][37651;MW;MIX-AS]
afrinic,ipv6,2001:43f8:20::,48,assigned,[36944;MW;UBUNTU-UNICAST-AS]
afrinic,ipv6,2001:43f8:380::,48,assigned,[328489;MW;MISPA-MGMT-AS][37651;MW;MIX-AS]
afrinic,ipv6,2001:43f8:1130::,48,assigned,[328300;MW;Malawi-Bank-AS]
afrinic,ipv6,2001:43f8:13a0::,48,assigned,[328489;MW;MISPA-MGMT-AS][37651;MW;MIX-AS]
afrinic,ipv6,2001:43f8:13e0::,48,assigned,[328403;MW;Malawi-Revenue-Authority-AS]
afrinic,ipv6,2001:43f8:1640::,48,assigned,[328738;MW;Youth-Net-Counselling]
afrinic,ipv6,2001:43fc:d000::,48,assigned,[329220;MW;Department-of-E-Government]
afrinic,ipv6,2001:43fd:1000::,48,assigned,
