region,version,ip,prefixlength,state,orgsflat
arin,ipv4,208.78.16.0,22,allocated,[32069;MX;ASN-DWSL1]
lacnic,ipv4,45.5.52.0,22,allocated,[265530;MX;FIBRATV SA DE CV]
lacnic,ipv4,45.5.92.0,22,allocated,[28419;MX;Senal Interactiva  S.A De C.V]
lacnic,ipv4,45.6.60.0,22,allocated,[265505;MX;INTELVID S.A. DE C.V.]
lacnic,ipv4,45.6.140.0,22,allocated,[265531;MX;LUMENET COMUNICACIONES S. DE R.L. DE C.V.]
lacnic,ipv4,45.7.28.0,22,allocated,[28420;MX;ULTRAVISION SA DE CV]
lacnic,ipv4,45.7.44.0,22,allocated,[265534;MX;TELECOMUNICACIONES DIVERSIFICADAS  S.A. DE C.V.]
lacnic,ipv4,45.7.64.0,22,allocated,[270143;MX;MAYSNET SA DE CV]
lacnic,ipv4,45.7.136.0,22,allocated,[265535;MX;Wibo SA de CV]
lacnic,ipv4,45.65.152.0,22,allocated,*
lacnic,ipv4,45.68.64.0,22,allocated,[272395;MX;DE-CIX INTERCONNECTION MEXICO S. DE R.L. DE C.V.][272394;MX;DE-CIX INTERCONNECTION MEXICO S. DE R.L. DE C.V.]
lacnic,ipv4,45.68.68.0,22,allocated,[272398;MX;IX-NN Sociedad Anonima de Capital Variable][28465;MX;IX-NN Sociedad Anonima de Capital Variable]
lacnic,ipv4,45.163.120.0,22,allocated,[265554;MX;HISPASAT MEXICO  S.A. de C.V.]
lacnic,ipv4,45.163.124.0,22,allocated,[265555;MX;Service Trends SA de CV]
lacnic,ipv4,45.164.20.0,22,allocated,*
lacnic,ipv4,45.164.108.0,22,allocated,[270173;MX;INTERNET EXCHANGE SERVICES YUCATAN][28441;MX;INTERNET EXCHANGE SERVICES YUCATAN]
lacnic,ipv4,45.164.136.0,22,allocated,[265556;MX;CONSORTIA TIC S. DE R.L. DE C.V.]
lacnic,ipv4,45.164.168.0,22,allocated,[28427;MX;MOBILE CASHIER SYSTEMS SA DE CV]
lacnic,ipv4,45.164.236.0,22,allocated,[265559;MX;Jose Homero Trevino Villasenor]
lacnic,ipv4,45.166.100.0,22,allocated,[265564;MX;AG HOLDINGS]
lacnic,ipv4,45.166.108.0,22,allocated,*
lacnic,ipv4,45.167.12.0,22,allocated,*
lacnic,ipv4,45.167.92.0,22,allocated,[265561;MX;LANTOINTERNET SA DE CV]
lacnic,ipv4,45.167.112.0,22,allocated,[265562;MX;Cosmored Puerto Vallarta S.A. de C.V.]
lacnic,ipv4,45.167.156.0,22,allocated,*
lacnic,ipv4,45.167.200.0,22,allocated,*
