region,version,ip,prefixlength,state,orgsflat
apnic,ipv4,27.122.0.0,22,allocated,[132079;NC;OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia][18200;NC;OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia]
apnic,ipv4,43.224.192.0,22,allocated,[132079;NC;OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia][18200;NC;OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia]
apnic,ipv4,43.245.212.0,22,allocated,[131995;NC;XLPROG-AS-AP XLPM]
apnic,ipv4,43.255.236.0,22,allocated,[149003;NC;CANL-AS-AP CANL][131248;NC;CANL-AS-GOTV GOTV][17480;NC;CANL CANL]
apnic,ipv4,45.114.232.0,23,allocated,[136402;NC;NTL-NC-AS-AP Nautile SARL][45345;NC;NAUTILE-NC-AS-AP Nautile]
apnic,ipv4,61.5.208.0,20,allocated,[132079;NC;OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia][18200;NC;OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia]
apnic,ipv4,101.101.0.0,18,allocated,[132079;NC;OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia][18200;NC;OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia]
apnic,ipv4,103.2.184.0,22,allocated,[136402;NC;NTL-NC-AS-AP Nautile SARL][45345;NC;NAUTILE-NC-AS-AP Nautile]
apnic,ipv4,103.17.44.0,22,allocated,[56055;NC;MLS-NC Micro Logic Systems]
apnic,ipv4,103.23.52.0,22,allocated,[149003;NC;CANL-AS-AP CANL][131248;NC;CANL-AS-GOTV GOTV][17480;NC;CANL CANL]
apnic,ipv4,103.24.112.0,22,allocated,[56089;NC;OFFRATEL-AS-AP OFFRATEL]
apnic,ipv4,103.29.152.0,22,allocated,[131995;NC;XLPROG-AS-AP XLPM]
apnic,ipv4,103.43.156.0,22,allocated,[132079;NC;OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia][18200;NC;OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia]
apnic,ipv4,103.123.232.0,23,allocated,[134405;NC;DATASERVICESPACIFIC-AS-AP Data Services Pacific][24053;NC;DATASERVICESPACIFIC-AS-AP Data Services Pacific]
apnic,ipv4,103.152.32.0,24,allocated,[140718;NC;EPI-AS-AP ENGIE PACIFIQUE INFORMATIQUE]
apnic,ipv4,103.173.58.0,23,allocated,[147030;NC;MYNET-AS-AP Mynet]
apnic,ipv4,113.20.32.0,20,allocated,[45461;NC;TELENET-AS-AP TeleNet]
apnic,ipv4,113.20.48.0,20,allocated,[45461;NC;TELENET-AS-AP TeleNet]
apnic,ipv4,113.21.96.0,20,allocated,[149003;NC;CANL-AS-AP CANL][131248;NC;CANL-AS-GOTV GOTV][17480;NC;CANL CANL]
apnic,ipv4,113.21.112.0,20,allocated,[149003;NC;CANL-AS-AP CANL][131248;NC;CANL-AS-GOTV GOTV][17480;NC;CANL CANL]
apnic,ipv4,114.69.176.0,20,allocated,[56089;NC;OFFRATEL-AS-AP OFFRATEL]
apnic,ipv4,114.69.192.0,20,allocated,[132079;NC;OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia][18200;NC;OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia]
apnic,ipv4,114.69.208.0,20,allocated,[132079;NC;OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia][18200;NC;OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia]
apnic,ipv4,115.126.160.0,20,allocated,[136402;NC;NTL-NC-AS-AP Nautile SARL][45345;NC;NAUTILE-NC-AS-AP Nautile]
apnic,ipv4,115.126.176.0,20,allocated,[136402;NC;NTL-NC-AS-AP Nautile SARL][45345;NC;NAUTILE-NC-AS-AP Nautile]
apnic,ipv4,118.179.224.0,19,allocated,[56055;NC;MLS-NC Micro Logic Systems]
apnic,ipv4,163.47.224.0,22,allocated,[136402;NC;NTL-NC-AS-AP Nautile SARL][45345;NC;NAUTILE-NC-AS-AP Nautile]
apnic,ipv4,163.47.248.0,22,allocated,[56055;NC;MLS-NC Micro Logic Systems]
apnic,ipv4,175.158.128.0,18,allocated,[56089;NC;OFFRATEL-AS-AP OFFRATEL]
apnic,ipv4,180.214.96.0,19,allocated,[132079;NC;OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia][18200;NC;OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia]
apnic,ipv4,202.22.128.0,19,allocated,[56089;NC;OFFRATEL-AS-AP OFFRATEL]
apnic,ipv4,202.22.224.0,20,allocated,[56055;NC;MLS-NC Micro Logic Systems]
apnic,ipv4,202.87.128.0,19,allocated,[132079;NC;OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia][18200;NC;OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia]
apnic,ipv4,202.166.176.0,21,allocated,[56089;NC;OFFRATEL-AS-AP OFFRATEL]
apnic,ipv4,202.171.64.0,20,allocated,[149003;NC;CANL-AS-AP CANL][131248;NC;CANL-AS-GOTV GOTV][17480;NC;CANL CANL]
apnic,ipv4,203.80.48.0,21,allocated,[56055;NC;MLS-NC Micro Logic Systems]
apnic,ipv4,203.104.48.0,20,allocated,[56089;NC;OFFRATEL-AS-AP OFFRATEL]
apnic,ipv4,203.147.64.0,20,allocated,[149003;NC;CANL-AS-AP CANL][131248;NC;CANL-AS-GOTV GOTV][17480;NC;CANL CANL]
apnic,ipv4,203.147.80.0,21,allocated,[149003;NC;CANL-AS-AP CANL][131248;NC;CANL-AS-GOTV GOTV][17480;NC;CANL CANL]
apnic,ipv4,220.156.160.0,20,allocated,[149003;NC;CANL-AS-AP CANL][131248;NC;CANL-AS-GOTV GOTV][17480;NC;CANL CANL]
apnic,ipv4,223.29.128.0,19,allocated,[45461;NC;TELENET-AS-AP TeleNet]
apnic,ipv4,223.29.160.0,20,allocated,[45461;NC;TELENET-AS-AP TeleNet]
apnic,ipv6,2401:c00::,32,allocated,[149003;NC;CANL-AS-AP CANL][131248;NC;CANL-AS-GOTV GOTV][17480;NC;CANL CANL]
apnic,ipv6,2403:200::,32,allocated,[45461;NC;TELENET-AS-AP TeleNet]
apnic,ipv6,2401:af00::,32,allocated,[131995;NC;XLPROG-AS-AP XLPM]
apnic,ipv6,2404:2200::,32,allocated,[132079;NC;OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia][18200;NC;OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia]
apnic,ipv6,2404:2a00::,32,allocated,[56089;NC;OFFRATEL-AS-AP OFFRATEL]
apnic,ipv6,2404:e400::,32,allocated,[136402;NC;NTL-NC-AS-AP Nautile SARL][45345;NC;NAUTILE-NC-AS-AP Nautile]
apnic,ipv6,2404:e9c0::,32,allocated,[134405;NC;DATASERVICESPACIFIC-AS-AP Data Services Pacific][24053;NC;DATASERVICESPACIFIC-AS-AP Data Services Pacific]
apnic,ipv6,2407:1240::,32,allocated,[141695;NC;PACIFICCOMMUNITY-AS-AP Pacific Community][141197;NC;PACIFICCOMMUNITY-AS-AP Pacific Community]
apnic,ipv6,2407:4a00::,32,allocated,[56055;NC;MLS-NC Micro Logic Systems]
apnic,ipv6,2407:e2c0::,32,allocated,[147030;NC;MYNET-AS-AP Mynet]
apnic,ipv4,103.105.191.0,24,assigned,[137243;NC;ISI-AS-AP INGENIERIE DES SYSTEMES DES INFORMATIONS]
apnic,ipv4,202.0.156.0,22,assigned,[141695;NC;PACIFICCOMMUNITY-AS-AP Pacific Community][141197;NC;PACIFICCOMMUNITY-AS-AP Pacific Community]
apnic,ipv4,203.20.74.0,23,assigned,[149003;NC;CANL-AS-AP CANL][131248;NC;CANL-AS-GOTV GOTV][17480;NC;CANL CANL]
apnic,ipv4,203.34.36.0,24,assigned,[134405;NC;DATASERVICESPACIFIC-AS-AP Data Services Pacific][24053;NC;DATASERVICESPACIFIC-AS-AP Data Services Pacific]
apnic,ipv6,2001:df0:77c0::,48,assigned,[149520;NC;THEMIS-AS-AP THEMIS]
apnic,ipv6,2001:df3:8900::,48,assigned,[137243;NC;ISI-AS-AP INGENIERIE DES SYSTEMES DES INFORMATIONS]
apnic,ipv6,2001:df3:f380::,48,assigned,[140718;NC;EPI-AS-AP ENGIE PACIFIQUE INFORMATIQUE]
