region,version,ip,prefixlength,state,orgsflat
lacnic,ipv4,45.5.216.0,22,allocated,[271938;NI;Gavarrete Guadamuz y Compania Limitada]
lacnic,ipv4,45.170.224.0,22,allocated,[267797;NI;EMPRESA NACIONAL DE TRANSMISION ELECTRICA ENATREL]
lacnic,ipv4,45.182.188.0,24,allocated,[269770;NI;SAYCEL R.P.W. COMPANIA LIMITADA]
lacnic,ipv4,45.238.28.0,22,allocated,*
lacnic,ipv4,131.255.16.0,24,allocated,[271852;NI;SISTEMAS WIFI DE NICARAGUA  S.A.]
lacnic,ipv4,138.97.160.0,22,allocated,[263751;NI;CASAVISION  S.A.]
lacnic,ipv4,138.117.4.0,22,allocated,[263765;NI;XINWEI INTELCOM.NIC  S.A.]
lacnic,ipv4,138.185.28.0,22,allocated,[263817;NI;REDCA - RED CENTROAMERICANA DE TELECOMUNICACIONES]
lacnic,ipv4,138.185.104.0,22,allocated,[263760;NI;Condor Comunicaciones  S.A.]
lacnic,ipv4,143.137.24.0,22,allocated,[52242;NI;Yota De Nicaragua]
lacnic,ipv4,143.202.252.0,22,allocated,[266697;NI;TECOMUNICA NICARAGUA][264609;NI;TECOMUNICA NICARAGUA]
lacnic,ipv4,152.231.32.0,20,allocated,[28036;NI;Telefonia Celular de Nicaragua SA.]
lacnic,ipv4,161.0.32.0,19,allocated,[25607;NI;IBW Communications]
lacnic,ipv4,170.80.16.0,22,allocated,[262243;NI;Ufinet Nicaragua  S.A.]
lacnic,ipv4,170.84.132.0,22,allocated,[263765;NI;XINWEI INTELCOM.NIC  S.A.]
lacnic,ipv4,170.246.152.0,22,allocated,[18840;NI;EQUIPOS Y SISTEMAS S.A.]
lacnic,ipv4,186.1.0.0,18,allocated,[18840;NI;EQUIPOS Y SISTEMAS S.A.]
lacnic,ipv4,186.76.0.0,15,allocated,[7137;NI;TELEMATIX ENITEL]
lacnic,ipv4,190.106.0.0,19,allocated,[19447;NI;ALFANUMERIC]
lacnic,ipv4,190.106.48.0,20,allocated,[25607;NI;IBW Communications]
lacnic,ipv4,190.107.208.0,22,allocated,[262243;NI;Ufinet Nicaragua  S.A.]
lacnic,ipv4,190.124.32.0,21,allocated,*
lacnic,ipv4,190.143.240.0,20,allocated,[28036;NI;Telefonia Celular de Nicaragua SA.]
lacnic,ipv4,190.181.128.0,18,allocated,[52242;NI;Yota De Nicaragua]
lacnic,ipv4,190.184.0.0,18,allocated,[27761;NI;Cablenet S.A]
lacnic,ipv4,190.184.64.0,18,allocated,[27761;NI;Cablenet S.A]
lacnic,ipv4,190.212.0.0,18,allocated,[7137;NI;TELEMATIX ENITEL]
lacnic,ipv4,190.212.64.0,18,allocated,[7137;NI;TELEMATIX ENITEL]
lacnic,ipv4,190.212.128.0,17,allocated,[7137;NI;TELEMATIX ENITEL]
lacnic,ipv4,191.98.224.0,21,allocated,[19447;NI;ALFANUMERIC]
lacnic,ipv4,191.98.232.0,22,allocated,[19447;NI;ALFANUMERIC]
lacnic,ipv4,191.98.236.0,23,allocated,[19447;NI;ALFANUMERIC]
lacnic,ipv4,191.98.238.0,24,allocated,[19447;NI;ALFANUMERIC]
lacnic,ipv4,191.98.240.0,20,allocated,[19447;NI;ALFANUMERIC]
lacnic,ipv4,191.102.48.0,21,allocated,[263177;NI;METRONET S.A.]
lacnic,ipv4,191.103.112.0,20,allocated,[25607;NI;IBW Communications]
lacnic,ipv4,200.62.64.0,19,allocated,[7137;NI;TELEMATIX ENITEL]
lacnic,ipv4,200.62.96.0,19,allocated,[7137;NI;TELEMATIX ENITEL]
lacnic,ipv4,200.85.160.0,20,allocated,[25607;NI;IBW Communications]
lacnic,ipv6,2800:8c0::,32,allocated,[18840;NI;EQUIPOS Y SISTEMAS S.A.]
lacnic,ipv6,2803:180::,32,allocated,[28036;NI;Telefonia Celular de Nicaragua SA.]
lacnic,ipv6,2803:800::,32,allocated,[25607;NI;IBW Communications]
lacnic,ipv6,2803:a40::,32,allocated,[263817;NI;REDCA - RED CENTROAMERICANA DE TELECOMUNICACIONES]
lacnic,ipv6,2803:1040::,32,allocated,[263751;NI;CASAVISION  S.A.]
lacnic,ipv6,2803:14a0::,32,allocated,*
lacnic,ipv6,2803:1640::,32,allocated,[52242;NI;Yota De Nicaragua]
lacnic,ipv6,2803:1c40::,32,allocated,[263760;NI;Condor Comunicaciones  S.A.]
lacnic,ipv6,2803:1e00::,32,allocated,[262243;NI;Ufinet Nicaragua  S.A.]
lacnic,ipv6,2803:2410::,32,allocated,[271852;NI;SISTEMAS WIFI DE NICARAGUA  S.A.]
lacnic,ipv6,2803:2d60::,32,allocated,[7137;NI;TELEMATIX ENITEL]
lacnic,ipv6,2803:6a80::,32,allocated,[263177;NI;METRONET S.A.]
lacnic,ipv6,2803:8610::,32,allocated,[271938;NI;Gavarrete Guadamuz y Compania Limitada]
lacnic,ipv6,2803:8880::,32,allocated,[19447;NI;ALFANUMERIC]
lacnic,ipv6,2803:9140::,32,allocated,[266697;NI;TECOMUNICA NICARAGUA][264609;NI;TECOMUNICA NICARAGUA]
lacnic,ipv6,2803:9840::,32,allocated,[263765;NI;XINWEI INTELCOM.NIC  S.A.]
lacnic,ipv6,2803:b780::,32,allocated,[52501;NI;Newcom Nicaragua  S.A.]
lacnic,ipv6,2803:dfa0::,32,allocated,[267797;NI;EMPRESA NACIONAL DE TRANSMISION ELECTRICA ENATREL]
lacnic,ipv6,2803:ed60::,32,allocated,[269770;NI;SAYCEL R.P.W. COMPANIA LIMITADA]
lacnic,ipv4,45.182.142.0,24,assigned,[263201;NI;AIRPAK INTERNACIONAL NICARAGUA S.A]
lacnic,ipv4,165.98.0.0,16,assigned,[2638;NI;CENTRO DE ADMINISTRACION NIC.]
lacnic,ipv4,192.107.104.0,24,assigned,*
lacnic,ipv4,192.136.42.0,23,assigned,[2638;NI;CENTRO DE ADMINISTRACION NIC.]
lacnic,ipv4,192.136.44.0,22,assigned,[2638;NI;CENTRO DE ADMINISTRACION NIC.]
lacnic,ipv4,200.1.152.0,24,assigned,*
lacnic,ipv4,200.6.55.0,24,assigned,[27905;NI;Banco de Finanzas]
lacnic,ipv4,200.9.187.0,24,assigned,[2638;NI;CENTRO DE ADMINISTRACION NIC.]
lacnic,ipv4,200.9.188.0,22,assigned,[2638;NI;CENTRO DE ADMINISTRACION NIC.]
lacnic,ipv4,200.9.192.0,24,assigned,[2638;NI;CENTRO DE ADMINISTRACION NIC.]
lacnic,ipv4,200.10.205.0,24,assigned,[27999;NI;Banco de la Produccion  S.A.]
lacnic,ipv4,200.11.30.0,24,assigned,[28072;NI;Instituto Nicaraguense de Seguridad Social INSS]
lacnic,ipv4,200.106.247.0,24,assigned,[262185;NI;BANCO LAFISE BANCENTRO  S.A]
lacnic,ipv4,201.131.66.0,24,assigned,[61513;NI;BANCO DE FOMENTO A LA PRODUCCION]
lacnic,ipv4,201.131.115.0,24,assigned,[27999;NI;Banco de la Produccion  S.A.]
lacnic,ipv4,207.248.86.0,24,assigned,[264766;NI;AJA S.A.]
lacnic,ipv6,2800:10::,32,assigned,[2638;NI;CENTRO DE ADMINISTRACION NIC.]
lacnic,ipv6,2801:14:5000::,48,assigned,[264766;NI;AJA S.A.]
lacnic,ipv6,2801:15:8800::,48,assigned,[263201;NI;AIRPAK INTERNACIONAL NICARAGUA S.A]
lacnic,ipv6,2801:1b:e000::,48,assigned,[27999;NI;Banco de la Produccion  S.A.]
lacnic,ipv6,2801:1d:6000::,48,assigned,[61513;NI;BANCO DE FOMENTO A LA PRODUCCION]
