region,version,ip,prefixlength,state,orgsflat
apnic,ipv4,103.86.96.0,22,allocated,[141039;PA;TEFINCOMHOST-AS-AP Packethub s.a.][136787;PA;TEFINCOMSA-AS-AP TEFINCOM S.A.]
apnic,ipv4,103.173.150.0,23,allocated,[147049;AU;PACKETHUBSA-AS-AP PacketHub S.A.]
apnic,ipv4,116.204.192.0,22,allocated,[141039;PA;TEFINCOMHOST-AS-AP Packethub s.a.][136787;PA;TEFINCOMSA-AS-AP TEFINCOM S.A.]
apnic,ipv6,2400:bb40::,32,allocated,[141039;PA;TEFINCOMHOST-AS-AP Packethub s.a.][136787;PA;TEFINCOMSA-AS-AP TEFINCOM S.A.]
apnic,ipv6,2407:e8c0::,32,allocated,[147049;AU;PACKETHUBSA-AS-AP PacketHub S.A.]
lacnic,ipv4,45.169.96.0,24,allocated,[267754;PA;RED CENTROAMERICANA DE TELECOMUNICACIONES S.A]
lacnic,ipv4,45.180.20.0,23,allocated,[273045;PA;DATAHOME S.A.]
lacnic,ipv4,45.181.68.0,22,allocated,[269736;PA;PACIFIC NETWORK COMMUNICATION S.A.]
lacnic,ipv4,45.182.189.0,24,allocated,[273045;PA;DATAHOME S.A.]
lacnic,ipv4,45.185.128.0,22,allocated,[262255;PA;GBM de Panama S.A.]
lacnic,ipv4,45.188.248.0,22,allocated,[269864;PA;COMUNICACIONES METROPOLITANAS  INC]
lacnic,ipv4,45.225.70.0,23,allocated,[265867;PA;Trans Ocean Network]
lacnic,ipv4,45.225.74.0,24,allocated,[265867;PA;Trans Ocean Network]
lacnic,ipv4,45.225.135.0,24,allocated,[64107;PA;RACK SPHERE HOSTING S.A.]
lacnic,ipv4,45.227.252.0,22,allocated,[267784;PA;Flyservers S.A.]
lacnic,ipv4,45.229.56.0,22,allocated,[266692;PA;GEEK NETWORKS  S.A]
lacnic,ipv4,45.229.196.0,22,allocated,[266695;PA;Interfast Panama S.A.]
lacnic,ipv4,45.237.184.0,22,allocated,[266828;PA;DBS NETWORK  S.A.]
lacnic,ipv4,131.72.224.0,22,allocated,[52337;PA;COMUNICACIONES TASION]
lacnic,ipv4,131.100.0.0,22,allocated,*
lacnic,ipv4,131.108.4.0,22,allocated,*
lacnic,ipv4,131.108.20.0,22,allocated,[61491;PA;INNOVA TELECOM]
lacnic,ipv4,131.221.24.0,22,allocated,[27930;PA;Shadwell International Inc]
lacnic,ipv4,138.99.136.0,22,allocated,[61497;PA;VOZELIA SA]
lacnic,ipv4,138.99.144.0,22,allocated,*
lacnic,ipv4,138.118.124.0,22,allocated,[28005;PA;Digicel Panama  S.A]
lacnic,ipv4,138.186.12.0,22,allocated,[263772;PA;TELCO Services S.A.]
lacnic,ipv4,138.186.88.0,22,allocated,[52264;PA;Cable Onda][28063;PA;Cable Onda][27755;PA;Cable Onda][27716;PA;Cable Onda][26105;PA;Cable Onda][21599;PA;Cable Onda][18809;PA;Cable Onda][14709;PA;Cable Onda][10476;PA;Cable Onda]
lacnic,ipv4,138.204.108.0,22,allocated,[263795;PA;PaNETma S.A.]
lacnic,ipv4,143.202.152.0,22,allocated,[264617;PA;GRUPO PANAGLOBAL 15 S.A]
lacnic,ipv4,143.255.156.0,22,allocated,[61511;PA;URL SOLUTIONS INC]
lacnic,ipv4,160.20.246.0,24,allocated,[266811;PA;NYXCOMM S.A. PANAMA]
lacnic,ipv4,164.163.8.0,22,allocated,[265761;PA;IT EXPERTS S.A]
lacnic,ipv4,164.163.244.0,22,allocated,[265803;PA;MULTISERVICES ROBLES  S.A.]
lacnic,ipv4,168.121.128.0,22,allocated,[61491;PA;INNOVA TELECOM]
lacnic,ipv4,168.205.8.0,22,allocated,[264676;PA;Sistemas Inalambricos S.A]
lacnic,ipv4,170.79.108.0,22,allocated,[262218;PA;Servicios de Tecnologias de Informacion de Mision Critica  S.A.]
lacnic,ipv4,170.231.236.0,22,allocated,[264617;PA;GRUPO PANAGLOBAL 15 S.A]
lacnic,ipv4,170.246.220.0,22,allocated,[265654;PA;ENX FUND INC]
lacnic,ipv4,170.247.152.0,22,allocated,[265698;PA;Internet Activo S.A.]
lacnic,ipv4,179.43.128.0,18,allocated,[52288;PA;PRIVATE LAYER INC]
lacnic,ipv4,179.63.192.0,21,allocated,[262248;PA;Metro MPLS]
lacnic,ipv4,181.38.0.0,16,allocated,[262227;PA;Claro Panama S.A.]
lacnic,ipv4,181.174.164.0,22,allocated,[52469;PA;Offshore Racks S.A]
lacnic,ipv4,181.178.0.0,16,allocated,[262227;PA;Claro Panama S.A.]
lacnic,ipv4,181.179.0.0,17,allocated,[262227;PA;Claro Panama S.A.]
lacnic,ipv4,181.179.128.0,17,allocated,[262227;PA;Claro Panama S.A.]
lacnic,ipv4,181.197.0.0,17,allocated,[52264;PA;Cable Onda][28063;PA;Cable Onda][27755;PA;Cable Onda][27716;PA;Cable Onda][26105;PA;Cable Onda][21599;PA;Cable Onda][18809;PA;Cable Onda][14709;PA;Cable Onda][10476;PA;Cable Onda]
