region,version,ip,prefixlength,state,orgsflat
apnic,ipv4,1.37.0.0,16,allocated,[139798;PH;TASKUS-AS-AP LizardBear Tasking Inc][139626;PH;TWOGO-AS-AP 2GO Group  Inc.][132853;PH;PDSHC-AS PHILIPPINE DEALING SYSTEM HOLDINGS CORP][132595;PH;SEEI-AS-AP Solutions Experts and Enablers Inc.][131121;PH;GLOBE-TELECOM-AS Globe Telecom  Inc.][55730;PH;SUNWEST-AS-AP Sunwest Construction & Devt. Corporation][45832;PH;ENDERUN--TRANSIT-AS-AP Enderun Colleges  Inc.][45799;PH;SINONET-TRANSIT-AS-AP Sinonet Technology][45462;PH;ATSC-TRANSIT-AS-AP Aboitiz Transport System Corporation][45343;PH;AYALALAND-TRANSIT-AS-AP AYALA LAND][38822;PH;ACNET-AP Ayala Corporation  Conglomerate][38445;PH;WIPRO-TRANSIT-AS-AP WiPro BPO Philippines LTD Inc.][24451;PH;PDS-GROUP-AS-AP Philippine Dealing System][24179;PH;IMI-AS-AP IMI  Manufacturing Semiconductors and Electronics][24091;PH;INNOVE-MSDDNPLUS-AP Innove Multi-Service Data Network][23689;PH;MAKATISHANGRILA-AS-AP Makati Shangri-La][23606;PH;GLOBE-TELECOM-AS-AP Globe Telecoms][18392;PH;GLOBE-TELECOM-IX Globe Telecom IX Network][4775;PH;GLOBE-TELECOM-AS Globe Telecoms]
apnic,ipv4,2.58.228.0,22,allocated,[135084;PH;DCNBSI-AS-AP DCTV Cable Network Broadband Services Inc][133334;PH;DCNBSI-AS-AP DCTV Cable Network Broadband Services Inc]
apnic,ipv4,14.102.168.0,22,allocated,[135324;PH;IPSTAR-AS-AP IPStar][135305;PH;NEXLOGIC-PH NEXLOGIC TRANSIT AS][135025;PH;NEXLOGIC-AS-AP Nexlogic Telecommunications Network  Inc.]
apnic,ipv4,27.49.0.0,16,allocated,[141391;PH;CONVERGE-BIDA-FIBER BIDA Fiber]
apnic,ipv4,27.50.0.0,22,allocated,[55547;PH;WOODSNET-PH Unit D E F G 28th Floor]
apnic,ipv4,27.106.216.0,21,allocated,[10107;PH;AASTARNET-PH 141 Ayala Street 11th Floor Unit 1108]
apnic,ipv4,27.108.0.0,16,allocated,[131288;PH;BAYAN-AS-AP Bayan Transit AS][55650;PH;CAPITALIQ-PH-AS-AP Capital IQ Information Systems][45782;PH;PHILIPPINEAIRLINES-PH-AP Philippine Airlines Inc.][45622;PH;SKYBB-PILIPINOCABLE-AS-AP SkyBroadband Provincial Network][45156;PH;Q2SEARCH-AS-AP Q2 Search][38811;PH;MAGSAYSAY-AS-AP Magsaysay MaritimeGlobal Process Manager Inc][38741;PH;HELPCENTRIC-AS-AP HelpCenter Inc.][38467;PH;DBAMOYLAN-TRANSIT-AS-AP DBA Moylan][38301;PH;TREC-GLOBAL-AS-AP Trec Global Pacific Transit AS][24505;PH;ABS-CBN-AS ABS-CBN Broadcasting Inc.][24377;PH;BAYANTEL-TANTRA-AS Bayan Telecommunications - Tantra AS][24070;PH;BAYANTEL-IPCORE Bayantel Inc. IP CORE AS number][23680;PH;SOTELCO-AS-AP Southern Telecommunications Company][18016;PH;CAPITOL-UNIVERSITY-AS-PH Capitol Univeristy Cagayan de Oro][10141;PH;DFNN-AS-AP DFNN Group of Companies][6648;PH;BAYAN-TELECOMMUNICATIONS Bayan Telecommunications  Inc.]
apnic,ipv4,27.109.64.0,19,allocated,[45754;PH;CLEARPATH-AS-AP Clear Path Networks Inc]
apnic,ipv4,27.110.128.0,17,allocated,[149519;PH;TRLEI-AS-AP TIGER RESORT LEISURE AND ENTERTAINMENT INC.][147044;PH;TECHMAHINDRA-ASN-PL-AP TECH MAHINDRA][142648;PH;CAVITE-ASN-PL-AP Cavite MBNS Project][141238;PH;QUALFON-ASN-PL-AP Qualfon is a business process outsourcing company providing contact center services for various companies around thew world.][139867;PH;TASKUS-ASN-PL-AP TaskUs is a BPO company.][139710;PH;HGS-ASN-PL-AP Name: HINDUJA GLOBAL SOLUTIONS LIMITED][139639;PH;ETELECONNECT-ASN-PL-AP Directory Assistance BPO Company][139350;PH;SURESTEONLINE-AS-AP Solaire Resort & Casino][139040;PH;CBPSPH-ASN-PL-AP CANON BUSINESS PROCESS SERVICES PHILIPPINES][138445;PH;FELCO-ASN-PL-AP A leading distributor of lighting and electrical devices in the Philippines.][138036;PH;CLOUDSTAFF-ASN-PL-AP Cloudstaff provides world-class outsourcing solutions and high customer satisfaction  all from an enjoyable  family-friendly workplace.][137459;PH;OAMPI-ASN-PL-AP Open Access BPO is an omni-channel customer care and back office support provider serving global internet and technology companies.][137417;PH;CUP-ASN-PL-AP Cambridge University Press is the publishing business of the University of Cambridge in UK][137202;PH;SPI-ASN-PL-AP SPi CRM is a pioneering leader in customer relationship management offering voice  chat  email and social media services][136227;PH;AMS-PL-AP AMS - Shaping the world with sensor solutions.][135499;PH;TIGER-PL-AP A truly world-class casino resort comes to Manila!][134779;PH;PLDT-IBM-AS-AP IBM Philippines  an IT company  providing hardware][134154;PH;PHSITEL-ASN-PL-AP Sitel Philippines Corporation][134140;PH;PLDT-CORPORATEDSL-AP Philippine Long Distance Telephone Co.][133754;PH;PLDT-MERALCO-AP It is the largest electric distribution utility in the Philippines][132803;PH;THUNDERBIRD-PL-AP Thunderbird Resort and Casino][132508;PH;EGS-PL-AP A GLOBAL CUSTOMER SERVICE ORGANIZATION][131180;PH;PLDT-AMLC-AP Anti-Money Laundering Council of the Philippines - PLDT][45664;PH;PLDT-AS-AP Philippine Long Distance Telephone Company][24458;PH;PLDT-IPCORE-AS-AP PLDT IPCORE Backbone AS][17796;PH;PLDT-IP-VPN-AP Philippine Long Distance Telephone Company][9299;PH;IPG-AS-AP Philippine Long Distance Telephone Company][7707;PH;PHIX-AS-AP PHILIPPINE LONG DISTANCE TELEPHONE COMPANY]
apnic,ipv4,27.126.152.0,22,allocated,[152326;PH;RTI-AS-AP RADIUS TELECOMS  INC.][55821;PH;RADIUSTELECOMS-AS-AP RADIUS TELECOMS  INC.]
apnic,ipv4,36.50.30.0,24,allocated,[134564;PH;NETFACTORY-AS-AP NETFACTORY]
apnic,ipv4,36.50.58.0,24,allocated,[152107;PH;FICSC-AS-AP Fiberbro Internet Communication Services Corp.]
apnic,ipv4,36.50.110.0,23,allocated,[152172;PH;PSALMSCABLEINC-AS-AP PSALMS CABLE  INC.]
apnic,ipv4,36.255.60.0,22,allocated,*
apnic,ipv4,43.224.188.0,22,allocated,[141013;PH;RISE-AS-AP Responsible Internet Sustainability Effort][137074;PH;RISE-AS-AP Responsible Internet Sustainability Effort][133584;PH;RISE-AS-AP Responsible Internet Sustainability Effort][23942;PH;GETAFIX GETAFIX IXP]
apnic,ipv4,43.226.4.0,22,allocated,[141013;PH;RISE-AS-AP Responsible Internet Sustainability Effort][137074;PH;RISE-AS-AP Responsible Internet Sustainability Effort][133584;PH;RISE-AS-AP Responsible Internet Sustainability Effort][23942;PH;GETAFIX GETAFIX IXP]
apnic,ipv4,43.231.228.0,22,allocated,[131303;PH;FCCDCI-NET-PH 4F Podium RCBC Plaza Tower I]
apnic,ipv4,43.243.124.0,22,allocated,[140708;PH;IPCDRM-AS-AP Dermalog][133140;PH;IPVG-AS-AP IP-Converge Data Center  Inc.][132913;PH;IPC-IX-AS-AP IPC][132495;PH;ABT-AS AB Tech][132301;JP;NXG-AS C of IPC][132209;PH;IPVG-AS-AP IP-Converge Data Center  Inc.][38581;PH;SKY-LEXI-AS-AP SKY ARROWLEXICON][38539;PH;COIPC-AS-AP C of IPC][38491;PH;BSP-AS-AP Bangko Sentral ng Pilipinas  Manila  Philippines][23930;PH;IPVG-AS-AP IP-Converge Data Center  Inc.]
apnic,ipv4,43.247.16.0,22,allocated,[59334;PH;REMOTESTAFF-AS-AP BlackFiber customer Remote Staff][59322;PH;BFSC-AS Black Fiber Solutions Corporation]
apnic,ipv4,43.250.224.0,22,allocated,[132615;PH;PBATC-AS-AP Pipol Broadband]
apnic,ipv4,43.251.64.0,22,allocated,[134672;PH;AQUOZSOLUTIONSINC-AS-AP Aquoz Solutions Inc]
apnic,ipv4,43.254.60.0,22,allocated,[45578;PH;SPLUNKNET-PH MCPO Box 1906][45504;PH;SPLUNKNET-PH MCPO Box 1906]
apnic,ipv4,43.255.216.0,22,allocated,[59348;PH;SKYCABLE-AS-AP Skycable Corporation][24306;PH;SKYBB-AS-AP SKYBroadband SKYCable Corporation][23944;PH;SKYBB-AS-AP SKYBroadband SKYCable Corporation][17970;PH;SKYBB-AS-AP SKYBroadband SKYCable Corporation][9386;PH;DESTINY-AS-AP Destiny Inc.][6163;PH;SKYBB-AS-AP SKYBroadband SKYCable Corporation]
apnic,ipv4,45.64.80.0,22,allocated,[134170;PH;CAVITE-AS-AP PROVINCIAL GOVERNMENT OF CAVITE][59325;PH;IXS-AS-AP IXSFORALL  INC.]
apnic,ipv4,45.64.120.0,22,allocated,[59235;PH;SMIC-AS-AP SM Investments Corporation][58884;PH;SMPHI-AS-AP SM Prime Holdings  Inc.][58709;PH;AMLC-AS-AP AMLC][58706;PH;XAVIER-AS Xavier School][9927;PH;PHILCOMNET-PH A Multihomed ISP Company]
apnic,ipv4,45.112.82.0,23,allocated,[131235;IN;SYNTELNET-IN Unit 69 SDF III]
apnic,ipv4,45.114.20.0,22,allocated,[139798;PH;TASKUS-AS-AP LizardBear Tasking Inc][139626;PH;TWOGO-AS-AP 2GO Group  Inc.][132853;PH;PDSHC-AS PHILIPPINE DEALING SYSTEM HOLDINGS CORP][132595;PH;SEEI-AS-AP Solutions Experts and Enablers Inc.][131121;PH;GLOBE-TELECOM-AS Globe Telecom  Inc.][55730;PH;SUNWEST-AS-AP Sunwest Construction & Devt. Corporation][45832;PH;ENDERUN--TRANSIT-AS-AP Enderun Colleges  Inc.][45799;PH;SINONET-TRANSIT-AS-AP Sinonet Technology][45462;PH;ATSC-TRANSIT-AS-AP Aboitiz Transport System Corporation][45343;PH;AYALALAND-TRANSIT-AS-AP AYALA LAND][38822;PH;ACNET-AP Ayala Corporation  Conglomerate][38445;PH;WIPRO-TRANSIT-AS-AP WiPro BPO Philippines LTD Inc.][24451;PH;PDS-GROUP-AS-AP Philippine Dealing System][24179;PH;IMI-AS-AP IMI  Manufacturing Semiconductors and Electronics][24091;PH;INNOVE-MSDDNPLUS-AP Innove Multi-Service Data Network][23689;PH;MAKATISHANGRILA-AS-AP Makati Shangri-La][23606;PH;GLOBE-TELECOM-AS-AP Globe Telecoms][18392;PH;GLOBE-TELECOM-IX Globe Telecom IX Network][4775;PH;GLOBE-TELECOM-AS Globe Telecoms]
apnic,ipv4,45.114.132.0,22,allocated,[152326;PH;RTI-AS-AP RADIUS TELECOMS  INC.][55821;PH;RADIUSTELECOMS-AS-AP RADIUS TELECOMS  INC.]
apnic,ipv4,45.115.224.0,22,allocated,[140599;PH;COMFACCORPORATION-AS-AP COMFAC CORPORATION]
apnic,ipv4,45.118.36.0,22,allocated,[141409;PH;VIDYO-AS-AP Vitro Makati][133780;PH;XPLAY-AS-AP 202 Mahogany Tree  Agapito Subdivision  Santolan  Pasig City][133369;PH;PHILWEB-PH The Penthouse  Alphaland Southgate Tower][133039;PH;EPLDTCEBUCLOUD-AS-AP ePLDT Inc.][132206;PH;CLOUDPROJECT-AS-AP ePLDT Inc.][132156;PH;PHILWEB-AS-AP Philweb Corp.][132103;PH;SOFTNYX-AS-AP SOFTNYX-][58809;PH;IT-COREA-AS-AP IT-Corea-NET  Content Provider  Quezon City  Philippines][58756;PH;CPC-AS Cubizone Philippines Corporation][58633;PH;ASIASOFT-AS-AP Asiasoft Online Pte Ltd][58435;PH;NTT-NET_MARBLE DF Interactive Pte. Ltd.][56316;PH;VIX_IPV6 VIX IPV6][56222;PH;INFOCOM-AS-AP IDC Bldg  Canley Road cor. C5  Brgy. Bagong Ilog  Pasig City][56034;PH;AMLC-PH Bangko Sentral ng Pilipinas Complex  Malate Manila 1004 Philippines][55347;PH;SEVEN-O-ONE_SEARCH-PH 701 Search Inc.][45791;PH;RUNUP-PH Runup Game Distribution  Inc][38867;PH;MICROGAMING-PH Gaming firm which wants to peer directly to different][38575;PH;ABS-CBN-MULTIMEDIA-PH ABS-CBN Multimedia][24241;PH;LEVELUP-PH Level Up][24221;PH;EPLDT-AZURE-STACK ePLDT Azure Stack][24131;PH;SMARTMVAS-PH SMART MVAS NETWORK][24094;PH;DMEXCH-PH Digital Media Exchange][24071;PH;GARENA-PHIL-PH Garena Philippines Inc.][9515;PH;SMART-NTT-AS-AP Smart-NTT Multimedia  Inc.][9256;PH;YAHOO-PH Gaming firm which will peer directly with different ISPs in the Philippines][7629;PH;EPLDT-AS-AP 5F L.V. Locsin Bldg]
apnic,ipv4,45.120.108.0,22,allocated,[132199;PH;GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.][23996;PH;GLOBE-MOBILE-AS-AP Globe Telecom  Inc]
apnic,ipv4,45.124.56.0,22,allocated,[135084;PH;DCNBSI-AS-AP DCTV Cable Network Broadband Services Inc][133334;PH;DCNBSI-AS-AP DCTV Cable Network Broadband Services Inc]
