region,version,ip,prefixlength,state,orgsflat
ripencc,ipv4,2.88.0.0,14,allocated,[209421;SA;JED-IX Saudi Telecom Company JSC][41426;SA;SAUDIDATASTC-AS Saudi Telecom Company JSC][39891;SA;ALJAWWALSTC-AS Saudi Telecom Company JSC][39386;SA;STC-IGW-AS Saudi Telecom Company JSC][31177;SA;JED-IX Saudi Telecom Company JSC][25019;SA;SAUDINETSTC-AS Saudi Telecom Company JSC]
ripencc,ipv4,5.41.0.0,16,allocated,[209421;SA;JED-IX Saudi Telecom Company JSC][41426;SA;SAUDIDATASTC-AS Saudi Telecom Company JSC][39891;SA;ALJAWWALSTC-AS Saudi Telecom Company JSC][39386;SA;STC-IGW-AS Saudi Telecom Company JSC][31177;SA;JED-IX Saudi Telecom Company JSC][25019;SA;SAUDINETSTC-AS Saudi Telecom Company JSC]
ripencc,ipv4,5.42.224.0,19,allocated,[48204;SA;ITC-INT-POPS INTEGRATED COMMUNICATIONS COMPANY LIMITED][35753;SA;ITC INTEGRATED COMMUNICATIONS COMPANY LIMITED]
ripencc,ipv4,5.82.0.0,16,allocated,[48237;SA;MOBILY-AS Etihad Etisalat  a joint stock company][35819;SA;Mobily-AS Etihad Etisalat  a joint stock company][34400;SA;ASN-ETTIHADETISALAT Etihad Etisalat  a joint stock company]
ripencc,ipv4,5.108.0.0,14,allocated,[48237;SA;MOBILY-AS Etihad Etisalat  a joint stock company][35819;SA;Mobily-AS Etihad Etisalat  a joint stock company][34400;SA;ASN-ETTIHADETISALAT Etihad Etisalat  a joint stock company]
ripencc,ipv4,5.132.192.0,18,allocated,[48204;SA;ITC-INT-POPS INTEGRATED COMMUNICATIONS COMPANY LIMITED][35753;SA;ITC INTEGRATED COMMUNICATIONS COMPANY LIMITED]
ripencc,ipv4,5.149.128.0,21,allocated,[48204;SA;ITC-INT-POPS INTEGRATED COMMUNICATIONS COMPANY LIMITED][35753;SA;ITC INTEGRATED COMMUNICATIONS COMPANY LIMITED]
ripencc,ipv4,5.156.0.0,16,allocated,[209421;SA;JED-IX Saudi Telecom Company JSC][41426;SA;SAUDIDATASTC-AS Saudi Telecom Company JSC][39891;SA;ALJAWWALSTC-AS Saudi Telecom Company JSC][39386;SA;STC-IGW-AS Saudi Telecom Company JSC][31177;SA;JED-IX Saudi Telecom Company JSC][25019;SA;SAUDINETSTC-AS Saudi Telecom Company JSC]
ripencc,ipv4,5.163.0.0,16,allocated,[209421;SA;JED-IX Saudi Telecom Company JSC][41426;SA;SAUDIDATASTC-AS Saudi Telecom Company JSC][39891;SA;ALJAWWALSTC-AS Saudi Telecom Company JSC][39386;SA;STC-IGW-AS Saudi Telecom Company JSC][31177;SA;JED-IX Saudi Telecom Company JSC][25019;SA;SAUDINETSTC-AS Saudi Telecom Company JSC]
ripencc,ipv4,5.244.0.0,14,allocated,[48237;SA;MOBILY-AS Etihad Etisalat  a joint stock company][35819;SA;Mobily-AS Etihad Etisalat  a joint stock company][34400;SA;ASN-ETTIHADETISALAT Etihad Etisalat  a joint stock company]
ripencc,ipv4,5.253.80.0,22,allocated,[57863;SA;SAIB Saudi Investment Bank JSC]
ripencc,ipv4,31.166.0.0,15,allocated,[48237;SA;MOBILY-AS Etihad Etisalat  a joint stock company][35819;SA;Mobily-AS Etihad Etisalat  a joint stock company][34400;SA;ASN-ETTIHADETISALAT Etihad Etisalat  a joint stock company]
ripencc,ipv4,37.16.32.0,19,allocated,[48237;SA;MOBILY-AS Etihad Etisalat  a joint stock company][35819;SA;Mobily-AS Etihad Etisalat  a joint stock company][34400;SA;ASN-ETTIHADETISALAT Etihad Etisalat  a joint stock company]
