region,version,ip,prefixlength,state,orgsflat
ripencc,ipv4,2.57.64.0,22,allocated,[209070;SK;SECURCOM securCom s.r.o.]
ripencc,ipv4,5.34.168.0,21,allocated,*
ripencc,ipv4,5.178.48.0,20,allocated,[15962;SK;OSK-DNI Orange Slovensko a.s.]
ripencc,ipv4,5.252.32.0,22,allocated,[59796;SK;STORMWALL-AS StormWall s.r.o.][51558;SK;SMTLB-AS StormWall s.r.o.]
ripencc,ipv4,31.3.32.0,19,allocated,*
ripencc,ipv4,31.24.176.0,21,allocated,[204948;SK;carisma Slovanet a.s.][52139;SK;CARISMATV Slovanet a.s.][43451;SK;RADIOLAN-SK-AS Slovanet a.s.][31679;SK;SLOVANET-MICRONET Slovanet a.s.][12426;SK;MADNET-AS Slovanet a.s.][8778;SK;SLOVANET Slovanet a.s.][8290;SK;SLOVANET-WS Slovanet a.s.][8257;SK;SLOVANET-BROADBAND Slovanet a.s.]
ripencc,ipv4,31.24.208.0,21,allocated,[206110;SK;AS-1CL 1 Cloud Lab s.r.o.][31193;SK;VIATELE-AS 1 Cloud Lab s.r.o.][20949;SK;INCOSOFT 1 Cloud Lab s.r.o.][15497;SK;Colocall 1 Cloud Lab s.r.o.]
ripencc,ipv4,31.28.160.0,19,allocated,[206110;SK;AS-1CL 1 Cloud Lab s.r.o.][31193;SK;VIATELE-AS 1 Cloud Lab s.r.o.][20949;SK;INCOSOFT 1 Cloud Lab s.r.o.][15497;SK;Colocall 1 Cloud Lab s.r.o.]
ripencc,ipv4,31.170.64.0,19,allocated,[8887;SK;TESATEL-AS TESATEL  s.r.o.]
ripencc,ipv4,37.9.168.0,21,allocated,[51013;SK;WEBSUPPORT-SRO-SK-AS WebSupport s.r.o.]
ripencc,ipv4,37.58.0.0,20,allocated,*
ripencc,ipv4,37.61.160.0,20,allocated,[57710;SK;KOREX-AS KOREX networks  s.r.o.]
ripencc,ipv4,37.152.96.0,19,allocated,*
ripencc,ipv4,45.13.137.0,24,allocated,[51013;SK;WEBSUPPORT-SRO-SK-AS WebSupport s.r.o.]
ripencc,ipv4,45.13.138.0,23,allocated,[51013;SK;WEBSUPPORT-SRO-SK-AS WebSupport s.r.o.]
ripencc,ipv4,45.66.72.0,22,allocated,[209429;SK;MAX-TELEKOM Max Telekom s.r.o.]
ripencc,ipv4,45.81.40.0,23,allocated,[208882;SK;AS-COOLNET1-SK Automation & Business  s.r.o.][56817;SK;AS-COOLNET2-SK Automation & Business  s.r.o.]
