region,version,ip,prefixlength,state,orgsflat
lacnic,ipv4,45.161.24.0,22,allocated,[266893;SV;MULTIMEDIA NETWORK  S.A. DE C.V.]
lacnic,ipv4,45.162.87.0,24,allocated,[267727;SV;RED CENTROAMERICANA DE TELECOMUNICACIONES  S.A  SUCURSAL EL SALVADOR]
lacnic,ipv4,45.164.207.0,24,allocated,[267709;SV;NABA COM  S.A. DE C.V.]
lacnic,ipv4,45.166.224.0,23,allocated,[265650;SV;Next Generation S.A. DE C.V.]
lacnic,ipv4,45.167.0.0,22,allocated,*
lacnic,ipv4,45.170.28.0,22,allocated,[267752;SV;INTERNET TELECOMUNICATION COMPANY DE GUATEMALA S.A.SUCURSAL EL SALVADOR]
lacnic,ipv4,45.170.232.0,22,allocated,[267768;SV;TELECAM CIENTO CUARENTA  S.A de C.V.]
lacnic,ipv4,45.177.55.0,24,allocated,[267917;SV;B-PRO INNOVACIONES S.A. DE C.V.]
lacnic,ipv4,45.179.196.0,23,allocated,[267917;SV;B-PRO INNOVACIONES S.A. DE C.V.]
lacnic,ipv4,45.180.240.0,22,allocated,[269734;SV;CABLE VISION POR SATELITE S.A. DE C.V.]
lacnic,ipv4,45.181.6.0,24,allocated,[269769;SV;SERVICABLE S.A. DE C.V.]
lacnic,ipv4,45.184.100.0,23,allocated,[269769;SV;SERVICABLE S.A. DE C.V.]
lacnic,ipv4,45.185.30.0,24,allocated,[269837;SV;BLUE FUSION  S.A. DE C.V]
lacnic,ipv4,45.186.108.0,22,allocated,[269815;SV;RED 4G  SA DE CV]
lacnic,ipv4,45.187.210.0,23,allocated,[269837;SV;BLUE FUSION  S.A. DE C.V]
lacnic,ipv4,131.100.140.0,22,allocated,*
lacnic,ipv4,132.255.208.0,22,allocated,[264635;SV;CONECTIVE S.A. DE C.V.]
lacnic,ipv4,138.94.244.0,22,allocated,[265840;SV;SOCIAL MARKETING AND PROMOTIONS S.A. DE C.V.]
lacnic,ipv4,138.97.140.0,22,allocated,*
lacnic,ipv4,138.99.0.0,22,allocated,*
lacnic,ipv4,138.99.180.0,22,allocated,[262199;SV;LIBERTY NETWORKS EL SALVADOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE]
