region,version,ip,prefixlength,state,orgsflat
apnic,ipv6,2403:bcc0::,32,allocated,*
ripencc,ipv4,2.56.60.0,22,allocated,[204097;TR;TTNETDC Yesilbir Bilisim Teknolojileri Bilgisayar Yayincilik Sanayi ve Ticaret Ltd. Sti.][199366;TR;TTNETDC Yesilbir Bilisim Teknolojileri Bilgisayar Yayincilik Sanayi ve Ticaret Ltd. Sti.]
ripencc,ipv4,2.56.152.0,22,allocated,[207709;TR;HIZHOSTING CNC BILISIM HIZMETLERI INSAAT SANAYI VE TICARET LIMITED SIRKETI]
ripencc,ipv4,2.57.188.0,22,allocated,[209189;TR;ATSO Antalya Ticaret ve Sanayi Odasi]
ripencc,ipv4,2.57.238.0,24,allocated,*
ripencc,ipv4,2.58.40.0,22,allocated,[2872;TR;NCTY Netcity Bilisim Teknolojileri Yazilim Internet Ve Iletisim Hizmetleri A.S]
ripencc,ipv4,2.58.140.0,22,allocated,[209171;TR;icisleri Turkiye Cumhuriyeti Icisleri Bakanligi]
ripencc,ipv4,2.59.117.0,24,allocated,[210981;TR;BULDC Mehmet Uzunca][207508;TR;SKYVDS Mehmet Uzunca][203377;TR;FiberNET-Teknoloji-LTD Mehmet Uzunca]
ripencc,ipv4,2.59.119.0,24,allocated,[210981;TR;BULDC Mehmet Uzunca][207508;TR;SKYVDS Mehmet Uzunca][203377;TR;FiberNET-Teknoloji-LTD Mehmet Uzunca]
ripencc,ipv4,5.2.80.0,21,allocated,[202620;TR;HOSTNG Alastyr Telekomunikasyon A.S.][3188;TR;alastyr Alastyr Telekomunikasyon A.S.]
ripencc,ipv4,5.11.128.0,17,allocated,*
ripencc,ipv4,5.23.120.0,21,allocated,*
ripencc,ipv4,5.24.0.0,14,allocated,*
ripencc,ipv4,5.42.202.0,24,allocated,[212598;TR;SFCTEK SFCTEK Bilisim Yazilim ve Telekomunikasyon Hiz. San. ve Tic. LTD. STI.]
ripencc,ipv4,5.44.80.0,20,allocated,[20978;TR;TT_Mobil TT Mobil Iletisim Hizmetleri A.S]
ripencc,ipv4,5.44.144.0,20,allocated,*
ripencc,ipv4,5.46.0.0,15,allocated,[20978;TR;TT_Mobil TT Mobil Iletisim Hizmetleri A.S]
ripencc,ipv4,5.57.215.0,24,allocated,[205351;TR;LIBERYUM Liberyum Danismanlik Bilgi Tek. Tic. A.S.]
ripencc,ipv4,5.104.0.0,20,allocated,[47883;TR;KKTCELL-AS KIBRIS MOBILE TELEKOMUNIKASYON LTD.]
ripencc,ipv4,5.133.100.0,22,allocated,*
ripencc,ipv4,5.133.124.0,22,allocated,*
ripencc,ipv4,5.159.248.0,21,allocated,[59489;TR;ABH2 Anadolu Bilisim Hizmetleri A.S.][41296;TR;ABH Anadolu Bilisim Hizmetleri A.S.]
ripencc,ipv4,5.172.177.0,24,allocated,[56715;TR;DigiTurunc Turunc Smart Bilgisayar Teknoloji Ve Dis Ticaret Limited Sirketi][48011;TR;DigiTurunc Turunc Smart Bilgisayar Teknoloji Ve Dis Ticaret Limited Sirketi]
ripencc,ipv4,5.176.0.0,15,allocated,[20978;TR;TT_Mobil TT Mobil Iletisim Hizmetleri A.S]
ripencc,ipv4,5.180.104.0,22,allocated,[213257;TR;AS213257 Meric Internet Teknolojileri A.S.][209737;TR;AS209737 Meric Internet Teknolojileri A.S.]
ripencc,ipv4,5.180.184.0,22,allocated,*
ripencc,ipv4,5.181.16.0,24,allocated,[210658;TR;TeknobilTelekom TEKNOBIL TELEKOM INTERNET BILISIM VE ILETISIM HIZMETLERI Ltd. Sti.]
ripencc,ipv4,5.181.17.0,24,allocated,[210470;TR;AS48737 nCloud Bilgi Teknolojileri Anonim Sirketi]
ripencc,ipv4,5.181.18.0,23,allocated,[210470;TR;AS48737 nCloud Bilgi Teknolojileri Anonim Sirketi]
ripencc,ipv4,5.181.140.0,22,allocated,*
ripencc,ipv4,5.181.212.0,22,allocated,[209088;TR;enerjisa-uretim Enerjisa Uretim Santralleri A.S.]
ripencc,ipv4,5.182.76.0,22,allocated,[209230;TR;BULUTNET-ASv Bulut Internet Yazilim Ltd. Sti.]
ripencc,ipv4,5.182.244.0,23,allocated,[206119;TR;Veganet-Telekom Veganet Teknolojileri ve Hizmetleri LTD STI][202711;TR;VEGANET Veganet Teknolojileri ve Hizmetleri LTD STI][201713;TR;gaziantepdc Veganet Teknolojileri ve Hizmetleri LTD STI][56980;TR;VEGATELEKOM Veganet Teknolojileri ve Hizmetleri LTD STI]
ripencc,ipv4,5.182.246.0,24,allocated,[206119;TR;Veganet-Telekom Veganet Teknolojileri ve Hizmetleri LTD STI][202711;TR;VEGANET Veganet Teknolojileri ve Hizmetleri LTD STI][201713;TR;gaziantepdc Veganet Teknolojileri ve Hizmetleri LTD STI][56980;TR;VEGATELEKOM Veganet Teknolojileri ve Hizmetleri LTD STI]
ripencc,ipv4,5.182.247.0,24,allocated,[212905;TR;speednet SPEED NET INTERNET ILETISIM HABERLESME TIC.LTD.STI]
