region,version,ip,prefixlength,state,orgsflat
apnic,ipv4,1.34.0.0,15,allocated,*
apnic,ipv4,1.160.0.0,12,allocated,*
apnic,ipv4,1.200.0.0,16,allocated,*
apnic,ipv4,2.58.240.0,22,allocated,*
apnic,ipv4,27.0.152.0,22,allocated,*
apnic,ipv4,27.51.0.0,16,allocated,*
apnic,ipv4,27.52.0.0,15,allocated,*
apnic,ipv4,27.96.224.0,19,allocated,*
apnic,ipv4,27.100.64.0,18,allocated,*
apnic,ipv4,27.105.0.0,16,allocated,*
apnic,ipv4,27.147.0.0,18,allocated,*
apnic,ipv4,27.240.0.0,13,allocated,*
apnic,ipv4,36.50.228.0,23,allocated,*
apnic,ipv4,36.50.248.0,23,allocated,*
apnic,ipv4,36.224.0.0,12,allocated,*
apnic,ipv4,39.1.0.0,16,allocated,*
apnic,ipv4,39.8.0.0,13,allocated,*
apnic,ipv4,42.0.64.0,18,allocated,*
apnic,ipv4,42.64.0.0,12,allocated,*
apnic,ipv4,43.224.20.0,22,allocated,*
apnic,ipv4,43.224.248.0,23,allocated,*
apnic,ipv4,43.226.232.0,22,allocated,[63929;TW;TDCI-AP-AS TWT Digital Communication Inc.]
apnic,ipv4,43.227.24.0,22,allocated,*
apnic,ipv4,43.240.24.0,22,allocated,*
apnic,ipv4,43.240.44.0,22,allocated,*
apnic,ipv4,43.240.104.0,22,allocated,*
apnic,ipv4,43.240.108.0,22,allocated,*
apnic,ipv4,43.240.152.0,22,allocated,*
apnic,ipv4,43.241.32.0,22,allocated,*
apnic,ipv4,43.241.160.0,22,allocated,[132738;TW;SHIH-HSIN-AS-AP Shih-Hsin Cable Television Corporation][9346;TW;CYNEX-AS-AP Cynex Communications Corporation]
apnic,ipv4,43.243.252.0,22,allocated,[132157;TW;TNET-CO-LTD 10F.  No.78  Sec. 2  Chongxin Rd.  Sanchong Dist.][17651;TW;ABOVENET-AS-AP-2 AboveNet Communications Taiwan][17408;TW;ABOVE-AS-AP AboveNet Communications Taiwan]
apnic,ipv4,43.246.188.0,22,allocated,*
