region,version,ip,prefixlength,state,orgsflat
afrinic,ipv4,41.75.160.0,20,allocated,[37113;UG;tangerine-ug-as]
afrinic,ipv4,41.75.176.0,20,allocated,[37113;UG;tangerine-ug-as]
afrinic,ipv4,41.77.72.0,21,allocated,[37063;UG;RTL-AS]
afrinic,ipv4,41.84.192.0,19,allocated,[37273;UG;BCS]
afrinic,ipv4,41.138.208.0,20,allocated,[327692;UG;SMILECOMMS][327690;UG;SMILECOMMS][37122;UG;SMILE-]
afrinic,ipv4,41.191.76.0,22,allocated,[37063;UG;RTL-AS]
afrinic,ipv4,41.202.224.0,19,allocated,[328198;UG;BLUECRANE][36991;UG;Blue-Crane-Communications]
afrinic,ipv4,41.210.128.0,18,allocated,[20294;UG;MTN-]
afrinic,ipv4,41.217.232.0,21,allocated,[37113;UG;tangerine-ug-as]
afrinic,ipv4,41.220.0.0,20,allocated,[36901;UG;DATANET][23549;UG;DATA-IXP]
afrinic,ipv4,41.220.208.0,20,allocated,[36901;UG;DATANET][23549;UG;DATA-IXP]
afrinic,ipv4,41.221.80.0,20,allocated,[37075;UG;ZAINUGAS][36977;UG;Airtel-]
afrinic,ipv4,41.223.84.0,22,allocated,[37075;UG;ZAINUGAS][36977;UG;Airtel-]
afrinic,ipv4,45.221.8.0,22,allocated,[328118;UG;East-Africa-Broadband-Services-AS]
afrinic,ipv4,45.221.72.0,21,allocated,[37689;UG;SNU-NET-AS]
afrinic,ipv4,102.34.0.0,16,allocated,[327687;UG;RENU]
afrinic,ipv4,102.36.216.0,21,allocated,[37689;UG;SNU-NET-AS]
afrinic,ipv4,102.68.172.0,22,allocated,[328015;UG;Sombha-Solutions]
afrinic,ipv4,102.80.0.0,13,allocated,[37075;UG;ZAINUGAS][36977;UG;Airtel-]
afrinic,ipv4,102.134.140.0,22,allocated,[328408;UG;HAMILTON-TELECOM-AS]
afrinic,ipv4,102.208.68.0,22,allocated,*
afrinic,ipv4,102.208.84.0,22,allocated,[329464;UG;OGOS-INNO-TECH]
afrinic,ipv4,102.209.108.0,22,allocated,[329415;UG;Savanna-Fibre-Limited]
afrinic,ipv4,102.209.128.0,22,allocated,[37689;UG;SNU-NET-AS]
afrinic,ipv4,102.209.200.0,22,allocated,[327724;UG;NITA]
afrinic,ipv4,102.210.108.0,22,allocated,[329377;UG;Hqzen-tech]
afrinic,ipv4,102.211.60.0,22,allocated,[37689;UG;SNU-NET-AS]
afrinic,ipv4,102.211.168.0,22,allocated,[327727;UG;C-SQUARED]
afrinic,ipv4,102.213.192.0,22,allocated,[329253;UG;CSL5-AS]
afrinic,ipv4,102.214.148.0,22,allocated,*
afrinic,ipv4,102.215.44.0,22,allocated,[329137;UG;GUL1-AS]
afrinic,ipv4,102.215.108.0,22,allocated,[328727;UG;KAMPALA-SITI-CABLE]
afrinic,ipv4,102.215.164.0,22,allocated,*
afrinic,ipv4,102.216.144.0,22,allocated,*
afrinic,ipv4,102.216.148.0,22,allocated,[37689;UG;SNU-NET-AS]
afrinic,ipv4,102.217.52.0,23,allocated,[329005;UG;CNL4-AS]
afrinic,ipv4,102.217.56.0,22,allocated,*
afrinic,ipv4,102.218.36.0,22,allocated,*
afrinic,ipv4,102.218.88.0,22,allocated,[328939;UG;SIL6-AS]
afrinic,ipv4,102.218.108.0,22,allocated,*
afrinic,ipv4,102.219.72.0,23,allocated,[37063;UG;RTL-AS]
afrinic,ipv4,102.219.100.0,22,allocated,*
afrinic,ipv4,102.220.92.0,22,allocated,*
afrinic,ipv4,102.220.156.0,23,allocated,[328821;UG;RAXIO-AS]
afrinic,ipv4,102.222.68.0,22,allocated,*
afrinic,ipv4,102.222.152.0,22,allocated,[328707;UG;Al-Bayan-Media]
afrinic,ipv4,102.222.232.0,22,allocated,[328727;UG;KAMPALA-SITI-CABLE]
afrinic,ipv4,102.223.88.0,22,allocated,[37075;UG;ZAINUGAS][36977;UG;Airtel-]
afrinic,ipv4,102.223.216.0,22,allocated,[328616;UG;Spidd-Africa]
afrinic,ipv4,129.205.0.0,19,allocated,[37063;UG;RTL-AS]
afrinic,ipv4,137.63.128.0,17,allocated,[327687;UG;RENU]
afrinic,ipv4,154.0.128.0,20,allocated,[37063;UG;RTL-AS]
afrinic,ipv4,154.66.216.0,22,allocated,[37689;UG;SNU-NET-AS]
afrinic,ipv4,154.72.16.0,22,allocated,[327727;UG;C-SQUARED]
afrinic,ipv4,154.72.192.0,19,allocated,[327724;UG;NITA]
afrinic,ipv4,154.224.0.0,13,allocated,[37075;UG;ZAINUGAS][36977;UG;Airtel-]
afrinic,ipv4,160.119.148.0,22,allocated,[328198;UG;BLUECRANE][36991;UG;Blue-Crane-Communications]
afrinic,ipv4,160.242.128.0,18,allocated,[327692;UG;SMILECOMMS][327690;UG;SMILECOMMS][37122;UG;SMILE-]
afrinic,ipv4,164.160.4.0,22,allocated,[328015;UG;Sombha-Solutions]
afrinic,ipv4,196.0.0.0,16,allocated,[36876;UG;UG-Telecom]
afrinic,ipv4,196.43.128.0,18,allocated,[327687;UG;RENU]
afrinic,ipv4,197.157.0.0,18,allocated,[328198;UG;BLUECRANE][36991;UG;Blue-Crane-Communications]
