region,version,ip,prefixlength,state,orgsflat
apnic,ipv4,14.1.64.0,19,allocated,*
apnic,ipv4,27.100.36.0,22,allocated,[142561;US;XTDEF-LIMITED-AS-AP XTDEF Limited][141781;US;WAHWAY-AS-AP WAHWAY DATA NETWORKS  INC.][141706;US;KOISHI-NETWORK-AS-AP Koishi Network][141021;US;GEEDGENET-AS-AP GeedgeNet][140733;HK;WUJIDUN-AS-AP Wujidun Network Limited][139677;SG;TIM-DETTMAR-AS-AP Tim Dettmar][139073;CN;FSIX-AS-AP Fantasy Sky Internet eXchange][138632;JP;ENMOE-AS-AP Enmoe Network][138631;HK;ECLIPHP-AS-AP EcliPHP.ORG][138564;HK;GAOSHI-CLOUD Gaoshi Cloud][137256;CN;CATIO-NETWORK-AS-AP CatIO Network][137219;AU;MELTUS-NETWORKS-AS-AP Meltus Networks][135646;CN;AS-LUGINBASH-AP Luginbash AS][134997;HK;YFNET-AS-AP YFNET][134496;AU;STELCH-AS-AP Stelch][133846;CN;IMLONGHAO-AS-AP IMLONGHAO][133072;AU;LIMEWAVE Limewave Communications][7489;HK;HOSTUS-GLOBAL-AS HostUS]
apnic,ipv4,36.50.2.0,24,allocated,[152117;AU;EDGEVANAINC-AS-AP Edgevana]
apnic,ipv4,36.50.32.0,23,allocated,*
apnic,ipv4,36.255.24.0,22,allocated,[135085;US;HOSTWINDSLLC-AS-AP Hostwinds LLC]
apnic,ipv4,43.198.0.0,15,allocated,[38895;JP;AMAZON-AS-AP Amazon.com Tech Telecom]
apnic,ipv4,43.200.0.0,13,allocated,[38895;JP;AMAZON-AS-AP Amazon.com Tech Telecom]
apnic,ipv4,43.208.0.0,13,allocated,[38895;JP;AMAZON-AS-AP Amazon.com Tech Telecom]
apnic,ipv4,43.216.0.0,14,allocated,[38895;JP;AMAZON-AS-AP Amazon.com Tech Telecom]
apnic,ipv4,43.220.0.0,15,allocated,[38895;JP;AMAZON-AS-AP Amazon.com Tech Telecom]
apnic,ipv4,43.224.28.0,22,allocated,[137933;US;HOMERHOST-AS-AP CyberForest LLC.][136209;AP;CYBERFORESTLLC-AS-AP CyberForest LLC.][64013;US;CYBERFORESTLLC-AS-AP CyberForest LLC.]
apnic,ipv4,43.227.112.0,22,allocated,[137933;US;HOMERHOST-AS-AP CyberForest LLC.][136209;AP;CYBERFORESTLLC-AS-AP CyberForest LLC.][64013;US;CYBERFORESTLLC-AS-AP CyberForest LLC.]
apnic,ipv4,43.231.8.0,22,allocated,[137933;US;HOMERHOST-AS-AP CyberForest LLC.][136209;AP;CYBERFORESTLLC-AS-AP CyberForest LLC.][64013;US;CYBERFORESTLLC-AS-AP CyberForest LLC.]
apnic,ipv4,43.239.249.0,24,allocated,*
apnic,ipv4,43.245.48.0,22,allocated,[133183;US;NETACTUATE-AS-AP NetActuate  Inc][63911;US;NETACTUATE-AS-AP NetActuate  Inc]
apnic,ipv4,43.251.180.0,22,allocated,[38895;JP;AMAZON-AS-AP Amazon.com Tech Telecom]
apnic,ipv4,45.112.180.0,22,allocated,*
apnic,ipv4,45.114.92.0,22,allocated,[137933;US;HOMERHOST-AS-AP CyberForest LLC.][136209;AP;CYBERFORESTLLC-AS-AP CyberForest LLC.][64013;US;CYBERFORESTLLC-AS-AP CyberForest LLC.]
apnic,ipv4,45.117.144.0,22,allocated,[137933;US;HOMERHOST-AS-AP CyberForest LLC.][136209;AP;CYBERFORESTLLC-AS-AP CyberForest LLC.][64013;US;CYBERFORESTLLC-AS-AP CyberForest LLC.]
apnic,ipv4,45.119.252.0,22,allocated,[137933;US;HOMERHOST-AS-AP CyberForest LLC.][136209;AP;CYBERFORESTLLC-AS-AP CyberForest LLC.][64013;US;CYBERFORESTLLC-AS-AP CyberForest LLC.]
apnic,ipv4,45.120.76.0,22,allocated,[137933;US;HOMERHOST-AS-AP CyberForest LLC.][136209;AP;CYBERFORESTLLC-AS-AP CyberForest LLC.][64013;US;CYBERFORESTLLC-AS-AP CyberForest LLC.]
apnic,ipv4,45.120.104.0,22,allocated,[151471;US;KYNDRYLINC-AS-AP Kyndryl INC][37935;US;KYNDRYLINC-AS-AP Kyndryl INC][24300;US;KYNDRYLINC-AS-AP Kyndryl INC][9460;US;KYNDRYLINC-AS-AP Kyndryl INC]
apnic,ipv4,45.130.164.0,22,allocated,[64022;HK;KAMATERAINC-AS-AP Kamatera  Inc.]
apnic,ipv4,45.135.48.0,22,allocated,[149286;US;NETINNOVATIONLLC-AS-AP net innovation llc][34985;US;NETINNOVATIONLLC-AS-AP Net Innovation LLC][23865;US;NETINNOVATIONLLC-AS-AP Net Innovation LLC]
apnic,ipv4,45.151.152.0,22,allocated,[64022;HK;KAMATERAINC-AS-AP Kamatera  Inc.]
apnic,ipv4,45.248.44.0,22,allocated,*
