region,version,ip,prefixlength,state,orgsflat
apnic,ipv4,45.253.248.0,21,allocated,[139750;HK;IDCSERVICESNETINC-AS-AP IDCServices.net Inc]
apnic,ipv4,103.144.140.0,23,allocated,[139750;HK;IDCSERVICESNETINC-AS-AP IDCServices.net Inc]
apnic,ipv6,2405:6e40::,32,allocated,[139750;HK;IDCSERVICESNETINC-AS-AP IDCServices.net Inc]
arin,ipv4,23.130.224.0,24,allocated,[32242;VG;ULTRA-KING]
arin,ipv4,23.136.96.0,24,allocated,[393430;VG;BVIX-ROUTE-SERVERS][14694;VG;BVIX-SERVICES]
arin,ipv4,23.137.112.0,24,allocated,[397636;VG;IMS-001]
arin,ipv4,23.189.176.0,24,allocated,[396357;VG;BVI-DIG]
arin,ipv4,66.81.192.0,20,allocated,[40034;VG;CONFLUENCE-NETWORK-INC]
arin,ipv4,68.65.216.0,23,allocated,[396357;VG;BVI-DIG]
arin,ipv4,72.46.24.0,22,allocated,
arin,ipv4,74.113.104.0,22,allocated,[22069;VG;CARIB-23]
arin,ipv4,98.158.96.0,20,allocated,*
arin,ipv4,104.219.72.0,22,allocated,*
arin,ipv4,104.245.88.0,22,allocated,*
arin,ipv4,104.254.96.0,23,allocated,[40034;VG;CONFLUENCE-NETWORK-INC]
arin,ipv4,104.254.124.0,22,allocated,*
arin,ipv4,142.54.20.0,22,allocated,[395692;VG;FUSIONMEDIA-US]
arin,ipv4,161.199.207.0,24,allocated,[396357;VG;BVI-DIG]
arin,ipv4,161.199.208.0,24,allocated,[396357;VG;BVI-DIG]
arin,ipv4,162.210.68.0,23,allocated,[40034;VG;CONFLUENCE-NETWORK-INC]
arin,ipv4,162.218.24.0,22,allocated,[54299;VG;MUSCAT]
arin,ipv4,162.222.224.0,24,allocated,[40034;VG;CONFLUENCE-NETWORK-INC]
arin,ipv4,162.251.87.0,24,allocated,[40034;VG;CONFLUENCE-NETWORK-INC]
arin,ipv4,162.255.144.0,22,allocated,[40809;VG;PRIMEXM-NETWORKS]
arin,ipv4,170.39.24.0,22,allocated,[33229;VG;ANY2CLOUD]
arin,ipv4,172.102.0.0,22,allocated,[32242;VG;ULTRA-KING]
arin,ipv4,199.79.60.0,23,allocated,[40034;VG;CONFLUENCE-NETWORK-INC]
arin,ipv4,199.91.96.0,21,allocated,[54299;VG;MUSCAT]
arin,ipv4,199.191.50.0,23,allocated,[40034;VG;CONFLUENCE-NETWORK-INC]
arin,ipv4,199.204.232.0,21,allocated,[22069;VG;CARIB-23]
arin,ipv4,204.11.56.0,23,allocated,[40034;VG;CONFLUENCE-NETWORK-INC]
arin,ipv4,206.71.15.0,24,allocated,[393430;VG;BVIX-ROUTE-SERVERS][14694;VG;BVIX-SERVICES]
arin,ipv4,206.81.110.0,24,allocated,[393430;VG;BVIX-ROUTE-SERVERS][14694;VG;BVIX-SERVICES]
arin,ipv4,208.64.44.0,22,allocated,[36158;VG;DEV8E]
arin,ipv4,208.73.208.0,22,allocated,
arin,ipv4,208.91.196.0,23,allocated,[40034;VG;CONFLUENCE-NETWORK-INC]
arin,ipv6,2602:fd2f::,36,allocated,[33229;VG;ANY2CLOUD]
arin,ipv6,2602:fdc7::,36,allocated,[397636;VG;IMS-001]
arin,ipv6,2604:10c0::,32,allocated,[40034;VG;CONFLUENCE-NETWORK-INC]
arin,ipv6,2605:7f40::,32,allocated,[396357;VG;BVI-DIG]
arin,ipv6,2001:504:93::,48,allocated,[393430;VG;BVIX-ROUTE-SERVERS][14694;VG;BVIX-SERVICES]
arin,ipv6,2620:1e:a000::,48,allocated,*
arin,ipv6,2620:48:a000::,48,allocated,[32242;VG;ULTRA-KING]
arin,ipv6,2620:4e:2000::,48,allocated,[393430;VG;BVIX-ROUTE-SERVERS][14694;VG;BVIX-SERVICES]
arin,ipv6,2620:e1:c000::,48,allocated,[395692;VG;FUSIONMEDIA-US]
ripencc,ipv4,2.56.144.0,22,allocated,*
ripencc,ipv4,5.35.168.0,21,allocated,[58143;VG;MEDIABRIDGE-AS MEDIABRIDGE UNITED LTD.]
ripencc,ipv4,31.14.25.0,24,allocated,[48095;VG;XTGLOBAL XT GLOBAL NETWORKS LTD.]
ripencc,ipv4,45.8.176.0,22,allocated,[200313;VG;internet-it IT WEB LTD]
ripencc,ipv4,45.12.32.0,22,allocated,[200313;VG;internet-it IT WEB LTD]
ripencc,ipv4,45.83.120.0,22,allocated,[200313;VG;internet-it IT WEB LTD]
ripencc,ipv4,45.88.0.0,22,allocated,[200313;VG;internet-it IT WEB LTD]
ripencc,ipv4,45.133.200.0,22,allocated,[200313;VG;internet-it IT WEB LTD]
ripencc,ipv4,45.142.0.0,22,allocated,[200313;VG;internet-it IT WEB LTD]
ripencc,ipv4,45.143.12.0,22,allocated,[208361;VG;IXW Internexus Networks Limited]
ripencc,ipv4,45.148.144.0,22,allocated,[200313;VG;internet-it IT WEB LTD]
ripencc,ipv4,45.159.92.0,22,allocated,[200313;VG;internet-it IT WEB LTD]
ripencc,ipv4,46.17.72.0,21,allocated,[51910;VG;TWW-AS Teltac WorldWide INC]
ripencc,ipv4,46.243.0.0,21,allocated,[209929;VG;AWMLT AWM LAB LTD]
ripencc,ipv4,89.36.173.0,24,allocated,[48095;VG;XTGLOBAL XT GLOBAL NETWORKS LTD.]
ripencc,ipv4,89.36.174.0,24,allocated,[48095;VG;XTGLOBAL XT GLOBAL NETWORKS LTD.]
ripencc,ipv4,89.38.152.0,23,allocated,[48095;VG;XTGLOBAL XT GLOBAL NETWORKS LTD.]
ripencc,ipv4,89.38.154.0,24,allocated,[48095;VG;XTGLOBAL XT GLOBAL NETWORKS LTD.]
ripencc,ipv4,89.38.232.0,23,allocated,[48095;VG;XTGLOBAL XT GLOBAL NETWORKS LTD.]
ripencc,ipv4,89.40.96.0,22,allocated,[48095;VG;XTGLOBAL XT GLOBAL NETWORKS LTD.]
ripencc,ipv4,89.42.160.0,22,allocated,[48095;VG;XTGLOBAL XT GLOBAL NETWORKS LTD.]
ripencc,ipv4,89.44.80.0,23,allocated,[48095;VG;XTGLOBAL XT GLOBAL NETWORKS LTD.]
ripencc,ipv4,89.44.83.0,24,allocated,[48095;VG;XTGLOBAL XT GLOBAL NETWORKS LTD.]
ripencc,ipv4,89.44.84.0,22,allocated,[48095;VG;XTGLOBAL XT GLOBAL NETWORKS LTD.]
ripencc,ipv4,89.46.38.0,24,allocated,[48095;VG;XTGLOBAL XT GLOBAL NETWORKS LTD.]
ripencc,ipv4,89.46.240.0,23,allocated,[48095;VG;XTGLOBAL XT GLOBAL NETWORKS LTD.]
ripencc,ipv4,89.46.243.0,24,allocated,[48095;VG;XTGLOBAL XT GLOBAL NETWORKS LTD.]
ripencc,ipv4,89.46.244.0,23,allocated,[48095;VG;XTGLOBAL XT GLOBAL NETWORKS LTD.]
ripencc,ipv4,89.46.246.0,24,allocated,[48095;VG;XTGLOBAL XT GLOBAL NETWORKS LTD.]
ripencc,ipv4,89.47.171.0,24,allocated,[48095;VG;XTGLOBAL XT GLOBAL NETWORKS LTD.]
ripencc,ipv4,91.105.192.0,23,allocated,[211157;VG;Telegram-AS Telegram Messenger Inc]
ripencc,ipv4,94.177.129.0,24,allocated,[48095;VG;XTGLOBAL XT GLOBAL NETWORKS LTD.]
ripencc,ipv4,94.177.132.0,24,allocated,[48095;VG;XTGLOBAL XT GLOBAL NETWORKS LTD.]
ripencc,ipv4,109.69.56.0,21,allocated,[209929;VG;AWMLT AWM LAB LTD]
ripencc,ipv4,109.206.224.0,22,allocated,[209929;VG;AWMLT AWM LAB LTD]
ripencc,ipv4,141.8.224.0,21,allocated,*
ripencc,ipv4,185.23.152.0,22,allocated,[60929;VG;ITC Investment and technology group of companies limited]
ripencc,ipv4,185.34.200.0,22,allocated,[60239;VG;FIRMTRADE-AS Firm Trade Corporation Ltd.][44918;VG;ITBOX Firm Trade Corporation Ltd.]
ripencc,ipv4,185.36.100.0,22,allocated,[62403;VG;Go4Cloud Disk Group Ltd.]
ripencc,ipv4,185.76.151.0,24,allocated,[211157;VG;Telegram-AS Telegram Messenger Inc]
ripencc,ipv4,185.94.84.0,22,allocated,[56647;VG;FUSIONMEDIA Fusion Media Limited]
ripencc,ipv4,185.100.208.0,22,allocated,[200612;VG;GulfBridgeInternational Gulf Bridge International Inc.]
ripencc,ipv4,185.142.132.0,22,allocated,[202826;VG;POLBOX Polbox Media Ltd]
ripencc,ipv4,185.147.124.0,22,allocated,*
ripencc,ipv4,185.168.112.0,22,allocated,[56647;VG;FUSIONMEDIA Fusion Media Limited]
ripencc,ipv4,185.212.128.0,22,allocated,[200313;VG;internet-it IT WEB LTD]
ripencc,ipv4,185.213.180.0,22,allocated,[205556;VG;antwork-as Antwork LTD]
ripencc,ipv4,185.217.136.0,22,allocated,[200313;VG;internet-it IT WEB LTD]
ripencc,ipv4,185.224.216.0,22,allocated,[200313;VG;internet-it IT WEB LTD]
ripencc,ipv4,185.232.52.0,22,allocated,[200313;VG;internet-it IT WEB LTD]
ripencc,ipv4,185.238.0.0,22,allocated,[200313;VG;internet-it IT WEB LTD]
ripencc,ipv4,188.241.24.0,23,allocated,[48095;VG;XTGLOBAL XT GLOBAL NETWORKS LTD.]
ripencc,ipv4,188.241.28.0,22,allocated,[48095;VG;XTGLOBAL XT GLOBAL NETWORKS LTD.]
ripencc,ipv4,193.37.232.0,22,allocated,*
ripencc,ipv4,193.160.254.0,24,allocated,[200313;VG;internet-it IT WEB LTD]
ripencc,ipv4,193.161.1.0,24,allocated,[200313;VG;internet-it IT WEB LTD]
ripencc,ipv4,193.161.26.0,24,allocated,[200313;VG;internet-it IT WEB LTD]
ripencc,ipv4,193.161.147.0,24,allocated,[200313;VG;internet-it IT WEB LTD]
