region,version,ip,prefixlength,state,orgsflat
arin,ipv4,23.143.120.0,24,allocated,[400741;VI;ADM-TECH-01]
arin,ipv4,66.59.216.0,24,allocated,[13687;VI;LCCN]
arin,ipv4,66.248.160.0,19,allocated,[14434;VI;VIPNAS1]
arin,ipv4,67.211.240.0,20,allocated,[399963;VI;VIDE-ASN]
arin,ipv4,98.142.160.0,20,allocated,[14434;VI;VIPNAS1]
arin,ipv4,132.147.224.0,20,allocated,*
arin,ipv4,136.143.195.0,24,allocated,[53248;VI;LIMETREE-ASN]
arin,ipv4,146.226.0.0,16,allocated,[20243;VI;U]
arin,ipv4,172.84.192.0,18,allocated,[14434;VI;VIPNAS1]
arin,ipv4,192.65.170.0,24,allocated,[393785;VI;VTS-1]
arin,ipv4,192.81.72.0,23,allocated,[393275;VI;VINGN-VIRGIN-ISLANDS-NEXT-GENERATION-NETWORK]
arin,ipv4,192.102.82.0,24,allocated,*
arin,ipv4,198.36.28.0,22,allocated,[14434;VI;VIPNAS1]
arin,ipv4,204.8.64.0,22,allocated,[32085;VI;ACE-AS][22581;VI;ACE-STX]
arin,ipv4,204.11.152.0,21,allocated,[32085;VI;ACE-AS][22581;VI;ACE-STX]
arin,ipv4,208.84.192.0,21,allocated,[32085;VI;ACE-AS][22581;VI;ACE-STX]
arin,ipv4,209.221.192.0,19,allocated,[14434;VI;VIPNAS1]
arin,ipv6,2604:ea40::,32,allocated,[13687;VI;LCCN]
arin,ipv6,2605:de80::,32,allocated,[393275;VI;VINGN-VIRGIN-ISLANDS-NEXT-GENERATION-NETWORK]
arin,ipv6,2606:5a00::,32,allocated,[14434;VI;VIPNAS1]
arin,ipv6,2606:fd40::,32,allocated,[400741;VI;ADM-TECH-01]
arin,ipv6,2607:f838::,32,allocated,[32085;VI;ACE-AS][22581;VI;ACE-STX]
