region,version,ip,prefixlength,state,orgsflat
afrinic,ipv4,41.0.0.0,11,allocated,[37311;ZA;VODACOM][36994;ZA;Vodacom-VB][29975;ZA;VODACOM-]
afrinic,ipv4,41.48.0.0,13,allocated,[37168;ZA;CELL-C][36960;ZA;CellC]
afrinic,ipv4,41.56.0.0,16,allocated,[327840;ZA;RAIN-GROUP-HOLDINGS][327685;ZA;RAIN-GROUP-HOLDINGS][37597;ZA;RAIN-GROUP-HOLDINGS][37105;ZA;RAIN-GROUP-HOLDINGS][37070;ZA;RAIN-GROUP-HOLDINGS][33762;ZA;RAIN-GROUP-HOLDINGS]
afrinic,ipv4,41.57.0.0,18,allocated,[327688;ZA;screamer]
afrinic,ipv4,41.57.112.0,24,allocated,*
afrinic,ipv4,41.57.128.0,18,allocated,[327688;ZA;screamer]
afrinic,ipv4,41.61.0.0,16,allocated,[36943;ZA;ZA-1-Grid]
afrinic,ipv4,41.63.64.0,18,allocated,[37277;ZA;LIMENET]
afrinic,ipv4,41.66.64.0,18,allocated,[37310;ZA;BWIRED][22750;ZA;BCSNET]
afrinic,ipv4,41.66.128.0,18,allocated,[37179;ZA;AFRICAINX]
afrinic,ipv4,41.71.0.0,17,allocated,[37231;ZA;RSAWEB][37053;ZA;RSAWEB-AS]
afrinic,ipv4,41.72.128.0,19,allocated,[37153;ZA;xneelo]
afrinic,ipv4,41.73.32.0,19,allocated,[327840;ZA;RAIN-GROUP-HOLDINGS][327685;ZA;RAIN-GROUP-HOLDINGS][37597;ZA;RAIN-GROUP-HOLDINGS][37105;ZA;RAIN-GROUP-HOLDINGS][37070;ZA;RAIN-GROUP-HOLDINGS][33762;ZA;RAIN-GROUP-HOLDINGS]
afrinic,ipv4,41.74.144.0,20,allocated,*
afrinic,ipv4,41.74.176.0,20,allocated,[37231;ZA;RSAWEB][37053;ZA;RSAWEB-AS]
afrinic,ipv4,41.74.192.0,20,allocated,[37235;ZA;MimecastSA]
afrinic,ipv4,41.75.96.0,20,allocated,[37276;ZA;VOFFICE]
afrinic,ipv4,41.75.128.0,20,allocated,[36968;ZA;ECN-AS1][36910;ZA;ECN-AS2]
afrinic,ipv4,41.76.32.0,21,allocated,[37333;ZA;COMTEL]
afrinic,ipv4,41.76.56.0,21,allocated,[37525;ZA;BYTES-CON-1][37253;ZA;ATC][37188;ZA;BYTESNET]
afrinic,ipv4,41.76.96.0,21,allocated,[37334;ZA;ARC]
afrinic,ipv4,41.76.104.0,21,allocated,[327979;ZA;DIAMATRIX]
afrinic,ipv4,41.76.112.0,21,allocated,[37172;ZA;MITSOL]
afrinic,ipv4,41.76.128.0,21,allocated,[37199;ZA;VANILLA]
afrinic,ipv4,41.76.176.0,21,allocated,[37225;ZA;NETWIDE]
afrinic,ipv4,41.76.200.0,21,allocated,[37239;ZA;ICTGLOBE][26422;ZA;ICTGLobal-Management-AS]
afrinic,ipv4,41.76.208.0,21,allocated,[328871;ZA;Afrihost-SP-Hosting][37611;ZA;Afrihost]
afrinic,ipv4,41.76.216.0,21,allocated,[37254;ZA;GREENFLASH]
afrinic,ipv4,41.76.224.0,21,allocated,[327693;ZA;ECHO-SP]
afrinic,ipv4,41.77.24.0,21,allocated,[37673;ZA;Telemasters]
afrinic,ipv4,41.77.48.0,21,allocated,[327954;ZA;Smart-Technology-Anycast][37670;ZA;SMART-AS][37658;ZA;Smart-Technology-Centre]
afrinic,ipv4,41.77.56.0,21,allocated,[36985;ZA;GMS]
afrinic,ipv4,41.77.96.0,21,allocated,[37515;ZA;iCONNECT]
afrinic,ipv4,41.77.104.0,21,allocated,[27598;ZA;INTERNET-SOLUTIONS-MI-NETWORK][20011;ZA;INTERNET-SOLUTIONS][12258;ZA;OPTINET][10474;ZA;OPTINET][10393;ZA;OPTINET][6351;ZA;OPTINET][6089;ZA;OPTINET][3741;ZA;IS]
afrinic,ipv4,41.77.152.0,21,allocated,[37394;ZA;eNetworks-Anycast][32653;ZA;ENETWORKS]
afrinic,ipv4,41.77.200.0,21,allocated,[37333;ZA;COMTEL]
afrinic,ipv4,41.78.4.0,22,allocated,[37353;ZA;SEACOM-AS]
afrinic,ipv4,41.78.28.0,22,allocated,[37159;ZA;IMAGINET]
afrinic,ipv4,41.78.36.0,22,allocated,[37157;ZA;IMAGINE]
afrinic,ipv4,41.78.128.0,22,allocated,[37589;ZA;ITISINTERNET]
afrinic,ipv4,41.78.140.0,22,allocated,[37275;ZA;ETC]
afrinic,ipv4,41.78.184.0,22,allocated,[37675;ZA;SkyWire]
afrinic,ipv4,41.78.188.0,22,allocated,[37271;ZA;Workonline]
afrinic,ipv4,41.78.200.0,22,allocated,[37276;ZA;VOFFICE]
afrinic,ipv4,41.78.212.0,22,allocated,[327698;ZA;BInfraco]
afrinic,ipv4,41.78.220.0,22,allocated,[37317;ZA;AccessGlobal-AS]
afrinic,ipv4,41.78.228.0,22,allocated,[37491;ZA;Gigs-Broadband]
afrinic,ipv4,41.78.232.0,22,allocated,[37302;ZA;DUBETRADEPORT]
afrinic,ipv4,41.78.244.0,22,allocated,[327987;ZA;Webstorm]
afrinic,ipv4,41.79.16.0,22,allocated,[37317;ZA;AccessGlobal-AS]
afrinic,ipv4,41.79.20.0,22,allocated,[37314;ZA;Syrex-Pty-Ltd]
afrinic,ipv4,41.79.36.0,22,allocated,[37231;ZA;RSAWEB][37053;ZA;RSAWEB-AS]
afrinic,ipv4,41.79.72.0,22,allocated,[14331;ZA;TCM-NETWORKS-0098]
afrinic,ipv4,41.79.76.0,22,allocated,[37352;ZA;CloudAfrica]
afrinic,ipv4,41.79.80.0,22,allocated,[37358;ZA;BITCO]
afrinic,ipv4,41.79.92.0,22,allocated,[37363;ZA;FAIRCAPE]
afrinic,ipv4,41.79.104.0,22,allocated,[37368;ZA;BLUEDUST]
afrinic,ipv4,41.79.108.0,22,allocated,*
afrinic,ipv4,41.79.148.0,22,allocated,[37403;ZA;INFOGRO]
afrinic,ipv4,41.79.156.0,22,allocated,[37231;ZA;RSAWEB][37053;ZA;RSAWEB-AS]
afrinic,ipv4,41.79.160.0,22,allocated,[37387;ZA;Platformity]
afrinic,ipv4,41.79.172.0,22,allocated,[37411;ZA;STORAGE]
afrinic,ipv4,41.79.180.0,22,allocated,[37412;ZA;PACKET-HUB]
afrinic,ipv4,41.79.192.0,22,allocated,[328471;ZA;Hero-Telecoms][328409;ZA;Atcomm-AS][328232;ZA;HX-Systems-AS][328130;ZA;Kosh-Communication-AS][328064;ZA;LCOM-AS][327957;ZA;HERO-TELECOMS][327858;ZA;CloudConnect-Networks][327826;ZA;SAFRICOM][327781;ZA;HERO-TELECOMS][327715;ZA;HERO-TELECOMS][37596;ZA;HERO-TELECOMS][37439;ZA;HERO-TELECOMS][37417;ZA;HERO-TELECOMS][36953;ZA;HERO-TELECOMS]
afrinic,ipv4,41.79.212.0,22,allocated,[328366;ZA;FirstnetTechnology-AS]
afrinic,ipv4,41.79.220.0,22,allocated,[327794;ZA;CLEAR-ACCESS]
afrinic,ipv4,41.79.240.0,22,allocated,[37236;ZA;Reflex-Solutions]
afrinic,ipv4,41.84.0.0,17,allocated,[37179;ZA;AFRICAINX]
afrinic,ipv4,41.85.0.0,17,allocated,[328410;ZA;FrogFoot-AS][22355;ZA;FROGFOOT]
