region,version,ip,prefixlength,state,orgsflat
afrinic,ipv4,41.60.0.0,16,allocated,[36942;MU;SWIFGLOBALKENYA][33768;MU;LTOL][21280;MU;SWIFT-GLOBAL][19676;MU;SWIFT-GLOBAL]
afrinic,ipv4,41.63.0.0,18,allocated,[37532;ZM;ZAMREN]
afrinic,ipv4,41.72.96.0,19,allocated,[37154;ZM;ZAMTEL]
afrinic,ipv4,41.77.0.0,21,allocated,[37287;ZM;ZAIN-ZAMBIA]
afrinic,ipv4,41.191.116.0,22,allocated,[37185;ZM;iSAT-Africa]
afrinic,ipv4,41.215.176.0,20,allocated,[36959;ZM;afczas]
afrinic,ipv4,41.216.64.0,19,allocated,[36962;ZM;MTNZ-AS]
afrinic,ipv4,41.222.16.0,21,allocated,[36959;ZM;afczas]
afrinic,ipv4,41.223.116.0,22,allocated,[36962;ZM;MTNZ-AS]
afrinic,ipv4,45.212.0.0,14,allocated,[37287;ZM;ZAIN-ZAMBIA]
afrinic,ipv4,102.23.120.0,22,allocated,[328646;ZM;Infratel-Corporation]
afrinic,ipv4,102.67.160.0,22,allocated,[328570;ZM;Fibrecom-Limited]
afrinic,ipv4,102.68.136.0,22,allocated,[328427;ZM;AirLink-Broadband-AS]
afrinic,ipv4,102.144.0.0,13,allocated,[37287;ZM;ZAIN-ZAMBIA]
afrinic,ipv4,102.208.220.0,23,allocated,[329444;ZM;BEELINE-TELECOMS-LIMITED]
afrinic,ipv4,102.210.96.0,22,allocated,[328646;ZM;Infratel-Corporation]
afrinic,ipv4,102.210.102.0,24,allocated,[329383;ZM;NetOne-Data]
afrinic,ipv4,102.210.160.0,22,allocated,[36962;ZM;MTNZ-AS]
afrinic,ipv4,102.212.180.0,22,allocated,[36962;ZM;MTNZ-AS]
afrinic,ipv4,102.220.158.0,23,allocated,[328817;ZM;CITYCHannel-AS]
afrinic,ipv4,102.221.240.0,22,allocated,*
afrinic,ipv4,154.73.232.0,22,allocated,[37185;ZM;iSAT-Africa]
afrinic,ipv4,155.0.0.0,16,allocated,[37532;ZM;ZAMREN]
afrinic,ipv4,165.56.0.0,13,allocated,[37154;ZM;ZAMTEL]
afrinic,ipv4,196.12.12.0,22,allocated,[36959;ZM;afczas]
afrinic,ipv4,196.46.124.0,22,allocated,[36942;MU;SWIFGLOBALKENYA][33768;MU;LTOL][21280;MU;SWIFT-GLOBAL][19676;MU;SWIFT-GLOBAL]
afrinic,ipv4,196.46.192.0,19,allocated,[7420;ZM;ZAMNET-AS]
afrinic,ipv4,197.212.0.0,15,allocated,[37287;ZM;ZAIN-ZAMBIA]
afrinic,ipv4,197.220.0.0,19,allocated,[36959;ZM;afczas]
afrinic,ipv4,197.231.244.0,22,allocated,[37569;ZM;Roke_Zambia_ASN]
afrinic,ipv6,2c0f:16c0::,32,allocated,[328427;ZM;AirLink-Broadband-AS]
afrinic,ipv6,2c0f:e9c0::,32,allocated,*
afrinic,ipv6,2c0f:f670::,32,allocated,[37532;ZM;ZAMREN]
afrinic,ipv6,2c0f:f938::,32,allocated,[37569;ZM;Roke_Zambia_ASN]
afrinic,ipv6,2c0f:fcc8::,32,allocated,[37154;ZM;ZAMTEL]
afrinic,ipv6,2c0f:fd40::,32,allocated,[7420;ZM;ZAMNET-AS]
afrinic,ipv6,2c0f:fd90::,32,allocated,[37185;ZM;iSAT-Africa]
afrinic,ipv6,2c0f:fd98::,32,allocated,[36962;ZM;MTNZ-AS]
afrinic,ipv6,2c0f:feb8::,32,allocated,[36959;ZM;afczas]
afrinic,ipv4,80.88.3.0,24,assigned,[328194;ZM;Copperbelt-Energy-Corporation]
afrinic,ipv4,102.130.100.0,24,assigned,[328420;ZM;Bank-of-Zambia-vAS]
afrinic,ipv4,102.210.103.0,24,assigned,[328665;ZM;ZRA-AS]
afrinic,ipv4,102.216.214.0,23,assigned,[329025;ZM;ZSIC-LIFE-AS]
afrinic,ipv4,196.13.104.0,24,assigned,[327904;ZM;ZICTA]
afrinic,ipv4,196.49.88.0,24,assigned,[329105;ZM;Lusaka-IXP-MGT][37792;ZM;Lusaka-IXP-Peering]
afrinic,ipv4,196.60.94.0,24,assigned,[329105;ZM;Lusaka-IXP-MGT][37792;ZM;Lusaka-IXP-Peering]
afrinic,ipv4,196.223.2.0,24,assigned,[37221;ZM;LUSAKA-IXP]
afrinic,ipv4,196.223.29.0,24,assigned,[328665;ZM;ZRA-AS]
afrinic,ipv6,2001:43f8:140::,48,assigned,[37221;ZM;LUSAKA-IXP]
afrinic,ipv6,2001:43f8:aa0::,48,assigned,[327904;ZM;ZICTA]
afrinic,ipv6,2001:43f8:da0::,48,assigned,[328194;ZM;Copperbelt-Energy-Corporation]
afrinic,ipv6,2001:43f8:1680::,48,assigned,[329105;ZM;Lusaka-IXP-MGT][37792;ZM;Lusaka-IXP-Peering]
afrinic,ipv6,2001:43f8:1681::,48,assigned,[329105;ZM;Lusaka-IXP-MGT][37792;ZM;Lusaka-IXP-Peering]
