region,version,ip,prefixlength,state,orgsflat
afrinic,ipv4,41.57.64.0,20,allocated,[36986;ZW;AINET]
afrinic,ipv4,41.78.76.0,22,allocated,[37184;ZW;POWERTEL]
afrinic,ipv4,41.79.28.0,22,allocated,[37329;ZW;FRAMPOL]
afrinic,ipv4,41.79.56.0,22,allocated,[327770;ZW;Telecel]
afrinic,ipv4,41.79.188.0,22,allocated,[37184;ZW;POWERTEL]
afrinic,ipv4,41.85.192.0,19,allocated,[37183;ZW;UTANDE]
afrinic,ipv4,41.190.32.0,19,allocated,[37189;ZW;YoAfrica3][37024;ZW;Yoprov][31856;ZW;CABS]
afrinic,ipv4,41.191.232.0,21,allocated,[37123;ZW;TELCO-]
afrinic,ipv4,41.220.16.0,20,allocated,[37204;ZW;TELONE]
afrinic,ipv4,41.221.144.0,20,allocated,[36986;ZW;AINET]
afrinic,ipv4,102.128.76.0,22,allocated,[328088;ZW;NetOne-Cellular-AS]
afrinic,ipv4,102.165.112.0,22,allocated,[328291;ZW;Veritran-AS]
afrinic,ipv4,102.177.72.0,22,allocated,[328269;ZW;IT-Anywhere-AS]
afrinic,ipv4,102.177.192.0,21,allocated,[328230;ZW;Hammer-and-Tongues-AS]
afrinic,ipv4,102.213.40.0,22,allocated,[37204;ZW;TELONE]
afrinic,ipv4,102.215.144.0,22,allocated,[329073;ZW;ZL4-AS]
afrinic,ipv4,102.217.48.0,22,allocated,[329006;ZW;DZL1-AS]
afrinic,ipv4,102.218.12.0,22,allocated,[37329;ZW;FRAMPOL]
afrinic,ipv4,154.73.80.0,22,allocated,[37184;ZW;POWERTEL]
afrinic,ipv4,154.119.80.0,20,allocated,[37123;ZW;TELCO-]
afrinic,ipv4,168.253.32.0,19,allocated,[37189;ZW;YoAfrica3][37024;ZW;Yoprov][31856;ZW;CABS]
afrinic,ipv4,169.239.24.0,22,allocated,[37329;ZW;FRAMPOL]
afrinic,ipv4,196.27.96.0,19,allocated,[36942;MU;SWIFGLOBALKENYA][33768;MU;LTOL][21280;MU;SWIFT-GLOBAL][19676;MU;SWIFT-GLOBAL]
afrinic,ipv4,196.29.32.0,21,allocated,[37183;ZW;UTANDE]
afrinic,ipv4,196.43.96.0,19,allocated,[27576;ZW;AfOL-Zw-NET][18922;ZW;AfOL-Zw-AS-2]
afrinic,ipv4,196.44.176.0,20,allocated,[37189;ZW;YoAfrica3][37024;ZW;Yoprov][31856;ZW;CABS]
afrinic,ipv4,197.157.204.0,22,allocated,*
afrinic,ipv4,197.221.224.0,19,allocated,[37204;ZW;TELONE]
afrinic,ipv6,2001:42b0::,32,allocated,[27576;ZW;AfOL-Zw-NET][18922;ZW;AfOL-Zw-AS-2]
afrinic,ipv6,2001:43f0::,32,allocated,[37183;ZW;UTANDE]
afrinic,ipv6,2c0f:1e80::,32,allocated,[329073;ZW;ZL4-AS]
afrinic,ipv6,2c0f:ec78::,32,allocated,[328088;ZW;NetOne-Cellular-AS]
afrinic,ipv6,2c0f:f0b8::,32,allocated,[37123;ZW;TELCO-]
afrinic,ipv6,2c0f:f1b0::,32,allocated,[327770;ZW;Telecel]
afrinic,ipv6,2c0f:f4a0::,32,allocated,[37189;ZW;YoAfrica3][37024;ZW;Yoprov][31856;ZW;CABS]
afrinic,ipv6,2c0f:f758::,32,allocated,[37204;ZW;TELONE]
afrinic,ipv6,2c0f:f7a0::,32,allocated,[37184;ZW;POWERTEL]
afrinic,ipv6,2c0f:f8f0::,32,allocated,[36942;MU;SWIFGLOBALKENYA][33768;MU;LTOL][21280;MU;SWIFT-GLOBAL][19676;MU;SWIFT-GLOBAL]
afrinic,ipv6,2c0f:fa98::,32,allocated,[36986;ZW;AINET]
afrinic,ipv6,2c0f:fd48::,32,allocated,[37329;ZW;FRAMPOL]
afrinic,ipv4,102.212.231.0,24,assigned,[329232;ZW;Women-s-University-AS]
afrinic,ipv4,196.4.80.0,24,assigned,[327863;ZW;UNIVERSITY-OF-ZIMBABWE]
afrinic,ipv4,196.41.88.0,24,assigned,[328088;ZW;NetOne-Cellular-AS]
afrinic,ipv4,196.43.199.0,24,assigned,[37344;ZW;ZOU]
afrinic,ipv4,196.49.46.0,24,assigned,[328235;ZW;ZINX-MGMT][37355;ZW;ZINX]
afrinic,ipv4,196.60.44.0,24,assigned,[328235;ZW;ZINX-MGMT][37355;ZW;ZINX]
afrinic,ipv4,196.201.1.0,24,assigned,[36942;MU;SWIFGLOBALKENYA][33768;MU;LTOL][21280;MU;SWIFT-GLOBAL][19676;MU;SWIFT-GLOBAL]
afrinic,ipv4,196.216.224.0,23,assigned,[327971;ZW;FBC-Holdings]
afrinic,ipv4,196.220.96.0,19,assigned,[37568;ZW;NUoS-ASN]
afrinic,ipv6,2001:43f8:310::,48,assigned,[328235;ZW;ZINX-MGMT][37355;ZW;ZINX]
afrinic,ipv6,2001:43f8:9e0::,48,assigned,[37344;ZW;ZOU]
afrinic,ipv6,2001:43f8:1020::,48,assigned,[328235;ZW;ZINX-MGMT][37355;ZW;ZINX]
afrinic,ipv6,2001:43f8:10b0::,48,assigned,[37568;ZW;NUoS-ASN]
afrinic,ipv6,2001:43fe:d000::,48,assigned,[329232;ZW;Women-s-University-AS]
