country,version,ip,prefixlength,state,orgsflat
*,ipv4,43.227.230.0,24,reserved,*
*,ipv4,43.250.235.0,24,reserved,*
*,ipv4,45.116.130.0,24,reserved,*
*,ipv4,49.236.240.0,20,reserved,*
*,ipv4,59.153.48.0,22,reserved,*
*,ipv4,59.191.232.0,21,reserved,*
*,ipv4,103.5.136.0,22,reserved,*
*,ipv4,103.6.224.0,22,reserved,*
*,ipv4,103.7.232.0,22,reserved,*
*,ipv4,103.9.220.0,23,reserved,*
*,ipv4,103.10.10.0,24,reserved,*
*,ipv4,103.11.104.0,23,reserved,*
*,ipv4,103.12.68.0,22,reserved,*
*,ipv4,103.15.75.0,24,reserved,*
*,ipv4,103.15.177.0,24,reserved,*
*,ipv4,103.15.248.0,23,reserved,*
*,ipv4,103.20.59.0,24,reserved,*
*,ipv4,103.20.245.0,24,reserved,*
*,ipv4,103.21.196.0,22,reserved,*
*,ipv4,103.22.208.0,24,reserved,*
*,ipv4,103.23.247.0,24,reserved,*
*,ipv4,103.25.4.0,22,reserved,*
*,ipv4,103.27.121.0,24,reserved,*
*,ipv4,103.27.180.0,22,reserved,*
*,ipv4,103.29.42.0,24,reserved,*
*,ipv4,103.37.186.0,23,reserved,*
*,ipv4,103.38.189.0,24,reserved,*
*,ipv4,103.38.208.0,23,reserved,*
*,ipv4,103.39.54.0,24,reserved,*
*,ipv4,103.40.164.0,23,reserved,*
*,ipv4,103.40.225.0,24,reserved,*
*,ipv4,103.42.14.0,23,reserved,*
*,ipv4,103.42.191.0,24,reserved,*
*,ipv4,103.43.236.0,22,reserved,*
*,ipv4,103.47.61.0,24,reserved,*
*,ipv4,103.47.152.0,24,reserved,*
*,ipv4,103.48.26.0,24,reserved,*
*,ipv4,103.48.28.0,23,reserved,*
*,ipv4,103.49.150.0,24,reserved,*
*,ipv4,103.49.151.0,24,reserved,*
*,ipv4,103.51.102.0,24,reserved,*
*,ipv4,103.57.90.0,24,reserved,*
*,ipv4,103.58.42.0,23,reserved,*
*,ipv4,103.59.170.0,23,reserved,*
*,ipv4,103.59.232.0,24,reserved,*
*,ipv4,103.60.184.0,24,reserved,*
*,ipv4,103.68.224.0,22,reserved,*
*,ipv4,103.69.52.0,23,reserved,*
*,ipv4,103.69.54.0,23,reserved,*
*,ipv4,103.69.228.0,22,reserved,*
*,ipv4,103.73.194.0,23,reserved,*
*,ipv4,103.73.218.0,23,reserved,*
*,ipv4,103.76.124.0,24,reserved,*
*,ipv4,103.77.201.0,24,reserved,*
*,ipv4,103.78.222.0,23,reserved,*
*,ipv4,103.80.36.0,22,reserved,*
*,ipv4,103.82.247.0,24,reserved,*
*,ipv4,103.83.124.0,24,reserved,*
*,ipv4,103.83.156.0,22,reserved,*
*,ipv4,103.83.197.0,24,reserved,*
*,ipv4,103.84.206.0,23,reserved,*
*,ipv4,103.86.80.0,22,reserved,*
*,ipv4,103.86.191.0,24,reserved,*
*,ipv4,103.87.188.0,24,reserved,*
*,ipv4,103.89.168.0,22,reserved,*
*,ipv4,103.90.173.0,24,reserved,*
*,ipv4,103.91.216.0,24,reserved,*
*,ipv4,103.94.157.0,24,reserved,*
*,ipv4,103.95.44.0,22,reserved,*
*,ipv4,103.96.76.0,22,reserved,*
*,ipv4,103.97.80.0,22,reserved,*
*,ipv4,103.97.172.0,24,reserved,*
*,ipv4,103.99.140.0,23,reserved,*
*,ipv4,103.100.244.0,24,reserved,*
*,ipv4,103.101.4.0,22,reserved,*
