region,version,ip,prefixlength,state
apnic,ipv4,118.103.136.0,21,allocated
apnic,ipv4,103.245.240.0,22,allocated
apnic,ipv4,103.197.176.0,22,allocated
apnic,ipv4,103.179.206.0,23,allocated
apnic,ipv4,103.166.42.0,23,allocated
apnic,ipv4,103.161.248.0,23,allocated
apnic,ipv4,103.151.231.0,24,assigned
apnic,ipv4,103.133.216.0,22,allocated
apnic,ipv4,103.129.62.0,23,assigned
apnic,ipv4,103.127.254.0,24,assigned
apnic,ipv4,103.252.84.0,24,assigned
apnic,ipv4,103.119.126.0,24,assigned
apnic,ipv4,103.97.87.0,24,assigned
apnic,ipv4,103.80.108.0,22,allocated
apnic,ipv4,103.78.116.0,23,assigned
apnic,ipv4,103.78.111.0,24,assigned
apnic,ipv4,103.71.40.0,22,allocated
apnic,ipv4,103.29.224.0,22,allocated
apnic,ipv4,103.7.252.0,22,allocated
apnic,ipv4,45.64.248.0,22,allocated
apnic,ipv4,43.241.136.0,22,allocated
apnic,ipv4,103.117.80.0,24,assigned
apnic,ipv4,43.230.208.0,24,assigned
apnic,ipv4,43.229.124.0,22,allocated
apnic,ipv4,202.89.24.0,21,allocated
apnic,ipv4,202.144.128.0,19,allocated
apnic,ipv4,220.158.236.0,22,allocated
apnic,ipv4,119.2.96.0,19,allocated
apnic,ipv6,2405:ec01::,32,allocated
apnic,ipv6,2405:ec00::,32,allocated
apnic,ipv6,2405:d000::,32,allocated
apnic,ipv6,2404:5540::,32,allocated
apnic,ipv6,2403:8700::,32,allocated
apnic,ipv6,2403:580::,32,allocated
apnic,ipv6,2401:5f40::,32,allocated
apnic,ipv6,2400:50c0::,32,allocated
apnic,ipv6,2400:1440::,32,allocated
apnic,ipv6,2001:df5:e700::,48,assigned
apnic,ipv6,2001:df5:d881::,48,assigned
apnic,ipv6,2001:df5:d880::,48,assigned
apnic,ipv6,2001:df5:a300::,48,assigned
apnic,ipv6,2001:df3:e180::,48,assigned
apnic,ipv6,2001:df0:eb80::,48,assigned
apnic,ipv6,2001:deb:8000::,48,assigned
apnic,ipv6,2001:dea:4000::,47,assigned
apnic,ipv6,2400:4e60::,32,allocated
apnic,ipv6,2407:5040::,32,allocated
