region,ip,prefixlength,state
afrinic,196.223.32.0,24,assigned
afrinic,196.60.56.0,24,assigned
afrinic,196.49.60.0,24,assigned
afrinic,196.49.56.0,24,assigned
afrinic,196.43.240.0,24,assigned
afrinic,197.255.176.0,20,allocated
afrinic,197.214.128.0,17,allocated
afrinic,197.157.252.0,22,allocated
afrinic,197.149.136.0,22,allocated
afrinic,169.255.72.0,22,allocated
afrinic,164.160.16.0,22,allocated
afrinic,160.113.0.0,16,allocated
afrinic,102.223.220.0,22,allocated
afrinic,102.220.244.0,22,allocated
afrinic,102.213.232.0,22,allocated
afrinic,102.141.0.0,18,allocated
afrinic,102.129.64.0,19,allocated
afrinic,102.64.116.0,22,allocated
afrinic,41.75.64.0,20,allocated
