region,ip,prefixlength,state
afrinic,2c0f:f5d8::,32,allocated
afrinic,2c0f:f4d0::,32,allocated
afrinic,2c0f:f230::,32,allocated
afrinic,2c0f:ef80::,32,allocated
afrinic,2c0f:ecf0::,32,allocated
afrinic,2c0f:ec60::,32,allocated
afrinic,2c0f:e800::,32,allocated
afrinic,2c0f:7c00::,32,allocated
afrinic,2c0e:7f80::,27,allocated
afrinic,2001:43ff:a000::,48,assigned
afrinic,2001:43f8:1630::,48,assigned
afrinic,2001:43f8:14a0::,48,assigned
afrinic,2001:43f8:b70::,48,assigned
afrinic,2001:43f8:b20::,48,assigned
afrinic,2001:43f8:940::,48,assigned
afrinic,2001:42d8::,32,allocated
