region,ip,prefixlength,state
ripencc,213.5.56.0,21,assigned
ripencc,195.245.255.0,24,assigned
ripencc,195.234.22.0,23,assigned
ripencc,195.190.136.0,24,assigned
ripencc,195.190.10.0,24,assigned
ripencc,195.182.46.0,24,assigned
ripencc,195.88.46.0,23,assigned
ripencc,195.78.34.0,23,assigned
ripencc,195.78.32.0,23,assigned
ripencc,195.54.190.0,23,assigned
ripencc,195.20.153.0,24,assigned
ripencc,194.146.109.0,24,assigned
ripencc,194.126.214.0,24,assigned
ripencc,194.126.213.0,24,assigned
ripencc,194.24.231.0,24,assigned
ripencc,194.5.87.0,24,assigned
ripencc,194.1.255.0,24,assigned
ripencc,194.0.224.0,24,assigned
ripencc,194.0.84.0,22,assigned
ripencc,193.242.141.0,24,assigned
ripencc,193.200.203.0,24,assigned
ripencc,193.111.164.0,24,assigned
ripencc,193.105.193.0,24,assigned
ripencc,193.105.23.0,24,assigned
ripencc,193.58.252.0,24,assigned
ripencc,193.47.246.0,24,assigned
ripencc,193.25.220.0,24,assigned
ripencc,193.23.182.0,24,assigned
ripencc,193.22.31.0,24,assigned
ripencc,193.19.220.0,22,assigned
ripencc,192.84.106.0,24,assigned
ripencc,192.84.105.0,24,assigned
ripencc,192.84.92.0,24,assigned
ripencc,192.84.91.0,24,assigned
ripencc,192.40.70.0,23,assigned
ripencc,185.1.87.0,24,assigned
ripencc,176.123.57.0,24,assigned
ripencc,91.241.53.0,24,assigned
ripencc,91.236.37.0,24,assigned
ripencc,91.233.36.0,23,assigned
ripencc,91.226.244.0,24,assigned
ripencc,91.226.170.0,24,assigned
ripencc,91.226.8.0,23,assigned
ripencc,91.223.249.0,24,assigned
ripencc,91.223.237.0,24,assigned
ripencc,91.223.65.0,24,assigned
ripencc,91.223.29.0,24,assigned
ripencc,91.223.24.0,24,assigned
ripencc,91.214.104.0,22,assigned
ripencc,91.213.84.0,24,assigned
ripencc,91.212.247.0,24,assigned
ripencc,91.212.44.0,24,assigned
ripencc,91.212.31.0,24,assigned
ripencc,91.209.216.0,24,assigned
ripencc,91.209.136.0,24,assigned
ripencc,91.209.32.0,24,assigned
ripencc,91.207.22.0,23,assigned
ripencc,91.199.79.0,24,assigned
ripencc,91.199.77.0,24,assigned
ripencc,91.198.216.0,24,assigned
ripencc,91.194.242.0,23,assigned
ripencc,91.142.139.0,24,assigned
ripencc,217.68.80.0,20,allocated
ripencc,217.14.208.0,20,allocated
ripencc,213.202.64.0,18,allocated
ripencc,213.191.128.0,19,allocated
ripencc,213.190.24.0,22,allocated
ripencc,213.186.0.0,19,allocated
ripencc,213.149.32.0,19,allocated
ripencc,213.147.96.0,19,allocated
ripencc,212.92.192.0,19,allocated
ripencc,212.91.96.0,19,allocated
ripencc,212.15.160.0,19,allocated
ripencc,209.237.148.0,23,allocated
ripencc,195.29.128.0,17,allocated
ripencc,195.29.64.0,18,allocated
ripencc,195.29.32.0,19,allocated
ripencc,195.29.0.0,19,allocated
ripencc,194.169.182.0,24,allocated
ripencc,194.169.159.0,24,allocated
ripencc,194.169.53.0,24,allocated
ripencc,194.169.51.0,24,allocated
ripencc,194.152.192.0,18,allocated
ripencc,194.56.72.0,22,allocated
ripencc,194.36.44.0,22,allocated
ripencc,194.5.68.0,22,allocated
ripencc,193.228.230.0,24,allocated
ripencc,193.198.0.0,16,allocated
ripencc,192.144.60.0,22,allocated
ripencc,188.252.128.0,17,allocated
ripencc,188.129.0.0,17,allocated
ripencc,188.125.0.0,19,allocated
ripencc,188.95.88.0,24,allocated
ripencc,185.254.252.0,22,allocated
ripencc,185.254.176.0,22,allocated
ripencc,185.253.188.0,22,allocated
ripencc,185.245.12.0,22,allocated
ripencc,185.244.94.0,23,allocated
ripencc,185.244.92.0,23,allocated
ripencc,185.242.212.0,22,allocated
ripencc,185.235.212.0,22,allocated
ripencc,185.229.200.0,22,allocated
ripencc,185.220.24.0,22,allocated
ripencc,185.214.92.0,22,allocated
ripencc,185.213.240.0,22,allocated
ripencc,185.203.16.0,22,allocated
ripencc,185.200.0.0,22,allocated
ripencc,185.192.124.0,22,allocated
ripencc,185.187.136.0,22,allocated
ripencc,185.171.180.0,22,allocated
ripencc,185.168.116.0,22,allocated
ripencc,185.168.40.0,22,allocated
ripencc,185.166.252.0,24,allocated
ripencc,185.165.232.0,22,allocated
ripencc,185.159.88.0,24,allocated
ripencc,185.158.80.0,22,allocated
ripencc,185.155.224.0,22,allocated
ripencc,185.155.216.0,22,allocated
ripencc,185.155.208.0,22,allocated
ripencc,185.151.132.0,22,allocated
ripencc,185.150.232.0,22,allocated
ripencc,185.143.192.0,22,allocated
ripencc,185.133.132.0,22,allocated
ripencc,185.130.60.0,22,allocated
ripencc,185.130.16.0,22,allocated
ripencc,185.129.12.0,22,allocated
ripencc,185.121.200.0,22,allocated
ripencc,185.121.48.0,22,allocated
ripencc,185.115.56.0,22,allocated
ripencc,185.111.190.0,23,allocated
ripencc,185.111.188.0,23,allocated
ripencc,185.103.216.0,22,allocated
ripencc,185.98.12.0,22,allocated
ripencc,185.89.212.0,22,allocated
ripencc,185.81.228.0,22,allocated
ripencc,185.81.69.0,24,allocated
ripencc,185.80.192.0,22,allocated
ripencc,185.73.144.0,22,allocated
ripencc,185.71.236.0,22,allocated
ripencc,185.68.132.0,22,allocated
ripencc,185.62.72.0,22,allocated
ripencc,185.59.84.0,22,allocated
ripencc,185.58.72.0,22,allocated
ripencc,185.50.12.0,22,allocated
ripencc,185.46.32.0,22,allocated
ripencc,185.38.176.0,22,allocated
ripencc,185.20.28.0,22,allocated
ripencc,185.18.60.0,22,allocated
ripencc,185.15.28.0,22,allocated
ripencc,185.10.40.0,22,allocated
ripencc,185.7.52.0,22,allocated
ripencc,185.3.192.0,22,allocated
ripencc,178.218.160.0,20,allocated
ripencc,178.160.0.0,17,allocated
ripencc,178.23.184.0,24,allocated
ripencc,178.17.112.0,20,allocated
ripencc,176.222.32.0,20,allocated
ripencc,176.62.32.0,20,allocated
ripencc,176.62.0.0,19,allocated
ripencc,176.61.152.0,21,allocated
ripencc,161.53.0.0,16,allocated
ripencc,159.255.148.0,24,allocated
ripencc,151.252.224.0,19,allocated
ripencc,151.252.208.0,21,allocated
ripencc,148.163.184.0,22,allocated
ripencc,147.78.148.0,22,allocated
ripencc,141.138.0.0,18,allocated
ripencc,141.136.128.0,17,allocated
ripencc,109.227.0.0,18,allocated
ripencc,109.60.0.0,17,allocated
ripencc,95.178.128.0,17,allocated
ripencc,95.168.96.0,19,allocated
ripencc,95.128.232.0,21,allocated
ripencc,94.253.128.0,17,allocated
ripencc,94.250.128.0,18,allocated
ripencc,93.159.64.0,19,allocated
ripencc,93.136.0.0,13,allocated
ripencc,92.242.224.0,19,allocated
ripencc,91.239.120.0,24,allocated
ripencc,91.234.46.0,24,allocated
ripencc,91.209.167.0,24,allocated
ripencc,91.209.4.0,24,allocated
ripencc,91.208.100.0,24,allocated
ripencc,91.199.47.0,24,allocated
ripencc,91.199.44.0,24,allocated
ripencc,91.199.42.0,24,allocated
ripencc,91.199.32.0,24,allocated
ripencc,91.132.227.0,24,allocated
ripencc,89.249.96.0,20,allocated
ripencc,89.201.128.0,17,allocated
ripencc,89.172.0.0,16,allocated
ripencc,89.164.128.0,17,allocated
ripencc,89.164.0.0,17,allocated
ripencc,89.18.32.0,19,allocated
ripencc,89.17.0.0,19,allocated
ripencc,88.207.0.0,17,allocated
ripencc,87.252.128.0,19,allocated
ripencc,86.32.0.0,15,allocated
ripencc,85.222.164.0,22,allocated
ripencc,85.209.12.0,22,allocated
ripencc,85.114.32.0,19,allocated
ripencc,85.94.64.0,19,allocated
ripencc,85.10.48.0,20,allocated
ripencc,84.252.105.0,24,allocated
ripencc,84.246.96.0,21,allocated
ripencc,83.139.64.0,18,allocated
ripencc,83.131.0.0,16,allocated
ripencc,82.193.192.0,19,allocated
ripencc,82.132.0.0,17,allocated
ripencc,80.253.168.0,21,allocated
ripencc,80.253.164.0,22,allocated
ripencc,80.253.160.0,22,allocated
ripencc,80.80.48.0,20,allocated
ripencc,78.134.128.0,17,allocated
ripencc,78.0.0.0,14,allocated
ripencc,77.237.96.0,19,allocated
ripencc,46.234.64.0,19,allocated
ripencc,46.229.252.0,23,allocated
ripencc,46.229.250.0,23,allocated
ripencc,46.229.246.0,23,allocated
ripencc,46.229.242.0,24,allocated
ripencc,46.229.240.0,23,allocated
ripencc,46.188.128.0,17,allocated
ripencc,46.174.136.0,22,allocated
ripencc,46.31.136.0,21,allocated
ripencc,45.143.216.0,22,allocated
ripencc,45.142.8.0,22,allocated
ripencc,45.137.248.0,22,allocated
ripencc,45.136.188.0,22,allocated
ripencc,45.136.142.0,23,allocated
ripencc,45.95.168.0,22,allocated
ripencc,45.87.220.0,22,allocated
ripencc,45.87.24.0,22,allocated
ripencc,45.85.120.0,22,allocated
ripencc,37.244.128.0,17,allocated
ripencc,37.205.96.0,20,allocated
ripencc,37.60.128.0,21,allocated
ripencc,37.48.232.0,21,allocated
ripencc,36.255.92.0,22,allocated
ripencc,31.217.0.0,17,allocated
ripencc,31.216.192.0,19,allocated
ripencc,31.147.0.0,16,allocated
ripencc,31.45.128.0,17,allocated
ripencc,5.43.160.0,19,allocated
ripencc,5.39.128.0,19,allocated
