region,ip,prefixlength,state
lacnic,201.150.104.0,22,allocated
lacnic,201.131.77.0,24,assigned
lacnic,200.115.182.0,23,assigned
lacnic,200.113.224.0,19,allocated
lacnic,200.113.192.0,19,allocated
lacnic,200.4.176.0,20,allocated
lacnic,200.4.160.0,20,allocated
lacnic,200.2.144.0,20,allocated
lacnic,200.2.128.0,20,allocated
lacnic,200.0.18.0,24,assigned
lacnic,190.196.192.0,20,allocated
lacnic,190.120.208.0,20,allocated
lacnic,190.120.192.0,20,allocated
lacnic,190.115.128.0,18,allocated
lacnic,190.105.172.0,22,allocated
lacnic,190.102.64.0,19,allocated
lacnic,186.190.0.0,17,allocated
lacnic,186.1.192.0,20,allocated
lacnic,179.51.206.0,24,assigned
lacnic,170.239.12.0,22,allocated
lacnic,170.83.192.0,22,allocated
lacnic,170.80.248.0,22,assigned
lacnic,168.197.100.0,22,allocated
lacnic,161.0.128.0,19,allocated
lacnic,148.102.128.0,17,allocated
