region,ip,prefixlength,state
ripencc,2001:67c:2dc0::,48,assigned
ripencc,2001:67c:2570::,48,assigned
ripencc,2001:67c:18dc::,48,assigned
ripencc,2a13:8500::,29,allocated
ripencc,2a10:d2c0::,32,allocated
ripencc,2a10:8940::,29,allocated
ripencc,2a10:4140::,29,allocated
ripencc,2a0e:11c0::,32,allocated
ripencc,2a0d:d300::,32,allocated
ripencc,2a0c:2e40::,30,allocated
ripencc,2a0a:aec0::,29,allocated
ripencc,2a06:1940::,29,allocated
ripencc,2a04:5700::,29,allocated
ripencc,2a03:5480::,29,allocated
ripencc,2a03:5360::,32,allocated
ripencc,2a03:5260::,32,allocated
ripencc,2a03:4c80::,32,allocated
ripencc,2a03:43e0::,32,allocated
ripencc,2a03:3420::,32,allocated
ripencc,2a02:380::,31,allocated
ripencc,2a00:f8c0::,32,allocated
ripencc,2a00:da60::,32,allocated
ripencc,2a00:abc0::,32,allocated
ripencc,2a00:ec0::,32,allocated
ripencc,2a00:ce8::,32,allocated
