region,version,ip,prefixlength,state
afrinic,ipv4,196.200.48.0,20,allocated
afrinic,ipv4,41.221.176.0,20,allocated
afrinic,ipv4,102.68.176.0,22,allocated
afrinic,ipv4,102.130.232.0,22,allocated
afrinic,ipv4,102.164.40.0,22,allocated
afrinic,ipv4,102.165.96.0,20,allocated
afrinic,ipv4,102.213.136.0,22,allocated
afrinic,ipv4,102.217.24.0,22,allocated
afrinic,ipv4,102.221.132.0,22,allocated
afrinic,ipv4,102.222.204.0,22,allocated
afrinic,ipv4,102.223.64.0,22,allocated
afrinic,ipv4,154.70.192.0,22,allocated
afrinic,ipv4,154.118.128.0,18,allocated
afrinic,ipv4,165.90.208.0,20,allocated
afrinic,ipv4,196.50.16.0,22,allocated
afrinic,ipv4,41.203.192.0,20,allocated
afrinic,ipv4,41.73.96.0,19,allocated
afrinic,ipv4,196.251.156.0,22,allocated
afrinic,ipv4,197.155.128.0,18,allocated
afrinic,ipv4,217.64.96.0,20,allocated
afrinic,ipv4,217.170.144.0,20,allocated
afrinic,ipv4,169.239.100.0,22,assigned
afrinic,ipv4,196.10.216.0,21,assigned
afrinic,ipv4,196.32.112.0,20,assigned
afrinic,ipv4,196.49.48.0,24,assigned
afrinic,ipv4,196.60.46.0,24,assigned
afrinic,ipv4,196.200.80.0,20,allocated
afrinic,ipv6,2001:42c0::,32,allocated
afrinic,ipv6,2001:43f8:10d0::,48,assigned
afrinic,ipv6,2001:43f8:10e0::,48,assigned
afrinic,ipv6,2c0f:1b00::,32,allocated
afrinic,ipv6,2c0f:e870::,32,allocated
afrinic,ipv6,2c0f:f900::,32,allocated
