region,ip,prefixlength,state
apnic,202.175.160.0,19,allocated
apnic,202.175.96.0,19,allocated
apnic,202.175.64.0,19,allocated
apnic,202.175.32.0,19,allocated
apnic,202.175.16.0,20,allocated
apnic,202.175.8.0,21,allocated
apnic,202.175.4.0,22,allocated
apnic,202.175.0.0,22,allocated
apnic,202.174.0.0,22,assigned
apnic,202.171.252.0,22,assigned
apnic,202.86.128.0,18,allocated
apnic,202.75.248.0,22,assigned
apnic,192.203.232.0,24,assigned
apnic,182.93.0.0,18,allocated
apnic,180.94.128.0,18,allocated
apnic,163.53.244.0,22,allocated
apnic,161.64.0.0,16,allocated
apnic,125.31.0.0,18,allocated
apnic,123.253.200.0,22,allocated
apnic,122.100.224.0,19,allocated
apnic,122.100.192.0,19,allocated
apnic,122.100.128.0,18,allocated
apnic,116.193.8.0,21,allocated
apnic,113.52.64.0,18,allocated
apnic,103.237.124.0,22,allocated
apnic,103.237.100.0,22,allocated
apnic,103.233.188.0,22,allocated
apnic,103.192.44.0,22,allocated
apnic,103.143.92.0,23,allocated
apnic,103.115.140.0,22,allocated
apnic,103.96.60.0,22,allocated
apnic,103.5.218.0,23,allocated
apnic,60.246.0.0,16,allocated
apnic,45.123.200.0,22,allocated
apnic,45.64.20.0,22,allocated
apnic,43.247.24.0,22,allocated
apnic,27.109.128.0,17,allocated
