region,ip,prefixlength,state
arin,104.249.191.0,24,allocated
arin,104.245.112.0,21,allocated
ripencc,217.175.176.0,20,allocated
ripencc,217.175.160.0,20,allocated
ripencc,188.115.64.0,18,allocated
ripencc,185.60.232.0,22,allocated
ripencc,185.21.212.0,22,allocated
ripencc,185.14.99.0,24,allocated
ripencc,185.13.216.0,22,allocated
ripencc,109.203.224.0,19,allocated
ripencc,109.62.0.0,17,allocated
ripencc,94.198.176.0,21,allocated
ripencc,94.124.216.0,21,allocated
ripencc,93.176.0.0,18,allocated
ripencc,92.49.64.0,18,allocated
ripencc,89.16.0.0,19,allocated
ripencc,82.197.96.0,19,allocated
ripencc,80.243.240.0,20,allocated
